peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,32,chr1,4784528,4786324,14.32400,99.02480,1045,1796,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
2,33,chr1,4807331,4808917,18.40977,134.87074,692,1586,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
2,34,chr1,4807331,4808917,18.40977,134.87074,692,1586,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
3,35,chr1,4856811,4858991,16.45907,114.29507,1305,2180,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
7,54,chr1,6213328,6215854,20.71790,169.07858,1475,2526,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
8,67,chr1,7087842,7088802,13.81270,97.67556,724,960,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
9,67,chr1,7088981,7090065,10.87614,67.11086,256,1084,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
10,74,chr1,7397646,7397900,6.21787,22.95561,122,254,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
11,74,chr1,7398143,7398761,6.33979,23.80454,321,618,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
12,101,chr1,9544630,9545213,8.71169,43.74956,371,583,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
13,101,chr1,9545437,9546858,8.41241,39.39092,423,1421,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
13,102,chr1,9545437,9546858,8.41241,39.39092,423,1421,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
14,102,chr1,9547518,9548489,3.60083,7.48755,667,971,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
16,107,chr1,9699383,9700436,10.85079,60.03173,777,1053,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
17,107,chr1,9700487,9701401,9.99736,52.56203,335,914,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
19,108,chr1,9745421,9748447,24.44834,224.15375,2768,3026,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
19,109,chr1,9745421,9748447,24.44834,224.15375,2768,3026,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
20,109,chr1,9748642,9748923,5.30628,21.11821,120,281,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
30,110,chr1,9797009,9800306,28.41170,254.03419,1338,3297,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
34,114,chr1,9942299,9944605,8.14861,51.54879,1607,2306,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
34,115,chr1,9942299,9944605,8.14861,51.54879,1607,2306,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
35,116,chr1,9967293,9968503,4.38909,11.35362,939,1210,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
35,117,chr1,9967293,9968503,4.38909,11.35362,939,1210,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
36,121,chr1,10036829,10040409,15.60564,105.54037,3151,3580,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
36,122,chr1,10036829,10040409,15.60564,105.54037,3151,3580,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
