peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,11,chr1,3670879,3672725,6.52134,32.37315,1542,1846,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,11,chr1,3673204,3674077,3.41318,9.67584,310,873,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
7,19,chr1,4494242,4495428,6.00460,30.50151,594,1186,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
8,19,chr1,4495600,4499464,8.16663,52.51613,2313,3864,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
8,20,chr1,4495600,4499464,8.16663,52.51613,2313,3864,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
9,20,chr1,4499719,4501807,6.69054,33.18983,740,2088,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
17,26,chr1,4689033,4689410,2.46050,2.84753,134,377,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
18,26,chr1,4690051,4690334,2.60762,3.62529,143,283,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
25,47,chr1,5588269,5589354,3.72951,9.89837,466,1085,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
28,51,chr1,5915724,5918149,8.80556,54.73412,860,2425,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
29,51,chr1,5918768,5919568,3.85141,12.07494,510,800,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
30,55,chr1,6357319,6358540,3.64491,9.30885,1095,1221,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
31,55,chr1,6358698,6360616,5.59073,23.58257,837,1918,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
33,57,chr1,6383912,6384157,2.69792,4.59221,132,245,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
34,58,chr1,6441486,6442133,3.05271,6.03812,331,647,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
36,95,chr1,9298048,9301018,9.14396,57.62423,1303,2970,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
37,95,chr1,9301414,9302069,3.47571,8.16307,116,655,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
50,116,chr1,9964647,9964950,3.62613,11.37688,100,303,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
51,116,chr1,9965603,9965873,4.23712,13.64745,101,270,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
