peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3672179,3672640,3.54768,7.35885,214,461,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,11,chr1,3673524,3673933,2.06161,1.26870,62,409,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
8,19,chr1,4494262,4495000,3.10559,5.27087,141,738,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
9,19,chr1,4495986,4498046,4.01201,10.31799,1897,2060,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
9,20,chr1,4495986,4498046,4.01201,10.31799,1897,2060,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
10,20,chr1,4498139,4499065,3.82058,9.38532,808,926,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
16,51,chr1,5915927,5918063,5.66971,21.74718,1215,2136,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
19,95,chr1,9298640,9300995,4.60869,14.02403,1466,2355,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
22,116,chr1,9966760,9968506,3.56877,8.47529,1128,1746,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
22,117,chr1,9966760,9968506,3.56877,8.47529,1128,1746,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
23,136,chr1,10993532,10994062,3.10559,5.27087,159,530,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
24,151,chr1,12691918,12692198,2.60836,2.79296,151,280,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
31,156,chr1,13126434,13126924,3.05821,5.55903,105,490,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
32,156,chr1,13126981,13127738,4.34344,12.07811,629,757,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
33,156,chr1,13127982,13129282,3.12309,6.35222,652,1300,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
41,180,chr1,14753405,14754364,3.72451,8.47529,809,959,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
42,181,chr1,14754908,14757418,4.60869,14.02403,541,2510,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
43,181,chr1,14757561,14757859,2.60836,2.79296,170,298,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
44,181,chr1,14758025,14758286,2.75997,3.96178,126,261,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
46,236,chr1,18057162,18059182,5.38427,19.51808,1583,2020,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
46,237,chr1,18057162,18059182,5.38427,19.51808,1583,2020,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
