peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,5,chr1,3484257,3484657,3.28513,4.46530,148,400,ENSMUSG00000089699,,Gm1992,chr1,3466587,3513553,1
1,14,chr1,3784660,3785103,2.90607,3.07587,282,443,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
2,15,chr1,3977102,3977878,3.41148,4.96917,557,776,ENSMUSG00000102343,,Gm37381,chr1,3905739,3986215,-1
10,42,chr1,5119388,5119860,2.17920,1.26375,149,472,ENSMUSG00000033793,108664.0,Atp6v1h,chr1,5070018,5162529,1
11,42,chr1,5154423,5154663,2.90607,3.07587,125,240,ENSMUSG00000033793,108664.0,Atp6v1h,chr1,5070018,5162529,1
24,58,chr1,6429892,6430350,3.28513,4.46530,374,458,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
25,58,chr1,6437452,6438268,3.15878,3.98218,561,816,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
26,59,chr1,6694253,6694656,2.90607,3.07587,179,403,ENSMUSG00000033740,240690.0,St18,chr1,6487231,6860940,1
45,108,chr1,9792006,9792322,3.28513,4.46530,149,316,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
47,131,chr1,10617854,10618264,3.15878,3.98218,267,410,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
50,140,chr1,11456091,11456508,2.65337,2.25520,294,417,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
51,140,chr1,11487945,11488170,2.65337,2.25520,152,225,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
52,140,chr1,11746053,11747138,3.53783,5.49206,598,1085,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
54,152,chr1,12916329,12916718,3.15878,3.98218,303,389,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
67,198,chr1,15861961,15862302,4.04323,7.77723,161,341,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
68,206,chr1,16491115,16491642,2.77972,2.65744,140,527,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
69,208,chr1,16554088,16554365,2.45201,1.94022,83,277,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
70,208,chr1,16579336,16580057,2.80183,3.44474,558,721,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
78,248,chr1,19075131,19075748,3.28513,4.46530,218,617,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
79,260,chr1,20524107,20524473,2.65337,2.25520,265,366,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
80,264,chr1,20728101,20728778,4.54864,10.33915,177,677,ENSMUSG00000025929,16171.0,Il17a,chr1,20730905,20734496,1
81,273,chr1,20942792,20943245,2.46232,2.53502,188,453,ENSMUSG00000100929,,Gm28064,chr1,20945711,20946914,1
82,275,chr1,21067418,21067775,2.52702,1.87778,182,357,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
84,296,chr1,21857877,21858129,2.52702,1.87778,88,252,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
85,300,chr1,22619125,22619421,3.28513,4.46530,191,296,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
96,323,chr1,24478447,24478665,2.52702,1.87778,53,218,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
98,332,chr1,24716917,24717456,4.16958,8.39416,170,539,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
100,344,chr1,25348136,25348515,2.99791,3.49780,229,379,ENSMUSG00000103214,,Gm38286,chr1,25345978,25349082,-1
127,411,chr1,32371691,32372119,2.52702,1.87778,305,428,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
128,411,chr1,32630330,32630655,2.65337,2.25520,56,325,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
133,437,chr1,33640139,33640520,2.23794,2.10091,208,381,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
139,460,chr1,34427455,34427877,3.37030,5.05943,114,422,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
140,460,chr1,34427943,34428881,3.53783,5.49206,292,938,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
141,460,chr1,34429133,34429743,2.89783,3.51846,368,610,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
142,460,chr1,34429843,34430723,3.66418,6.03309,753,880,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
143,460,chr1,34430853,34431911,4.35437,10.04948,120,1058,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
146,478,chr1,34689289,34689543,2.52773,2.00227,141,254,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
147,478,chr1,34775813,34776094,2.03865,0.98066,4,281,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
148,478,chr1,34776437,34777173,3.56657,6.43849,172,736,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
152,486,chr1,34929509,34931053,4.04323,7.77723,1242,1544,ENSMUSG00000103716,,Gm19430,chr1,34928509,34930645,1
182,515,chr1,36511118,36511475,3.00929,3.98218,152,357,ENSMUSG00000001138,94218.0,Cnnm3,chr1,36511867,36528237,1
183,529,chr1,36775471,36775959,2.52702,1.87778,426,488,ENSMUSG00000026117,22637.0,Zap70,chr1,36761798,36782818,1
186,537,chr1,37047863,37048252,3.03243,3.51846,101,389,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
187,537,chr1,37094049,37094821,3.15878,3.98218,307,772,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
188,537,chr1,37160990,37161245,2.90607,3.07587,118,255,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
189,537,chr1,37164594,37164882,3.41148,4.96917,160,288,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
190,539,chr1,37228562,37229150,3.00920,3.63203,160,588,ENSMUSG00000026114,12790.0,Cnga3,chr1,37214434,37263384,1
191,539,chr1,37229781,37230261,2.90607,3.07587,88,480,ENSMUSG00000026114,12790.0,Cnga3,chr1,37214434,37263384,1
193,541,chr1,37328764,37329446,2.65337,2.25520,558,682,ENSMUSG00000026113,269180.0,Inpp4a,chr1,37299865,37410736,1
194,544,chr1,37424429,37424757,2.65337,2.25520,49,328,ENSMUSG00000026112,76178.0,Coa5,chr1,37417084,37430103,-1
195,548,chr1,37506506,37507037,2.77972,2.65744,160,531,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
196,548,chr1,37518979,37519264,2.52702,1.87778,81,285,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
199,554,chr1,37837224,37837434,2.56347,2.29913,148,210,ENSMUSG00000060771,211484.0,Tsga10,chr1,37754776,37866429,-1
200,554,chr1,37853254,37853722,2.89783,3.51846,308,468,ENSMUSG00000060771,211484.0,Tsga10,chr1,37754776,37866429,-1
201,553,chr1,37867100,37867322,3.15878,3.98218,110,222,ENSMUSG00000097268,,Gm26805,chr1,37865299,37871388,1
201,554,chr1,37867100,37867322,3.15878,3.98218,110,222,ENSMUSG00000060771,211484.0,Tsga10,chr1,37754776,37866429,-1
202,555,chr1,37874966,37875537,2.44748,1.93360,420,571,ENSMUSG00000037216,623661.0,Lipt1,chr1,37871738,37876228,1
202,556,chr1,37874966,37875537,2.44748,1.93360,420,571,ENSMUSG00000026088,69028.0,Mitd1,chr1,37874801,37890411,-1
203,565,chr1,38112739,38112987,2.34056,1.60210,178,248,ENSMUSG00000026082,56210.0,Rev1,chr1,38052786,38129801,-1
