peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
4,11,chr1,3671877,3672622,3.75784,5.13622,555,745,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
12,19,chr1,4496509,4497693,3.88505,6.27576,551,1184,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
12,20,chr1,4496509,4497693,3.88505,6.27576,551,1184,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
26,40,chr1,4970562,4971024,2.59200,2.71205,281,462,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
32,51,chr1,5916407,5916923,3.60234,4.55472,386,516,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
33,51,chr1,5917207,5917888,3.29133,4.02335,596,681,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
41,54,chr1,6215792,6216886,4.44196,9.07407,213,1094,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
43,55,chr1,6358911,6359171,3.75784,5.13622,153,260,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
44,55,chr1,6359248,6359612,3.42723,4.24884,187,364,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
46,60,chr1,6866434,6867221,5.38839,11.63869,194,787,ENSMUSG00000103329,,Gm42492,chr1,6861237,6864151,-1
47,67,chr1,7087793,7088322,4.31072,9.07407,180,529,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
52,68,chr1,7137345,7137982,3.89813,6.59427,321,637,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
53,68,chr1,7138131,7138804,4.84638,8.95432,480,673,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
58,101,chr1,9544704,9545016,3.12831,5.00447,165,312,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
