peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670291,3672766,40.61607,215.55165,1167,2475,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,32,chr1,4785152,4786283,15.67915,52.92804,418,1131,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
4,33,chr1,4807342,4808304,15.85844,52.92804,274,962,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
4,34,chr1,4807342,4808304,15.85844,52.92804,274,962,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
5,35,chr1,4857226,4858689,9.71960,25.22054,259,1463,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,54,chr1,6214123,6215505,32.71157,149.84848,679,1382,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
12,57,chr1,6382850,6383307,5.24306,7.81535,186,457,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
20,67,chr1,7087806,7089708,36.77439,180.58214,822,1902,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
23,74,chr1,7397643,7397992,17.29275,60.93676,159,349,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
24,74,chr1,7398092,7398778,9.34931,35.06686,380,686,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
27,95,chr1,9298225,9300948,19.80665,101.23819,1097,2723,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
28,101,chr1,9545432,9545669,4.33219,6.49685,102,237,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
28,102,chr1,9545432,9545669,4.33219,6.49685,102,237,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
29,101,chr1,9545769,9546019,3.84610,3.64717,72,250,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
29,102,chr1,9545769,9546019,3.84610,3.64717,72,250,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
32,104,chr1,9601033,9602579,5.35728,14.44000,480,1546,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
34,105,chr1,9630547,9630825,2.58920,1.73489,224,278,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
35,107,chr1,9700552,9700912,3.86566,4.06794,228,360,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
36,108,chr1,9747506,9748450,15.48909,65.38685,693,944,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
36,109,chr1,9747506,9748450,15.48909,65.38685,693,944,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
37,110,chr1,9798199,9798610,3.86566,4.06794,362,411,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
39,114,chr1,9942702,9943337,4.38397,5.05696,171,635,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
40,114,chr1,9943382,9944717,13.33526,42.74799,529,1335,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
40,115,chr1,9943382,9944717,13.33526,42.74799,529,1335,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
41,121,chr1,10037495,10038636,31.09798,140.13055,534,1141,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
41,122,chr1,10037495,10038636,31.09798,140.13055,534,1141,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
42,122,chr1,10039418,10039675,4.57516,7.43994,134,257,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
43,122,chr1,10039713,10040368,15.40135,52.89219,240,655,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
44,126,chr1,10231633,10233818,24.46430,99.62881,1240,2185,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
47,136,chr1,10993527,10994060,4.92183,6.57996,383,533,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
48,140,chr1,11413560,11413804,3.23027,3.25232,135,244,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
49,140,chr1,11413874,11414737,6.40792,14.82364,265,863,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
49,141,chr1,11413874,11414737,6.40792,14.82364,265,863,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
51,151,chr1,12692221,12692680,3.17935,2.17994,160,459,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
59,152,chr1,12990413,12993097,24.82287,102.64587,1675,2684,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
69,165,chr1,13372573,13374775,35.58019,167.97446,403,2202,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
69,166,chr1,13372573,13374775,35.58019,167.97446,403,2202,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
72,168,chr1,13589042,13589920,25.18145,104.15856,680,878,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
73,179,chr1,14309596,14310250,10.75264,30.82207,358,654,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
75,188,chr1,15285944,15288206,28.83097,131.10368,1084,2262,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
80,195,chr1,15805061,15805483,8.60211,25.94448,252,422,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
81,195,chr1,15805599,15806454,23.02999,92.17656,220,855,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
82,200,chr1,16093014,16093415,3.48753,2.99856,101,401,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
83,201,chr1,16103785,16106337,50.89673,270.83624,1097,2552,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
83,202,chr1,16103785,16106337,50.89673,270.83624,1097,2552,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
85,206,chr1,16518384,16520763,35.40091,166.30762,1538,2379,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
86,207,chr1,16617832,16620170,11.59214,43.12495,1062,2338,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
86,208,chr1,16617832,16620170,11.59214,43.12495,1062,2338,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
