peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,14,chr1,3783813,3784124,3.42656,2.80009,168,311,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
3,15,chr1,3977399,3977646,3.24621,2.31813,115,247,ENSMUSG00000102343,,Gm37381,chr1,3905739,3986215,-1
19,58,chr1,6430009,6430262,3.42656,2.80009,137,253,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
37,125,chr1,10197535,10197811,3.96760,4.46663,117,276,ENSMUSG00000102556,,Gm37569,chr1,10197081,10198802,-1
37,126,chr1,10197535,10197811,3.96760,4.46663,117,276,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
38,131,chr1,10643137,10643378,3.18841,2.28182,100,241,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
39,140,chr1,11915398,11915827,3.06587,1.87412,127,429,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
45,188,chr1,15619866,15620206,3.08361,2.26142,163,340,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
48,206,chr1,16414966,16415663,3.24621,2.31813,458,697,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
54,248,chr1,19072551,19072810,3.06587,1.87412,97,259,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
59,296,chr1,21755649,21755901,2.50211,1.11146,149,252,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
60,303,chr1,23165470,23165770,3.60690,3.32115,164,300,ENSMUSG00000101227,,Gm29506,chr1,23048295,23235673,-1
65,321,chr1,24208374,24208701,3.71981,3.77581,121,327,ENSMUSG00000026147,12839.0,Col9a1,chr1,24177610,24252684,1
68,355,chr1,25775253,25775463,2.70518,1.11146,88,210,ENSMUSG00000103924,,Gm37895,chr1,25775757,25780306,-1
107,411,chr1,32267205,32267495,2.88552,1.47316,176,290,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
113,447,chr1,34102680,34102919,2.92131,1.86577,115,239,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
114,460,chr1,34429144,34429909,2.67436,1.87412,336,765,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
115,460,chr1,34430937,34432402,3.89351,5.25780,443,1465,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
117,486,chr1,34929994,34930433,2.78012,1.86577,72,439,ENSMUSG00000103716,,Gm19430,chr1,34928509,34930645,1
125,537,chr1,37147172,37147602,2.65909,1.16396,96,430,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
126,537,chr1,37159650,37159876,3.01127,1.86577,95,226,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
127,537,chr1,37160123,37160430,3.01788,2.13527,144,307,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
128,544,chr1,37422314,37422744,2.88552,1.47316,327,430,ENSMUSG00000026112,76178.0,Coa5,chr1,37417084,37430103,-1
129,544,chr1,37424149,37424680,3.60690,3.32115,152,531,ENSMUSG00000026112,76178.0,Coa5,chr1,37417084,37430103,-1
132,584,chr1,39277143,39277346,2.84526,1.86577,173,203,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
132,585,chr1,39277143,39277346,2.84526,1.86577,173,203,ENSMUSG00000092553,,Gm20428,chr1,39276283,39276565,-1
133,584,chr1,39352555,39352915,3.42656,2.80009,309,360,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
138,620,chr1,40778608,40779336,4.44297,6.26386,170,728,ENSMUSG00000103270,,Gm37915,chr1,40771385,40785343,1
138,621,chr1,40778608,40779336,4.44297,6.26386,170,728,ENSMUSG00000041945,211798.0,Mfsd9,chr1,40772038,40790687,-1
139,620,chr1,40779599,40779783,2.52483,0.79061,142,184,ENSMUSG00000103270,,Gm37915,chr1,40771385,40785343,1
139,621,chr1,40779599,40779783,2.52483,0.79061,142,184,ENSMUSG00000041945,211798.0,Mfsd9,chr1,40772038,40790687,-1
141,631,chr1,42286626,42286955,4.07407,4.94823,164,329,ENSMUSG00000101299,,Gm28175,chr1,42261855,42304412,1
