peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,11,chr1,3670142,3672775,36.36868,325.97540,1967,2633,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,19,chr1,4496711,4497711,6.92737,26.41958,725,1000,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4496711,4497711,6.92737,26.41958,725,1000,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,26,chr1,4689076,4689483,3.73012,7.60833,178,407,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
8,32,chr1,4784082,4787076,29.70775,247.19749,972,2994,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
9,33,chr1,4807264,4809315,20.60513,171.20570,1280,2051,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
9,34,chr1,4807264,4809315,20.60513,171.20570,1280,2051,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
10,35,chr1,4856804,4859921,24.58348,307.52090,1894,3117,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,40,chr1,4970835,4971298,2.99893,5.01384,121,463,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
15,47,chr1,5588090,5589316,31.54664,273.00543,597,1226,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
16,51,chr1,5916254,5918112,44.05153,428.08823,587,1858,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
17,54,chr1,6213217,6216831,20.43075,224.97520,2309,3614,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
19,55,chr1,6358707,6359803,40.63168,378.48654,618,1096,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
20,57,chr1,6382541,6383737,36.50190,327.59341,600,1196,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
21,58,chr1,6440977,6441933,30.50706,256.41708,432,956,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
30,67,chr1,7087823,7088833,24.51223,189.04454,556,1010,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
31,67,chr1,7088977,7090800,32.29232,277.89996,907,1823,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
34,74,chr1,7396980,7397878,8.25955,35.84380,315,898,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
35,74,chr1,7398138,7398871,20.24923,143.96597,405,733,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
40,95,chr1,9298067,9301026,44.09536,422.20218,1947,2959,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
41,101,chr1,9544576,9545291,21.19786,190.86163,423,715,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
42,101,chr1,9545394,9549210,28.50879,233.49730,610,3816,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
42,102,chr1,9545394,9549210,28.50879,233.49730,610,3816,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
44,104,chr1,9600929,9603031,15.17138,109.65646,614,2102,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
46,105,chr1,9630577,9630943,2.79759,3.55625,310,366,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
50,107,chr1,9699175,9701471,38.94302,425.49023,770,2296,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
54,108,chr1,9744778,9745197,24.51223,189.04454,230,419,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
55,108,chr1,9745331,9748433,53.22892,549.63617,2173,3102,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
55,109,chr1,9745331,9748433,53.22892,549.63617,2173,3102,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
56,109,chr1,9748604,9748976,15.45336,96.78204,182,372,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
58,110,chr1,9797349,9799440,47.82549,470.22824,571,2091,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
60,113,chr1,9908301,9909334,22.51395,167.58707,399,1033,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
61,114,chr1,9941326,9944780,47.60173,495.46432,1654,3454,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
61,115,chr1,9941326,9944780,47.60173,495.46432,1654,3454,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
62,116,chr1,9967031,9968555,21.98107,161.95992,1143,1524,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
62,117,chr1,9967031,9968555,21.98107,161.95992,1143,1524,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
63,119,chr1,10008601,10009787,24.51677,191.96043,519,1186,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
63,120,chr1,10008601,10009787,24.51677,191.96043,519,1186,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
65,121,chr1,10036312,10036543,3.46368,6.36521,140,231,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
66,121,chr1,10036733,10038216,42.23030,398.55301,724,1483,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
66,122,chr1,10036733,10038216,42.23030,398.55301,724,1483,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
67,121,chr1,10038293,10041058,31.76721,378.05466,778,2765,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
67,122,chr1,10038293,10041058,31.76721,378.05466,778,2765,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
68,126,chr1,10231273,10234068,36.45233,356.82217,880,2795,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
69,136,chr1,10993055,10994807,52.49136,580.13873,605,1752,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
71,140,chr1,11413368,11415601,39.66238,372.56894,1148,2233,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
