peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,14,chr1,3784874,3785210,4.41180,5.86013,162,336,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
4,34,chr1,4883288,4883582,2.94973,1.49419,209,294,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
4,35,chr1,4883288,4883582,2.94973,1.49419,209,294,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
8,42,chr1,5119611,5119853,3.30224,2.93522,123,242,ENSMUSG00000033793,108664.0,Atp6v1h,chr1,5070018,5162529,1
15,126,chr1,10215021,10215257,3.92445,3.97697,82,236,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
16,140,chr1,11746215,11746670,3.59954,3.46942,267,455,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
17,140,chr1,11914779,11915721,2.39279,1.17093,590,942,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
19,152,chr1,12892502,12893610,3.27464,2.42493,171,1108,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
20,152,chr1,12957113,12957434,3.33437,3.22717,163,321,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
28,208,chr1,16579646,16579849,3.11218,1.94562,98,203,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
37,264,chr1,20727938,20728500,2.50078,1.51305,176,562,ENSMUSG00000025929,16171.0,Il17a,chr1,20730905,20734496,1
41,303,chr1,23168982,23169206,3.04073,3.20093,150,224,ENSMUSG00000101227,,Gm29506,chr1,23048295,23235673,-1
45,314,chr1,23811777,23812117,2.94973,1.49419,184,340,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
47,332,chr1,24716927,24717225,4.19829,6.05302,115,298,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
60,411,chr1,32630330,32630677,3.92445,3.97697,211,347,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
66,437,chr1,33640198,33640580,3.27464,2.42493,72,382,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
