peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3673306,3674008,2.57460,3.89498,495,702,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4494146,4495443,4.95708,27.42323,1090,1297,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,19,chr1,4495619,4502947,7.60704,49.49375,4892,7328,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,20,chr1,4495619,4502947,7.60704,49.49375,4892,7328,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
22,47,chr1,5588963,5589366,3.15556,7.19553,165,403,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
24,51,chr1,5915731,5918132,6.22633,31.64777,559,2401,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
25,51,chr1,5918233,5919547,2.04387,3.61079,663,1314,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
26,55,chr1,6358748,6360388,4.77496,19.00288,814,1640,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
28,95,chr1,9298074,9300250,3.84198,12.50019,395,2176,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
29,95,chr1,9300453,9301043,2.53490,5.60925,309,590,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
30,95,chr1,9301227,9302087,3.26481,8.04289,300,860,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
31,103,chr1,9572729,9573277,3.23855,7.71882,154,548,ENSMUSG00000081441,,Gm6161,chr1,9574548,9575649,1
40,104,chr1,9599601,9599965,2.77535,5.06717,112,364,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
46,105,chr1,9632776,9633245,2.48132,4.53764,173,469,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
49,107,chr1,9699239,9700057,3.07256,6.68469,273,818,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
