peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,11,chr1,3668997,3672766,61.49180,641.79272,2216,3769,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,19,chr1,4496248,4496600,3.29081,5.75255,170,352,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,19,chr1,4497013,4497968,4.62549,11.87235,493,955,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4497013,4497968,4.62549,11.87235,493,955,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,26,chr1,4689119,4689429,5.16966,14.89818,189,310,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
8,32,chr1,4784745,4786398,51.76701,548.95465,821,1653,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
9,32,chr1,4786557,4786832,3.41738,6.34244,152,275,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
10,33,chr1,4807249,4808927,58.77092,605.13013,785,1678,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
10,34,chr1,4807249,4808927,58.77092,605.13013,785,1678,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
11,35,chr1,4856865,4859163,61.08367,636.27094,1423,2298,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
15,47,chr1,5588104,5589267,20.95075,148.25514,405,1163,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
16,51,chr1,5916358,5918081,34.41908,296.74927,832,1723,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
17,54,chr1,6213254,6216592,47.45364,637.42249,1881,3338,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
19,55,chr1,6358732,6359669,22.04470,183.46310,607,937,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
20,57,chr1,6382585,6383661,38.63644,347.08475,441,1076,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
21,58,chr1,6440972,6441801,26.66459,208.65198,433,829,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
28,67,chr1,7087821,7090686,45.16654,427.84833,1309,2865,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
30,74,chr1,7396930,7399046,51.15247,504.49841,858,2116,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
33,95,chr1,9298015,9300837,39.99603,389.43188,1303,2822,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
34,101,chr1,9544732,9548852,52.90614,564.89825,843,4120,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
34,102,chr1,9544732,9548852,52.90614,564.89825,843,4120,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
35,104,chr1,9600938,9603445,24.37730,194.39374,607,2507,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
37,107,chr1,9699280,9701465,48.77976,545.95325,1479,2185,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
39,108,chr1,9744427,9745182,10.06724,48.70098,596,755,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
40,108,chr1,9745363,9748932,65.98125,703.00513,2698,3569,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
40,109,chr1,9745363,9748932,65.98125,703.00513,2698,3569,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
41,110,chr1,9797416,9799354,57.81862,592.38226,932,1938,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
43,113,chr1,9908382,9909120,12.17616,67.60284,369,738,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
44,114,chr1,9942138,9944797,53.93916,623.28680,1774,2659,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
44,115,chr1,9942138,9944797,53.93916,623.28680,1774,2659,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
45,116,chr1,9966878,9968554,12.25001,82.26810,1305,1676,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
45,117,chr1,9966878,9968554,12.25001,82.26810,1305,1676,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
46,119,chr1,10008712,10009553,17.00548,109.38941,318,841,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
46,120,chr1,10008712,10009553,17.00548,109.38941,318,841,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
47,121,chr1,10036773,10041028,66.25333,706.74091,3226,4255,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
47,122,chr1,10036773,10041028,66.25333,706.74091,3226,4255,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
48,126,chr1,10231004,10233995,58.86403,698.62262,1319,2991,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
49,136,chr1,10992968,10994936,45.02747,490.90109,725,1968,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
51,140,chr1,11413413,11415533,37.00391,327.41803,1052,2120,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
51,141,chr1,11413413,11415533,37.00391,327.41803,1052,2120,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
53,151,chr1,12691728,12694201,10.45877,79.96913,1325,2473,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
59,152,chr1,12987783,12993300,44.62237,420.99799,4454,5517,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
62,156,chr1,13126274,13126773,3.11235,5.02972,322,499,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
63,156,chr1,13128171,13128828,5.44175,16.48012,214,657,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
64,165,chr1,13371330,13375003,67.06960,717.96497,1640,3673,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
64,166,chr1,13371330,13375003,67.06960,717.96497,1640,3673,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
66,168,chr1,13587908,13590388,56.73027,577.86908,1535,2480,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
67,170,chr1,13659693,13661018,37.13581,378.12143,690,1325,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
71,179,chr1,14308247,14310722,36.10321,344.47427,1639,2475,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
75,181,chr1,14754740,14756570,41.04066,433.63968,930,1830,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
76,185,chr1,14918466,14919248,12.65207,69.94423,361,782,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
77,188,chr1,15285973,15288447,50.47225,495.67346,738,2474,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
79,195,chr1,15805008,15806856,62.44411,654.70679,968,1848,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
80,198,chr1,15892188,15893207,37.27600,330.68015,549,1019,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
81,200,chr1,16092669,16093688,32.10634,269.82919,613,1019,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
82,201,chr1,16102910,16107999,56.32214,572.44226,2592,5089,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
82,202,chr1,16102910,16107999,56.32214,572.44226,2592,5089,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
83,206,chr1,16517842,16520650,56.59422,576.05920,1156,2808,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
84,207,chr1,16616410,16616899,4.62549,11.87235,177,489,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
85,207,chr1,16617125,16619908,67.47773,723.58466,1750,2783,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
85,208,chr1,16617125,16619908,67.47773,723.58466,1750,2783,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
86,209,chr1,16655187,16657949,47.78400,544.32361,1461,2762,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
86,210,chr1,16655187,16657949,47.78400,544.32361,1461,2762,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
87,211,chr1,16664885,16666438,59.17905,610.60730,633,1553,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
87,212,chr1,16664885,16666438,59.17905,610.60730,633,1553,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
88,213,chr1,16687861,16689159,25.79699,229.26077,745,1298,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
89,218,chr1,17096423,17098262,45.31196,460.21735,1206,1839,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
90,220,chr1,17145130,17146800,48.29555,467.62701,445,1670,ENSMUSG00000025777,14545.0,Gdap1,chr1,17145362,17164271,1
91,229,chr1,17726860,17728102,20.38504,209.62646,702,1242,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
91,230,chr1,17726860,17728102,20.38504,209.62646,702,1242,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
92,236,chr1,18056976,18059347,42.79955,458.73895,1588,2371,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
