peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670997,3671767,5.58203,11.34093,459,770,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
1,11,chr1,3671856,3672279,5.27476,9.69670,237,423,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,32,chr1,4784801,4786322,11.91815,51.40608,731,1521,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807407,4809033,11.66812,50.26661,614,1626,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807407,4809033,11.66812,50.26661,614,1626,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4856866,4857678,5.50068,15.19221,552,812,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
7,35,chr1,4857738,4858972,11.40714,47.21655,617,1234,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,54,chr1,6213629,6215841,20.63820,97.03247,1207,2212,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
12,55,chr1,6359098,6359570,4.55055,7.14880,176,472,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
13,57,chr1,6382839,6383203,7.42564,19.43982,178,364,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
14,58,chr1,6441169,6441714,8.65471,25.39416,309,545,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
15,67,chr1,7087855,7088826,13.85172,55.30946,636,971,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
16,67,chr1,7088903,7090655,8.07243,31.09141,460,1752,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
17,74,chr1,7397645,7397902,5.45066,11.04749,129,257,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
18,74,chr1,7398192,7398779,7.57927,20.40036,284,587,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
20,101,chr1,9544817,9545267,6.85412,17.50982,265,450,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
21,101,chr1,9545457,9546269,9.73016,30.63804,113,812,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
21,102,chr1,9545457,9546269,9.73016,30.63804,113,812,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
22,107,chr1,9699383,9701375,10.34469,33.89622,1566,1992,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
23,108,chr1,9746817,9747087,4.19932,5.91885,117,270,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
24,108,chr1,9747150,9748454,16.52906,76.39356,990,1304,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
24,109,chr1,9747150,9748454,16.52906,76.39356,990,1304,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
25,109,chr1,9748670,9748915,3.43114,3.27127,114,245,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
26,110,chr1,9797566,9798979,20.17730,94.25851,792,1413,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
28,113,chr1,9908601,9909033,4.51637,7.90051,174,432,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
29,114,chr1,9942213,9944657,36.00164,211.21704,1688,2444,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
29,115,chr1,9942213,9944657,36.00164,211.21704,1688,2444,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
30,116,chr1,9967279,9968368,6.95085,17.16211,839,1089,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
30,117,chr1,9967279,9968368,6.95085,17.16211,839,1089,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
31,119,chr1,10008785,10009457,4.96749,8.90846,237,672,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
31,120,chr1,10008785,10009457,4.96749,8.90846,237,672,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
32,121,chr1,10036856,10039295,17.97363,94.98759,871,2439,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
32,122,chr1,10036856,10039295,17.97363,94.98759,871,2439,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
33,122,chr1,10039341,10040623,14.91490,69.67310,608,1282,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
34,126,chr1,10231394,10233989,20.30253,97.18482,1432,2595,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
35,136,chr1,10993384,10994506,13.72465,53.68211,241,1122,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
36,140,chr1,11413901,11414740,5.60068,11.87960,619,839,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
36,141,chr1,11413901,11414740,5.60068,11.87960,619,839,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
41,152,chr1,12991252,12992720,3.31290,5.27856,316,1468,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
43,165,chr1,13372557,13374872,24.63270,125.68912,974,2315,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
43,166,chr1,13372557,13374872,24.63270,125.68912,974,2315,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
45,168,chr1,13588206,13589987,22.40280,112.66594,1388,1781,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
46,168,chr1,13590077,13590384,3.66711,5.46756,67,307,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
47,170,chr1,13659877,13660958,8.04266,26.98646,433,1081,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
48,179,chr1,14309386,14310438,9.65119,31.15219,526,1052,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
49,181,chr1,14755241,14756017,4.85059,8.65388,407,776,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
50,188,chr1,15286311,15287727,9.88379,31.71703,801,1416,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
51,195,chr1,15805584,15806637,19.74133,119.07774,254,1053,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
52,198,chr1,15892311,15893144,7.50500,24.60839,527,833,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
53,200,chr1,16092869,16093512,5.07205,12.86206,234,643,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
54,201,chr1,16102913,16107553,26.78358,140.55551,1032,4640,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
54,202,chr1,16102913,16107553,26.78358,140.55551,1032,4640,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
57,206,chr1,16519710,16520389,17.10461,74.00705,221,679,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
58,207,chr1,16617398,16619725,28.86462,165.12410,1518,2327,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
58,208,chr1,16617398,16619725,28.86462,165.12410,1518,2327,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
59,209,chr1,16655741,16657174,14.95373,61.12995,901,1433,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
59,210,chr1,16655741,16657174,14.95373,61.12995,901,1433,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
60,209,chr1,16657307,16658040,4.70999,7.90843,318,733,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
60,210,chr1,16657307,16658040,4.70999,7.90843,318,733,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
61,211,chr1,16664868,16666407,23.07238,120.59190,655,1539,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
61,212,chr1,16664868,16666407,23.07238,120.59190,655,1539,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
62,213,chr1,16687778,16689146,12.22597,45.79414,833,1368,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
63,218,chr1,17096528,17097874,8.34745,23.36230,1163,1346,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
64,227,chr1,17601978,17602320,2.71461,2.59627,180,342,ENSMUSG00000067780,94227.0,Pi15,chr1,17601901,17630939,1
65,229,chr1,17727119,17728092,6.04293,13.03988,453,973,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
65,230,chr1,17727119,17728092,6.04293,13.03988,453,973,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
66,236,chr1,18057992,18058985,3.83407,5.92063,679,993,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
66,237,chr1,18057992,18058985,3.83407,5.92063,679,993,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
67,267,chr1,20818785,20819074,4.21093,6.33870,161,289,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
68,266,chr1,20819135,20820320,12.34194,45.28240,864,1185,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
68,267,chr1,20819135,20820320,12.34194,45.28240,864,1185,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
69,270,chr1,20890136,20891676,8.37646,28.19495,631,1540,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
69,271,chr1,20890136,20891676,8.37646,28.19495,631,1540,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
70,274,chr1,20951582,20952311,8.60629,30.43327,288,729,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
72,275,chr1,21077875,21079238,10.66799,43.57851,1175,1363,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
72,276,chr1,21077875,21079238,10.66799,43.57851,1175,1363,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
73,275,chr1,21079391,21079966,10.19106,32.79939,249,575,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
73,276,chr1,21079391,21079966,10.19106,32.79939,249,575,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
75,278,chr1,21218424,21219478,12.66824,57.18221,295,1054,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
76,296,chr1,21960403,21962642,6.05074,13.58371,1293,2239,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
78,300,chr1,22805303,22806593,9.26925,28.51249,666,1290,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
79,305,chr1,23255806,23256058,2.75033,3.15986,119,252,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
80,305,chr1,23256183,23257754,13.41834,61.89396,648,1571,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
82,314,chr1,23762066,23762666,3.80807,5.05150,165,600,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
83,315,chr1,23921485,23922699,19.25549,88.75171,663,1214,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
84,316,chr1,24004806,24005938,10.85849,51.66767,683,1132,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
