peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,32,chr1,4785681,4785926,3.16778,1.62344,194,245,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
3,33,chr1,4807640,4808152,6.33146,10.71122,339,512,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
3,34,chr1,4807640,4808152,6.33146,10.71122,339,512,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
4,35,chr1,4857138,4857655,5.32050,9.86520,215,517,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
5,35,chr1,4857807,4858519,7.91331,16.45162,351,712,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
7,54,chr1,6214487,6215354,14.76796,46.64965,363,867,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
8,67,chr1,7087864,7089665,19.69805,75.09914,679,1801,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
10,101,chr1,9545481,9545709,3.95870,3.49688,99,228,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
10,102,chr1,9545481,9545709,3.95870,3.49688,99,228,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
12,107,chr1,9700503,9700935,4.74962,5.66979,115,432,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
13,108,chr1,9747802,9748457,9.05467,21.32172,296,655,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
13,109,chr1,9747802,9748457,9.05467,21.32172,296,655,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
14,110,chr1,9797842,9798514,5.01326,6.45299,586,672,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
15,114,chr1,9942904,9944093,8.86623,21.48632,996,1189,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
15,115,chr1,9942904,9944093,8.86623,21.48632,996,1189,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
16,121,chr1,10037520,10038258,12.01654,43.97030,533,738,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
16,122,chr1,10037520,10038258,12.01654,43.97030,533,738,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
17,121,chr1,10038388,10038863,3.51624,2.56054,254,475,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
17,122,chr1,10038388,10038863,3.51624,2.56054,254,475,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
18,122,chr1,10039737,10040171,7.92708,22.04525,190,434,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
19,126,chr1,10232123,10233432,11.54447,33.00742,699,1309,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
21,136,chr1,10993134,10994285,7.91331,16.45162,506,1151,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
29,151,chr1,12689924,12690564,5.01326,6.45299,187,640,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
31,165,chr1,13372524,13374461,29.00454,123.43774,420,1937,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
31,166,chr1,13372524,13374461,29.00454,123.43774,420,1937,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
32,168,chr1,13588970,13589931,12.21348,45.13277,619,961,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
33,170,chr1,13660138,13660423,4.56768,5.97623,169,285,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
37,179,chr1,14309375,14310318,10.72926,31.88237,416,943,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
38,195,chr1,15805185,15805410,2.81565,2.42384,135,225,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
39,195,chr1,15805626,15806033,6.30521,14.03883,200,407,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
40,201,chr1,16104102,16105889,20.19041,77.90804,778,1787,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
40,202,chr1,16104102,16105889,20.19041,77.90804,778,1787,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
42,204,chr1,16227835,16228606,5.77418,9.27497,317,771,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
45,206,chr1,16519747,16520120,4.92662,8.30985,163,373,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
46,207,chr1,16618824,16619256,4.22234,4.18948,164,432,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
46,208,chr1,16618824,16619256,4.22234,4.18948,164,432,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
47,209,chr1,16656197,16657263,15.02067,50.91700,588,1066,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
47,210,chr1,16656197,16657263,15.02067,50.91700,588,1066,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
48,209,chr1,16657361,16657633,3.95870,3.49688,194,272,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
48,210,chr1,16657361,16657633,3.95870,3.49688,194,272,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
49,209,chr1,16657777,16658010,4.51977,5.27856,87,233,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
49,210,chr1,16657777,16658010,4.51977,5.27856,87,233,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
50,211,chr1,16665025,16665714,7.38603,14.47058,354,689,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
50,212,chr1,16665025,16665714,7.38603,14.47058,354,689,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
