peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670643,3672175,9.10608,18.43215,1251,1532,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,26,chr1,4689142,4689564,3.49440,2.44361,146,422,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
3,32,chr1,4784006,4786990,28.81890,103.30616,2196,2984,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
4,33,chr1,4807020,4809335,25.65334,89.00500,1197,2315,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
4,34,chr1,4807020,4809335,25.65334,89.00500,1197,2315,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
5,35,chr1,4856402,4860025,26.72265,117.62443,2313,3623,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,51,chr1,5916926,5917139,3.49440,2.44361,55,213,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
12,54,chr1,6213090,6216803,29.38254,107.58881,849,3713,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
14,55,chr1,6358953,6359553,7.37941,13.05203,218,600,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
15,57,chr1,6382588,6383514,12.84720,32.85474,411,926,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
16,58,chr1,6441221,6441686,4.51625,6.52256,244,465,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
17,67,chr1,7087635,7088780,9.59168,53.74158,812,1145,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
18,67,chr1,7089028,7090783,28.96280,104.91810,516,1755,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
20,74,chr1,7396670,7399018,34.57447,132.96638,1806,2348,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
21,101,chr1,9544275,9545250,24.64422,105.53372,656,975,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
22,101,chr1,9545344,9548798,18.95588,72.31657,231,3454,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
22,102,chr1,9545344,9548798,18.95588,72.31657,231,3454,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
23,107,chr1,9699283,9701468,38.13227,163.79750,809,2185,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
24,108,chr1,9742641,9745182,20.58381,81.19114,1940,2541,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
25,108,chr1,9745287,9748365,39.00571,167.62436,1797,3078,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
25,109,chr1,9745287,9748365,39.00571,167.62436,1797,3078,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
26,109,chr1,9748605,9749232,22.06203,75.43302,189,627,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
