peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
5,11,chr1,3670191,3672750,22.55556,95.23480,2291,2559,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
8,20,chr1,4497112,4497606,2.66552,2.38454,270,494,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
10,32,chr1,4784680,4785609,24.53066,105.65672,459,929,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
11,32,chr1,4785784,4786374,15.57564,91.22392,363,590,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
12,33,chr1,4807284,4809038,19.85631,77.97057,225,1754,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
12,34,chr1,4807284,4809038,19.85631,77.97057,225,1754,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
13,35,chr1,4856892,4857634,15.43396,49.06794,525,742,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
14,35,chr1,4858010,4859172,24.40276,128.15598,692,1162,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
18,47,chr1,5588171,5589275,22.45317,92.33218,332,1104,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
19,51,chr1,5916338,5918087,35.06463,156.72751,546,1749,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
22,54,chr1,6214686,6216757,27.64690,123.94598,889,2071,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
24,55,chr1,6358771,6359696,21.59815,106.53210,544,925,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
25,57,chr1,6382539,6383554,19.62453,93.96467,602,1015,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
26,58,chr1,6441099,6441808,23.22849,88.62003,284,709,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
32,67,chr1,7087845,7088769,21.18089,94.98238,481,924,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
33,67,chr1,7089117,7090777,30.44565,128.95433,766,1660,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
35,74,chr1,7397013,7397606,7.49508,14.85286,220,593,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
36,74,chr1,7398138,7398794,19.76425,71.08662,325,656,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
42,95,chr1,9298053,9301038,23.05239,117.95844,1997,2985,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
43,101,chr1,9544777,9545268,27.55878,113.10170,233,491,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
44,101,chr1,9545451,9546889,13.84618,41.29185,512,1438,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
44,102,chr1,9545451,9546889,13.84618,41.29185,512,1438,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
45,102,chr1,9546943,9548487,7.92640,17.36171,1164,1544,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
46,104,chr1,9600965,9602909,12.71494,39.63907,537,1944,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
49,107,chr1,9699288,9700380,36.37928,176.66217,773,1092,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
50,107,chr1,9700587,9701451,17.99846,96.69595,472,864,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
53,108,chr1,9744826,9745182,19.20709,73.76450,182,356,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
54,108,chr1,9745379,9748324,38.03435,191.76537,2154,2945,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
54,109,chr1,9745379,9748324,38.03435,191.76537,2154,2945,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
55,109,chr1,9748583,9748941,16.01133,51.72236,174,358,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
56,110,chr1,9797337,9799119,23.79811,144.99449,546,1782,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
58,113,chr1,9908271,9909183,9.14910,44.65287,435,912,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
59,114,chr1,9942177,9944765,25.09654,156.55981,881,2588,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
59,115,chr1,9942177,9944765,25.09654,156.55981,881,2588,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
60,116,chr1,9966984,9968572,14.14321,47.09080,1246,1588,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
60,117,chr1,9966984,9968572,14.14321,47.09080,1246,1588,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
61,119,chr1,10008623,10009642,17.37054,81.81061,506,1019,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
61,120,chr1,10008623,10009642,17.37054,81.81061,506,1019,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
62,121,chr1,10036833,10038118,22.67281,136.43867,596,1285,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
62,122,chr1,10036833,10038118,22.67281,136.43867,596,1285,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
63,121,chr1,10038323,10041144,31.80188,150.75171,719,2821,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
63,122,chr1,10038323,10041144,31.80188,150.75171,719,2821,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
64,126,chr1,10231339,10234033,35.35332,158.39073,2069,2694,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
65,136,chr1,10992927,10994634,48.48855,239.61597,653,1707,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
68,140,chr1,11413405,11415579,32.00796,162.82819,1100,2174,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
68,141,chr1,11413405,11415579,32.00796,162.82819,1100,2174,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
70,151,chr1,12689481,12689808,2.92901,1.46409,149,327,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
71,151,chr1,12691731,12693774,18.79354,87.12971,1378,2043,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
78,152,chr1,12987776,12993250,25.20285,111.52804,3178,5474,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
82,156,chr1,13126324,13126750,4.31953,5.02723,204,426,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
83,156,chr1,13128301,13128756,3.28290,3.95624,97,455,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
85,165,chr1,13371750,13375006,21.90977,109.36768,2743,3256,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
85,166,chr1,13371750,13375006,21.90977,109.36768,2743,3256,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
88,168,chr1,13588024,13589898,23.22849,88.62003,1122,1874,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
89,168,chr1,13589949,13590487,11.41844,41.71495,246,538,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
90,170,chr1,13659920,13661024,33.82541,154.11839,412,1104,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
91,173,chr1,13789342,13789724,9.37154,22.22323,211,382,ENSMUSG00000097711,,Gm5523,chr1,13785883,13786879,-1
95,179,chr1,14308512,14310727,14.01660,67.46904,1457,2215,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
98,181,chr1,14754907,14756620,35.69107,194.76257,875,1713,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
99,185,chr1,14918340,14919265,17.03512,68.84132,541,925,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
100,188,chr1,15285939,15288418,17.47908,92.75606,1465,2479,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
102,195,chr1,15805007,15805526,16.54987,68.46169,333,519,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
103,195,chr1,15805890,15806875,23.57176,120.85833,482,985,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
104,198,chr1,15892270,15893198,38.91556,219.46605,522,928,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
105,200,chr1,16092586,16093628,41.70442,197.44087,502,1042,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
