peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
7,19,chr1,4496699,4497156,3.13774,2.21015,350,457,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
7,20,chr1,4496699,4497156,3.13774,2.21015,350,457,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
8,20,chr1,4497297,4497647,3.24259,2.73930,143,350,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
18,54,chr1,6215669,6216101,3.37965,2.73930,261,432,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
19,54,chr1,6216192,6216634,3.86838,3.82994,171,442,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
20,60,chr1,6866382,6866932,2.27739,1.07780,511,550,ENSMUSG00000103329,,Gm42492,chr1,6861237,6864151,-1
27,95,chr1,9299727,9300144,3.74529,3.24833,278,417,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
28,101,chr1,9544747,9544990,3.13774,2.21015,107,243,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
29,102,chr1,9548075,9548818,2.57892,1.76530,185,743,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
31,108,chr1,9745427,9747365,6.11001,11.86777,1665,1938,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
34,114,chr1,9942486,9943073,4.41261,5.91631,417,587,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
35,116,chr1,9967385,9967793,3.28962,2.71688,309,408,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
35,117,chr1,9967385,9967793,3.28962,2.71688,309,408,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
36,119,chr1,10008581,10008824,3.51671,3.24833,126,243,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
37,122,chr1,10040225,10040971,3.89718,3.85007,368,746,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
47,131,chr1,10719743,10720091,2.87082,2.57233,210,348,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
53,146,chr1,12424333,12424841,4.32067,5.03007,350,508,ENSMUSG00000098555,,Mir6341,chr1,12425986,12426106,1
77,156,chr1,13128130,13128489,3.54058,3.00953,178,359,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
100,160,chr1,13289905,13290605,4.35284,5.03986,556,700,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
101,160,chr1,13290742,13291870,6.17550,9.93840,301,1128,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
102,160,chr1,13292140,13292454,4.04906,4.43492,138,314,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
106,161,chr1,13299885,13301414,4.65662,5.70782,218,1529,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
119,162,chr1,13336543,13336831,3.97134,4.13217,135,288,ENSMUSG00000087782,,Gm23169,chr1,13334498,13334609,-1
122,163,chr1,13347196,13347896,4.35284,5.03986,574,700,ENSMUSG00000103085,,Gm38120,chr1,13343563,13348204,-1
138,170,chr1,13660886,13661152,3.44151,2.71688,91,266,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
149,200,chr1,16093304,16093603,3.41608,2.71688,84,299,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
150,202,chr1,16102949,16103395,3.71761,3.24833,78,446,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
153,204,chr1,16228002,16228281,3.11455,2.20141,157,279,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
154,204,chr1,16228385,16228766,3.44151,2.71688,224,381,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
155,204,chr1,16228821,16229116,3.74529,3.24833,172,295,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
166,207,chr1,16616424,16616841,3.74529,3.24833,266,417,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
167,207,chr1,16617165,16617579,4.32067,5.03007,170,414,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
168,207,chr1,16617809,16618154,4.41261,5.91631,158,345,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
172,210,chr1,16655209,16655999,6.47927,10.67578,197,790,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
173,211,chr1,16665929,16666990,3.86838,3.82994,690,1061,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
174,213,chr1,16687709,16688004,3.56684,3.24833,190,295,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
182,267,chr1,20818621,20818974,3.86838,3.82994,168,353,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
188,274,chr1,20951941,20952249,3.28962,2.71688,97,308,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
208,276,chr1,21077736,21078176,3.44151,2.71688,258,440,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
209,276,chr1,21078222,21078424,2.97409,2.18715,77,202,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
212,293,chr1,21458739,21459260,3.57715,3.62393,254,521,ENSMUSG00000104138,,Gm36949,chr1,21454691,21457017,-1
232,296,chr1,21962990,21963526,3.72620,3.86351,171,536,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
233,296,chr1,21963652,21964228,4.41261,5.91631,437,576,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
244,305,chr1,23258620,23259311,4.35284,5.03986,166,691,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
249,306,chr1,23270308,23270696,3.26531,2.71688,319,388,ENSMUSG00000065405,,Mir30a,chr1,23272269,23272339,1
250,306,chr1,23270885,23271509,3.74529,3.24833,139,624,ENSMUSG00000065405,,Mir30a,chr1,23272269,23272339,1
251,306,chr1,23271552,23272012,4.25851,4.71030,196,460,ENSMUSG00000065405,,Mir30a,chr1,23272269,23272339,1
252,306,chr1,23272179,23272400,2.76340,3.16115,96,221,ENSMUSG00000065405,,Mir30a,chr1,23272269,23272339,1
291,392,chr1,30950471,30950689,3.24259,2.73930,134,218,ENSMUSG00000026064,19243.0,Ptp4a1,chr1,30940302,30949309,-1
291,393,chr1,30950471,30950689,3.24259,2.73930,134,218,ENSMUSG00000117310,19243.0,Ptp4a1,chr1,30940302,30949770,-1
300,438,chr1,33667793,33668781,4.16991,4.43088,578,988,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
309,447,chr1,33906952,33907152,2.98043,2.01217,48,200,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
310,446,chr1,33908381,33908660,3.11455,2.20141,117,279,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
310,447,chr1,33908381,33908660,3.11455,2.20141,117,279,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
311,446,chr1,33909076,33909302,2.73286,1.69464,196,226,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
329,451,chr1,34030208,34030514,3.74529,3.24833,196,306,ENSMUSG00000103364,,Gm38157,chr1,34032100,34033797,1
330,451,chr1,34030633,34030939,3.59340,3.24833,111,306,ENSMUSG00000103364,,Gm38157,chr1,34032100,34033797,1
350,452,chr1,34114999,34115242,2.88045,2.66802,92,243,ENSMUSG00000105982,,Mir6896,chr1,34117359,34117431,1
351,452,chr1,34115352,34115631,2.54775,1.69464,145,279,ENSMUSG00000105982,,Mir6896,chr1,34117359,34117431,1
352,452,chr1,34115688,34115925,3.69776,4.18247,154,237,ENSMUSG00000105982,,Mir6896,chr1,34117359,34117431,1
353,452,chr1,34116062,34116796,4.20095,4.43492,373,734,ENSMUSG00000105982,,Mir6896,chr1,34117359,34117431,1
379,459,chr1,34433760,34434161,4.80850,6.36054,212,401,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
379,460,chr1,34433760,34434161,4.80850,6.36054,212,401,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
380,461,chr1,34440348,34440591,2.69435,1.35075,132,243,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
380,462,chr1,34440348,34440591,2.69435,1.35075,132,243,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
381,461,chr1,34440980,34441214,3.11455,2.20141,70,234,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
383,465,chr1,34473108,34473398,3.11455,2.20141,132,290,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
387,466,chr1,34485380,34485633,3.56684,3.24833,57,253,ENSMUSG00000101223,,4930568A12Rik,chr1,34477167,34485933,-1
391,472,chr1,34578857,34579326,4.65662,5.70782,281,469,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
391,473,chr1,34578857,34579326,4.65662,5.70782,281,469,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
392,472,chr1,34579907,34580291,3.74529,3.24833,138,384,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
392,473,chr1,34579907,34580291,3.74529,3.24833,138,384,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
399,479,chr1,34749880,34750422,3.59340,3.24833,264,542,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
400,479,chr1,34751161,34751491,4.80850,6.36054,164,330,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
400,480,chr1,34751161,34751491,4.80850,6.36054,164,330,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
401,481,chr1,34801225,34801694,4.30083,5.89571,269,469,ENSMUSG00000118272,,Arhgef4,chr1,34801794,34801964,1
402,481,chr1,34802088,34802743,5.71983,8.43523,404,655,ENSMUSG00000118272,,Arhgef4,chr1,34801794,34801964,1
426,492,chr1,35759382,35759885,2.38280,1.53493,171,503,ENSMUSG00000064601,,Gm25634,chr1,35761602,35761706,1
449,497,chr1,36010883,36011211,2.97714,2.71688,162,328,ENSMUSG00000103708,,Gm33222,chr1,36002985,36011044,-1
449,498,chr1,36010883,36011211,2.97714,2.71688,162,328,ENSMUSG00000104201,,4930535G08Rik,chr1,36011072,36011894,1
