peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3669040,3672786,52.02140,570.36273,2152,3746,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4496175,4496472,2.78820,4.06644,67,297,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,19,chr1,4496565,4497784,3.44796,7.11030,821,1219,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,20,chr1,4496565,4497784,3.44796,7.11030,821,1219,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
6,26,chr1,4689164,4689405,3.46597,6.47383,113,241,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
7,32,chr1,4784814,4786398,49.15976,644.12341,785,1584,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
8,32,chr1,4786495,4787021,2.95249,4.18473,358,526,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
9,33,chr1,4807280,4809026,59.94847,655.94421,754,1746,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
9,34,chr1,4807280,4809026,59.94847,655.94421,754,1746,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
10,35,chr1,4856888,4859111,52.45351,564.36273,1437,2223,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
14,47,chr1,5588104,5589285,22.90929,182.19165,416,1181,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
15,51,chr1,5916190,5918130,20.98931,227.12889,763,1940,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
16,54,chr1,6213307,6215994,62.51585,692.43610,1815,2687,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
17,54,chr1,6216171,6216675,3.20923,5.29534,128,504,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
19,55,chr1,6358723,6359628,18.48518,130.57852,540,905,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
20,57,chr1,6382597,6383539,44.28043,446.49069,432,942,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
21,58,chr1,6440997,6441934,24.77528,198.79704,413,937,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
25,67,chr1,7087924,7090662,45.82784,460.95511,1287,2738,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
27,74,chr1,7396927,7398857,58.53641,635.97595,874,1930,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
30,95,chr1,9298034,9300964,29.21201,341.37637,1417,2930,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
31,101,chr1,9544758,9548923,47.94563,584.84204,816,4165,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
31,102,chr1,9544758,9548923,47.94563,584.84204,816,4165,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
32,104,chr1,9600934,9603299,22.65892,179.36255,664,2365,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
