peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
7,40,chr1,4970015,4970220,2.95260,2.36092,53,205,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
8,40,chr1,4970444,4970793,1.96371,0.53017,343,349,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
15,51,chr1,5917503,5917946,3.27567,2.84763,179,443,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
17,54,chr1,6215619,6216252,3.65212,3.92543,463,633,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
18,54,chr1,6216307,6216972,4.06697,5.85257,163,665,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
23,67,chr1,7087824,7088208,3.00822,2.36092,189,384,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
27,68,chr1,7138116,7138841,2.05321,0.69506,46,725,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
30,102,chr1,9547432,9548352,3.62122,4.25421,714,920,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
34,107,chr1,9699483,9699972,3.34081,2.84763,173,489,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
36,108,chr1,9745401,9747514,4.12285,9.00993,1647,2113,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
38,114,chr1,9941681,9943158,4.74664,6.75121,632,1477,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
39,116,chr1,9967214,9967620,4.38038,5.08992,73,406,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
39,117,chr1,9967214,9967620,4.38038,5.08992,73,406,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
40,119,chr1,10008610,10009556,4.08336,4.51208,267,946,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
40,120,chr1,10008610,10009556,4.08336,4.51208,267,946,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
41,121,chr1,10036844,10037244,4.69266,7.02945,241,400,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
42,122,chr1,10038800,10039541,3.29494,4.17718,256,741,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
43,122,chr1,10040599,10041364,3.76048,4.73800,301,765,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
50,151,chr1,12691727,12692632,3.78634,3.92543,366,905,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
60,152,chr1,12992863,12993210,2.60704,1.47738,190,347,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
61,156,chr1,13128178,13128631,4.17833,5.24783,155,453,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
65,160,chr1,13292975,13293879,4.23187,5.08992,542,904,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
81,170,chr1,13660697,13660979,3.27567,2.84763,121,282,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
82,177,chr1,14181319,14181662,2.72183,2.38247,125,343,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
83,177,chr1,14181850,14182187,4.59797,6.26012,142,337,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
88,181,chr1,14755849,14756199,2.74677,1.47738,228,350,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
89,183,chr1,14841532,14842078,3.26980,2.81878,157,546,ENSMUSG00000081201,,Smt3h2-ps4,chr1,14839869,14840156,-1
90,183,chr1,14842253,14843003,3.17547,3.29330,415,750,ENSMUSG00000081201,,Smt3h2-ps4,chr1,14839869,14840156,-1
91,188,chr1,15287304,15288103,3.34081,2.84763,632,799,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
98,195,chr1,15804993,15805321,3.78634,3.92543,162,328,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
101,202,chr1,16102902,16103560,3.14194,2.36092,102,658,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
102,201,chr1,16106394,16107304,4.67740,6.32711,302,910,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
105,207,chr1,16616098,16616949,3.10390,3.29129,544,851,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
106,207,chr1,16617146,16618236,4.21174,5.55109,178,1090,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
107,210,chr1,16654753,16656373,5.56845,8.95457,1106,1620,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
108,209,chr1,16657534,16657961,3.52830,3.92543,228,427,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
108,210,chr1,16657534,16657961,3.52830,3.92543,228,427,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
109,211,chr1,16664911,16665159,3.78634,3.92543,138,248,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
109,212,chr1,16664911,16665159,3.78634,3.92543,138,248,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
110,211,chr1,16665827,16667111,5.12292,7.60887,285,1284,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
112,230,chr1,17727655,17728057,2.90921,1.98608,242,402,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
117,251,chr1,19240944,19241566,2.72972,1.91258,198,622,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
129,270,chr1,20889887,20890316,3.04379,1.87703,276,429,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
129,271,chr1,20889887,20890316,3.04379,1.87703,276,429,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
130,270,chr1,20891565,20891900,3.17547,3.29330,43,335,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
133,275,chr1,21078612,21078899,3.26980,2.81878,114,287,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
133,276,chr1,21078612,21078899,3.26980,2.81878,114,287,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
141,305,chr1,23257207,23257718,3.06403,2.84763,240,511,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
142,305,chr1,23257869,23258074,2.95260,2.36092,98,205,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
146,313,chr1,23574393,23574781,3.48932,2.84763,195,388,ENSMUSG00000099503,,Gm28822,chr1,23574587,23596664,1
147,314,chr1,23761076,23761486,3.69075,3.58464,261,410,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
152,316,chr1,24004183,24004670,4.47919,6.18246,398,487,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
153,319,chr1,24097421,24098209,3.27567,2.84763,298,788,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
157,323,chr1,24587219,24587705,4.23187,5.08992,198,486,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
164,359,chr1,25824182,25824413,3.27286,2.56698,93,231,ENSMUSG00000103004,,2900002M20Rik,chr1,25824390,25824719,-1
165,359,chr1,25824503,25825006,3.83004,4.11765,352,503,ENSMUSG00000103004,,2900002M20Rik,chr1,25824390,25824719,-1
166,359,chr1,25825194,25826254,3.81057,4.40847,877,1060,ENSMUSG00000103004,,2900002M20Rik,chr1,25824390,25824719,-1
167,359,chr1,25826542,25826837,2.90921,1.98608,138,295,ENSMUSG00000103004,,2900002M20Rik,chr1,25824390,25824719,-1
168,359,chr1,25827204,25827594,3.19230,2.36092,198,390,ENSMUSG00000103004,,2900002M20Rik,chr1,25824390,25824719,-1
169,361,chr1,25828051,25828330,3.48932,2.84763,153,279,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
170,360,chr1,25831146,25831374,2.24424,0.99746,52,228,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
170,361,chr1,25831146,25831374,2.24424,0.99746,52,228,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
174,390,chr1,30869057,30869484,3.19230,2.36092,115,427,ENSMUSG00000104315,,Gm37906,chr1,30865504,30868538,-1
186,447,chr1,33906014,33906650,3.27567,2.84763,350,636,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
187,446,chr1,33908761,33909587,3.27826,3.12891,546,826,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
207,459,chr1,34433748,34434176,4.38038,5.08992,139,428,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
207,460,chr1,34433748,34434176,4.38038,5.08992,139,428,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
208,462,chr1,34438238,34438867,4.38038,5.08992,327,629,ENSMUSG00000026127,27993.0,Imp4,chr1,34439851,34449356,1
209,461,chr1,34440406,34440660,3.27567,2.84763,76,254,ENSMUSG00000042111,69668.0,Ccdc115,chr1,34436670,34439672,-1
210,466,chr1,34485445,34485781,4.08336,4.51208,150,336,ENSMUSG00000101223,,4930568A12Rik,chr1,34477167,34485933,-1
213,472,chr1,34578841,34579100,2.83374,1.86110,209,259,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
214,473,chr1,34580685,34580957,3.27567,2.84763,147,272,ENSMUSG00000045815,,1700101I19Rik,chr1,34579202,34579711,-1
217,478,chr1,34677840,34678417,3.34081,2.84763,214,577,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
218,478,chr1,34678595,34679826,3.28691,3.29330,298,1231,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
221,479,chr1,34750069,34750447,2.53080,1.64656,250,378,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
222,479,chr1,34750988,34751393,3.15186,2.36092,128,405,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
222,480,chr1,34750988,34751393,3.15186,2.36092,128,405,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
223,479,chr1,34751643,34751958,3.27286,2.56698,173,315,ENSMUSG00000102537,,Gm37224,chr1,34752775,34752922,1
223,480,chr1,34751643,34751958,3.27286,2.56698,173,315,ENSMUSG00000102612,,Gm37845,chr1,34753123,34753477,1
226,481,chr1,34801068,34801725,4.67740,6.32711,198,657,ENSMUSG00000118272,,Arhgef4,chr1,34801794,34801964,1
231,485,chr1,34849433,34849646,3.78634,3.92543,155,213,ENSMUSG00000026123,226971.0,Plekhb2,chr1,34849976,34879580,1
245,491,chr1,35653478,35653998,3.34081,2.84763,345,520,ENSMUSG00000104417,,Gm37068,chr1,35625606,35651297,-1
247,493,chr1,35805767,35806316,3.63783,3.38644,199,549,ENSMUSG00000101714,,Gm28415,chr1,35806974,35810462,1
251,500,chr1,36065668,36066068,1.96371,0.53017,158,400,ENSMUSG00000045216,50785.0,Hs6st1,chr1,36068400,36106446,1
252,500,chr1,36068128,36068364,3.04379,1.87703,87,236,ENSMUSG00000045216,50785.0,Hs6st1,chr1,36068400,36106446,1
264,511,chr1,36445512,36445869,2.62631,1.98871,84,357,ENSMUSG00000001143,214895.0,Lman2l,chr1,36419871,36445271,-1
265,512,chr1,36470871,36471184,2.19127,1.19764,44,313,ENSMUSG00000037408,94220.0,Cnnm4,chr1,36471620,36508764,1
266,512,chr1,36472013,36473769,3.63783,3.38644,862,1756,ENSMUSG00000037408,94220.0,Cnnm4,chr1,36471620,36508764,1
266,513,chr1,36472013,36473769,3.63783,3.38644,862,1756,ENSMUSG00000104316,,Gm37909,chr1,36473952,36476110,1
267,513,chr1,36473923,36474679,3.19230,2.36092,184,756,ENSMUSG00000104316,,Gm37909,chr1,36473952,36476110,1
275,519,chr1,36546363,36546955,4.23187,5.08992,137,592,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
276,519,chr1,36547492,36547904,4.72333,6.22164,174,412,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
277,519,chr1,36548128,36549459,3.78634,3.92543,1250,1331,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
278,519,chr1,36549515,36549890,3.40939,3.34542,181,375,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
279,520,chr1,36554246,36556140,7.20205,14.05093,966,1894,ENSMUSG00000087589,,D430040D24Rik,chr1,36557701,36565613,1
280,521,chr1,36558553,36559441,4.97441,6.98168,480,888,ENSMUSG00000026121,20353.0,Sema4c,chr1,36548639,36558349,-1
284,525,chr1,36690924,36691252,3.17547,3.29330,131,328,ENSMUSG00000061518,12859.0,Cox5b,chr1,36691449,36693681,1
286,526,chr1,36708027,36709320,7.64758,15.61129,891,1293,ENSMUSG00000102416,71166.0,4933424G06Rik,chr1,36710149,36757953,1
288,528,chr1,36744221,36744667,3.10390,3.29129,277,446,ENSMUSG00000104237,,Gm33533,chr1,36739048,36744792,-1
293,532,chr1,36918756,36919334,4.21174,5.55109,171,578,ENSMUSG00000102930,,Gm38115,chr1,36913601,36916539,-1
305,540,chr1,37300519,37301192,4.94982,7.61309,369,673,ENSMUSG00000102231,,1700074A21Rik,chr1,37299352,37299697,-1
306,540,chr1,37301352,37301631,3.63783,3.38644,102,279,ENSMUSG00000102231,,1700074A21Rik,chr1,37299352,37299697,-1
308,545,chr1,37428755,37429592,5.56845,8.95457,352,837,ENSMUSG00000026111,67387.0,Unc50,chr1,37430139,37439124,1
309,544,chr1,37430835,37431385,5.13795,8.59655,198,550,ENSMUSG00000026112,76178.0,Coa5,chr1,37417084,37430103,-1
314,548,chr1,37541505,37541810,3.04379,1.87703,92,305,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
315,549,chr1,37613583,37614410,4.10864,4.68576,630,827,ENSMUSG00000089767,,4930556I23Rik,chr1,37614259,37615372,1
317,554,chr1,37866023,37866320,2.50685,1.54354,156,297,ENSMUSG00000060771,211484.0,Tsga10,chr1,37754776,37866429,-1
320,556,chr1,37889214,37890031,2.04269,0.95016,451,817,ENSMUSG00000026088,69028.0,Mitd1,chr1,37874801,37890411,-1
320,557,chr1,37889214,37890031,2.04269,0.95016,451,817,ENSMUSG00000026087,107734.0,Mrpl30,chr1,37890477,37898535,1
321,556,chr1,37891273,37891763,4.24793,5.24783,233,490,ENSMUSG00000026088,69028.0,Mitd1,chr1,37874801,37890411,-1
322,563,chr1,37996022,37996572,5.12292,7.60887,356,550,ENSMUSG00000026083,226982.0,Eif5b,chr1,37998010,38055579,1
323,562,chr1,37998631,37999833,3.73266,4.78215,753,1202,ENSMUSG00000058407,98258.0,Txndc9,chr1,37985189,37997893,-1
335,568,chr1,38307718,38309204,4.67740,6.32711,252,1486,ENSMUSG00000085280,,Gm16151,chr1,38307902,38311930,1
342,569,chr1,38384292,38384703,3.78634,3.92543,322,411,ENSMUSG00000087131,,Gm16152,chr1,38384949,38393974,1
343,569,chr1,38384821,38385143,3.53542,3.64244,178,322,ENSMUSG00000087131,,Gm16152,chr1,38384949,38393974,1
399,573,chr1,38766596,38767741,4.86868,6.82247,897,1145,ENSMUSG00000103531,,2610300A13Rik,chr1,38767184,38767686,1
406,574,chr1,38836880,38837293,2.89528,1.87703,228,413,ENSMUSG00000048814,381338.0,Lonrf2,chr1,38793645,38836711,-1
416,584,chr1,39192751,39193549,4.38038,5.08992,282,798,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
418,586,chr1,39313420,39313693,4.16001,5.03679,102,273,ENSMUSG00000092563,,Gm3617,chr1,39314899,39315453,1
419,587,chr1,39366869,39367359,3.27567,2.84763,153,490,ENSMUSG00000073702,114641.0,Rpl31,chr1,39367842,39371911,1
428,592,chr1,39534857,39535163,3.48932,2.84763,185,306,ENSMUSG00000003135,52846.0,Cnot11,chr1,39534992,39546889,1
432,595,chr1,39575211,39576338,5.12292,7.60887,672,1127,ENSMUSG00000064936,,Gm23722,chr1,39573746,39573875,-1
433,596,chr1,39577600,39577949,3.19230,2.36092,237,349,ENSMUSG00000048234,67702.0,Rnf149,chr1,39551296,39577405,-1
435,598,chr1,39650060,39650590,3.34081,2.84763,341,530,ENSMUSG00000097083,,D930019O06Rik,chr1,39650176,39657390,1
436,599,chr1,39650927,39651383,3.63783,3.38644,354,456,ENSMUSG00000050967,263764.0,Creg2,chr1,39618406,39651474,-1
439,600,chr1,39720652,39720919,3.04379,1.87703,67,267,ENSMUSG00000057173,619289.0,Rfx8,chr1,39665301,39720997,-1
443,601,chr1,39805254,39805606,3.78634,3.92543,169,352,ENSMUSG00000091937,100042065.0,Gm3646,chr1,39804148,39805332,-1
446,603,chr1,39899384,39900349,4.34546,5.55109,654,965,ENSMUSG00000026074,26921.0,Map4k4,chr1,39900913,40026310,1
495,614,chr1,40514828,40515411,4.23187,5.08992,146,583,ENSMUSG00000026068,16174.0,Il18rap,chr1,40515362,40551705,1
499,620,chr1,40769567,40769915,3.04379,1.87703,123,348,ENSMUSG00000103270,,Gm37915,chr1,40771385,40785343,1
518,631,chr1,42260095,42260516,3.99657,4.40847,162,421,ENSMUSG00000101299,,Gm28175,chr1,42261855,42304412,1
519,631,chr1,42260596,42260974,3.54312,3.34542,134,378,ENSMUSG00000101299,,Gm28175,chr1,42261855,42304412,1
523,633,chr1,42491109,42492029,4.23187,5.08992,725,920,ENSMUSG00000103106,,Gm37047,chr1,42491813,42495663,1
544,638,chr1,42713972,42714519,3.62353,3.38644,396,547,ENSMUSG00000097063,,Pantr2,chr1,42707061,42713454,-1
558,645,chr1,43091147,43092089,4.38038,5.08992,602,942,ENSMUSG00000041878,,8430432A02Rik,chr1,43092588,43093835,1
559,645,chr1,43093007,43093393,2.63234,2.46221,187,386,ENSMUSG00000041878,,8430432A02Rik,chr1,43092588,43093835,1
560,647,chr1,43097231,43097691,2.53080,1.64656,217,460,ENSMUSG00000010290,98404.0,AI597479,chr1,43098710,43115947,1
561,646,chr1,43099326,43100093,5.71696,8.95457,358,767,ENSMUSG00000070939,73122.0,Tgfbrap1,chr1,43047200,43098637,-1
584,656,chr1,43730760,43731080,3.34081,2.84763,155,320,ENSMUSG00000026051,78896.0,Ecrg4,chr1,43730602,43742578,1
588,661,chr1,43828439,43828804,2.84116,2.36092,82,365,ENSMUSG00000057363,67883.0,Uxs1,chr1,43746966,43827800,-1
592,673,chr1,44117583,44117954,2.46518,1.76268,244,371,ENSMUSG00000041684,246229.0,Bivm,chr1,44118957,44144770,1
593,672,chr1,44120338,44121591,4.82590,6.32711,1027,1253,ENSMUSG00000026047,72050.0,Poglut2,chr1,44106546,44118808,-1
595,680,chr1,44551543,44551895,3.19230,2.36092,169,352,ENSMUSG00000056870,70676.0,Gulp1,chr1,44551511,44796838,1
601,715,chr1,46850207,46850785,4.38038,5.08992,153,578,ENSMUSG00000100213,,Gm28151,chr1,46849529,46850479,-1
602,715,chr1,46851500,46851969,2.79949,2.84763,288,469,ENSMUSG00000100213,,Gm28151,chr1,46849529,46850479,-1
603,715,chr1,46852216,46852543,2.54876,2.09066,149,327,ENSMUSG00000100213,,Gm28151,chr1,46849529,46850479,-1
619,759,chr1,51332680,51333862,1.96371,0.53017,819,1182,ENSMUSG00000101799,,9330175M20Rik,chr1,51218386,51333779,-1
620,759,chr1,51334221,51334620,3.48932,2.84763,178,399,ENSMUSG00000101799,,9330175M20Rik,chr1,51218386,51333779,-1
649,799,chr1,53297736,53298161,3.03302,2.43441,122,425,ENSMUSG00000026098,227099.0,Pms1,chr1,53189187,53297018,-1
657,818,chr1,54251020,54251354,2.54876,2.09066,150,334,ENSMUSG00000094013,,Gm25829,chr1,54249102,54249208,-1
657,819,chr1,54251020,54251354,2.54876,2.09066,150,334,ENSMUSG00000025983,78016.0,Ccdc150,chr1,54250683,54368727,1
680,829,chr1,54926929,54927141,2.53080,1.64656,72,212,ENSMUSG00000052331,329154.0,Ankrd44,chr1,54645340,54926387,-1
682,831,chr1,55052101,55052340,3.63783,3.38644,39,239,ENSMUSG00000025981,67876.0,Coq10b,chr1,55052770,55072702,1
683,832,chr1,55053417,55054091,5.41994,8.30181,197,674,ENSMUSG00000103030,,E330011M16Rik,chr1,55051319,55053112,-1
684,834,chr1,55086456,55087195,4.08336,4.51208,150,739,ENSMUSG00000073676,15528.0,Hspe1,chr1,55088132,55091307,1
685,835,chr1,55089278,55089743,3.00839,3.29129,311,465,ENSMUSG00000025980,15510.0,Hspd1,chr1,55077835,55088243,-1
686,838,chr1,55130096,55130715,4.08336,4.51208,435,619,ENSMUSG00000025979,19070.0,Mob4,chr1,55131231,55154899,1
