peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670303,3672650,9.99335,26.24682,1142,2347,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,32,chr1,4784849,4786343,15.81405,55.27064,663,1494,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
3,33,chr1,4807349,4808885,19.00323,67.53777,694,1536,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
3,34,chr1,4807349,4808885,19.00323,67.53777,694,1536,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
4,35,chr1,4857235,4858978,15.58478,50.00158,968,1743,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
7,47,chr1,5588153,5589136,4.23555,4.51943,531,983,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
8,54,chr1,6213862,6215703,19.13996,67.53777,962,1841,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
9,55,chr1,6358765,6359636,5.69160,11.54792,505,871,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
10,57,chr1,6382782,6383294,8.61116,19.07909,244,512,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
11,58,chr1,6441100,6441820,12.90370,40.15818,389,720,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
15,67,chr1,7087814,7088791,14.29561,47.57730,740,977,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
16,67,chr1,7088989,7090064,11.51179,34.20215,269,1075,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
18,74,chr1,7397645,7397939,8.20094,18.04078,136,294,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
19,74,chr1,7398098,7398780,8.20094,18.04078,440,682,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
20,95,chr1,9298451,9300299,5.16025,9.42916,614,1848,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
21,101,chr1,9544736,9545222,3.85784,7.67903,290,486,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
22,101,chr1,9545437,9546239,7.51726,15.00863,209,802,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
22,102,chr1,9545437,9546239,7.51726,15.00863,209,802,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
23,102,chr1,9547034,9547365,2.86817,1.26465,99,331,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
24,102,chr1,9547592,9547983,3.00491,1.83953,185,391,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
25,102,chr1,9548030,9548310,3.79304,3.97929,101,280,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
27,104,chr1,9601116,9602524,8.72798,20.89244,523,1408,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
30,107,chr1,9699340,9700348,12.39755,37.74909,722,1008,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
31,107,chr1,9700404,9701376,9.18735,21.81132,337,972,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
32,108,chr1,9745432,9745870,2.61305,1.59097,192,438,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
33,108,chr1,9746489,9748421,14.87829,61.31670,1589,1932,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
33,109,chr1,9746489,9748421,14.87829,61.31670,1589,1932,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
34,109,chr1,9748638,9748902,5.05881,8.75756,119,264,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
35,110,chr1,9797623,9799089,18.18280,63.39069,722,1466,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
36,114,chr1,9942187,9944655,20.99349,109.26808,1731,2468,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
36,115,chr1,9942187,9944655,20.99349,109.26808,1731,2468,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
37,117,chr1,9967965,9968364,5.46619,8.52279,226,399,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
38,119,chr1,10008665,10009118,3.17974,4.21111,265,453,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
39,119,chr1,10009240,10009657,4.75533,7.89390,137,417,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
39,120,chr1,10009240,10009657,4.75533,7.89390,137,417,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
40,121,chr1,10037056,10040429,19.27670,68.92978,971,3373,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
40,122,chr1,10037056,10040429,19.27670,68.92978,971,3373,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
41,126,chr1,10231520,10233887,12.06114,52.40851,1329,2367,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
42,136,chr1,10993147,10994399,13.66292,43.83260,484,1252,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
44,140,chr1,11413729,11414828,10.11989,27.35166,714,1099,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
44,141,chr1,11413729,11414828,10.11989,27.35166,714,1099,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
47,151,chr1,12691955,12692671,5.05598,6.84752,549,716,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
53,152,chr1,12990365,12992955,14.76436,46.12113,1738,2590,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
57,165,chr1,13372556,13374930,24.47274,96.46469,959,2374,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
57,166,chr1,13372556,13374930,24.47274,96.46469,959,2374,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
60,168,chr1,13588860,13589902,17.72491,63.76615,738,1042,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
61,168,chr1,13590071,13590381,4.78250,6.04634,147,310,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
62,170,chr1,13659998,13660919,8.72798,20.89244,325,921,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
63,179,chr1,14309375,14310453,9.84180,24.47810,510,1078,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
66,181,chr1,14755062,14756282,6.17255,13.57047,521,1220,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
67,188,chr1,15286264,15287877,14.08067,43.57381,748,1613,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
68,195,chr1,15805165,15805433,4.04611,4.68305,148,268,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
69,195,chr1,15805612,15806756,24.47274,96.46469,293,1144,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
70,198,chr1,15892389,15893104,7.45579,15.62435,471,715,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
71,200,chr1,16092859,16093593,10.11989,27.35166,391,734,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
72,201,chr1,16102982,16106696,21.12350,95.56560,962,3714,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
72,202,chr1,16102982,16106696,21.12350,95.56560,962,3714,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
74,206,chr1,16518497,16520316,19.27670,68.92978,1440,1819,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
75,207,chr1,16617869,16619363,22.90012,94.02914,1008,1494,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
