peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3666966,3672827,22.67532,200.68576,5490,5861,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4496636,4497806,7.37490,23.94534,760,1170,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496636,4497806,7.37490,23.94534,760,1170,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,26,chr1,4689047,4689511,9.55385,37.02498,222,464,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
6,32,chr1,4784551,4786785,21.74308,204.94888,1594,2234,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807180,4809260,27.78775,184.88753,1112,2080,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807180,4809260,27.78775,184.88753,1112,2080,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856747,4857665,21.28664,124.86182,367,918,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,35,chr1,4857837,4859364,30.28152,249.98679,866,1527,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
13,47,chr1,5588005,5589731,36.20540,285.45990,693,1726,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
14,51,chr1,5916317,5918204,35.95930,316.03983,823,1887,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,54,chr1,6213163,6216926,39.05345,288.71695,2423,3763,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
17,55,chr1,6358697,6359700,23.58052,230.06332,619,1003,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
18,57,chr1,6382384,6383706,28.68956,217.40799,768,1322,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
19,58,chr1,6440969,6441933,32.01377,220.66278,420,964,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
27,67,chr1,7087764,7088848,29.12425,221.97157,557,1084,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
28,67,chr1,7089082,7091678,34.90376,258.98602,763,2596,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
30,74,chr1,7397028,7397881,12.06802,53.70171,287,853,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
31,74,chr1,7398082,7399028,26.65021,171.38838,490,946,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
35,95,chr1,9294818,9301064,32.86780,279.55667,5139,6246,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
36,101,chr1,9544676,9545300,16.79898,151.65901,331,624,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
37,101,chr1,9545382,9548958,26.31498,168.39427,638,3576,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
37,102,chr1,9545382,9548958,26.31498,168.39427,638,3576,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
38,104,chr1,9600819,9603884,21.93791,152.48122,773,3065,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
42,107,chr1,9699197,9701506,42.59127,356.14963,861,2309,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
43,108,chr1,9742732,9748382,38.55112,382.58875,4780,5650,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
43,109,chr1,9742732,9748382,38.55112,382.58875,4780,5650,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
44,109,chr1,9748558,9749024,20.28184,124.46996,229,466,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
46,110,chr1,9797247,9799228,48.27207,382.57086,643,1981,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
48,113,chr1,9908238,9909201,12.22689,80.12553,495,963,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
49,114,chr1,9941352,9944815,44.93207,372.15228,1854,3463,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
49,115,chr1,9941352,9944815,44.93207,372.15228,1854,3463,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
50,116,chr1,9967070,9968567,12.03150,65.08990,1145,1497,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
50,117,chr1,9967070,9968567,12.03150,65.08990,1145,1497,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
51,119,chr1,10008480,10009659,24.88743,209.62784,534,1179,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
51,120,chr1,10008480,10009659,24.88743,209.62784,534,1179,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
52,121,chr1,10036231,10036577,4.40385,9.15912,167,346,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
53,121,chr1,10036680,10041372,40.01486,364.95035,2353,4692,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
53,122,chr1,10036680,10041372,40.01486,364.95035,2353,4692,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
54,126,chr1,10229457,10234271,26.22940,225.65427,3981,4814,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
56,136,chr1,10992745,10995224,52.78028,437.89844,847,2479,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
58,140,chr1,11413290,11415644,30.44336,293.74646,1209,2354,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
58,141,chr1,11413290,11415644,30.44336,293.74646,1209,2354,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
62,151,chr1,12691670,12692720,12.06802,53.70171,420,1050,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
68,152,chr1,12986786,12993415,22.55972,216.03345,4217,6629,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
73,156,chr1,13126138,13126903,3.01700,3.54873,130,765,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
74,156,chr1,13128148,13128867,5.17747,22.62865,393,719,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
75,165,chr1,13371181,13375182,38.71822,285.39914,959,4001,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
75,166,chr1,13371181,13375182,38.71822,285.39914,959,4001,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
78,168,chr1,13587297,13589894,26.09776,173.67082,1844,2597,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
