peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,7,chr1,3514653,3514947,3.91695,6.34528,89,294,ENSMUSG00000103201,,Gm37329,chr1,3512451,3514507,-1
1,19,chr1,4496618,4497246,2.98517,4.09034,112,628,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
1,20,chr1,4496618,4497246,2.98517,4.09034,112,628,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
4,32,chr1,4784920,4785697,4.37360,9.14496,656,777,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,32,chr1,4785771,4786280,11.26223,57.89741,204,509,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,33,chr1,4807359,4808379,8.72413,29.76246,635,1020,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
6,34,chr1,4807359,4808379,8.72413,29.76246,635,1020,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
7,35,chr1,4856776,4859050,23.32368,133.72545,725,2274,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
13,54,chr1,6213838,6215665,35.42481,249.80072,984,1827,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
14,67,chr1,7087757,7090069,30.98688,224.13443,793,2312,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
16,74,chr1,7397658,7397954,4.62913,9.16580,126,296,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
17,74,chr1,7398013,7398711,6.23152,16.46104,276,698,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
18,101,chr1,9545429,9546101,7.47782,22.85556,498,672,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
18,102,chr1,9545429,9546101,7.47782,22.85556,498,672,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
19,102,chr1,9548034,9548898,3.55817,5.96815,608,864,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
20,107,chr1,9699954,9700356,3.12999,4.07727,277,402,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
21,107,chr1,9700584,9701229,5.87543,14.74099,155,645,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
25,108,chr1,9745398,9748428,39.70368,278.33026,2775,3030,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
25,109,chr1,9745398,9748428,39.70368,278.33026,2775,3030,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
26,109,chr1,9748599,9748910,5.85786,16.29233,155,311,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
34,110,chr1,9796158,9796549,2.81699,3.00995,93,391,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
35,110,chr1,9797310,9800321,33.28919,220.38164,1034,3011,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
37,111,chr1,9804521,9805110,3.68969,7.52425,145,589,ENSMUSG00000046334,,Gm6195,chr1,9802197,9802553,-1
51,114,chr1,9941094,9944096,13.85354,62.39975,2715,3002,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
51,115,chr1,9941094,9944096,13.85354,62.39975,2715,3002,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
52,114,chr1,9944222,9944806,4.69498,10.61025,330,584,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
52,115,chr1,9944222,9944806,4.69498,10.61025,330,584,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
55,121,chr1,10037338,10039606,14.09928,77.05724,704,2268,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
55,122,chr1,10037338,10039606,14.09928,77.05724,704,2268,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
56,122,chr1,10039742,10040315,14.19361,69.23489,183,573,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
61,126,chr1,10231851,10233420,5.47091,17.46019,1060,1569,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
66,159,chr1,13259265,13260075,5.28134,12.83992,209,810,ENSMUSG00000099183,,Gm27881,chr1,13262198,13262279,1
68,165,chr1,13372599,13374790,19.21108,101.33394,376,2191,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
68,166,chr1,13372599,13374790,19.21108,101.33394,376,2191,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
76,168,chr1,13587839,13589978,48.78389,366.16940,1817,2139,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
77,168,chr1,13590086,13590312,3.38993,4.66775,71,226,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
81,170,chr1,13659394,13660561,20.06762,117.76717,966,1167,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
82,170,chr1,13660672,13661315,7.82238,26.76905,158,643,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
84,195,chr1,15805111,15805504,9.85126,37.97104,227,393,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
85,195,chr1,15805654,15806935,15.68472,77.35938,297,1281,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
86,202,chr1,16102949,16103390,3.44299,5.22766,87,441,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
87,201,chr1,16103450,16106400,30.84840,206.77452,1427,2950,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
87,202,chr1,16103450,16106400,30.84840,206.77452,1427,2950,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
88,207,chr1,16617990,16619254,8.36804,27.74238,953,1264,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
88,208,chr1,16617990,16619254,8.36804,27.74238,953,1264,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
89,208,chr1,16619542,16619815,2.57810,2.61539,46,273,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
91,210,chr1,16655361,16655984,4.85556,12.36569,271,623,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
92,209,chr1,16656046,16657702,35.46623,288.99557,805,1656,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
92,210,chr1,16656046,16657702,35.46623,288.99557,805,1656,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
93,211,chr1,16665189,16665977,11.21673,44.83632,240,788,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
93,212,chr1,16665189,16665977,11.21673,44.83632,240,788,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
95,213,chr1,16687771,16689107,9.54646,38.85470,809,1336,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
99,266,chr1,20819871,20820242,6.10655,16.96845,159,371,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
99,267,chr1,20819871,20820242,6.10655,16.96845,159,371,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
103,275,chr1,21079452,21079907,8.92046,34.72279,253,455,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
103,276,chr1,21079452,21079907,8.92046,34.72279,253,455,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
105,279,chr1,21232163,21232420,3.34313,5.19881,112,257,ENSMUSG00000102633,,Gm38224,chr1,21234722,21236821,1
106,279,chr1,21232474,21233101,2.80571,2.82250,67,627,ENSMUSG00000102633,,Gm38224,chr1,21234722,21236821,1
111,305,chr1,23255688,23256047,7.12174,20.97315,210,359,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
