peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,32,chr1,4784336,4786335,11.87209,43.30758,1200,1999,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
1,33,chr1,4807353,4808844,19.75714,57.87695,659,1491,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
1,34,chr1,4807353,4808844,19.75714,57.87695,659,1491,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
2,35,chr1,4856853,4859105,10.70397,43.48488,1256,2252,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
6,54,chr1,6213381,6215854,20.67616,81.15376,1714,2473,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
7,54,chr1,6216193,6216516,3.12684,1.75899,155,323,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
8,67,chr1,7087858,7088754,10.46080,41.31223,710,896,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
9,67,chr1,7089053,7090070,19.62470,58.48460,200,1017,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
11,74,chr1,7397088,7397373,7.38231,12.35792,126,285,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
12,74,chr1,7397681,7397884,3.77594,3.94066,63,203,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
13,74,chr1,7398161,7398643,6.48130,9.05602,326,482,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
14,101,chr1,9544757,9545247,8.76090,21.92436,315,490,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
15,101,chr1,9545419,9547000,12.16753,28.79989,473,1581,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
15,102,chr1,9545419,9547000,12.16753,28.79989,473,1581,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
16,102,chr1,9547062,9547438,4.82182,5.42956,138,376,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
17,102,chr1,9547494,9547891,5.81750,8.11290,141,397,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
18,102,chr1,9548042,9548469,4.55842,5.00807,172,427,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
19,107,chr1,9699603,9700379,8.49353,16.29620,661,776,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
20,107,chr1,9700548,9701358,13.48208,32.89845,192,810,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
22,108,chr1,9745373,9748414,26.16912,103.66302,2822,3041,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
22,109,chr1,9745373,9748414,26.16912,103.66302,2822,3041,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
23,109,chr1,9748625,9748910,7.34087,12.28825,159,285,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
31,110,chr1,9796968,9797206,4.35863,5.03408,110,238,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
32,110,chr1,9797273,9800295,32.71233,135.00789,1143,3022,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
35,114,chr1,9941874,9944636,11.96936,43.30758,2096,2762,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
35,115,chr1,9941874,9944636,11.96936,43.30758,2096,2762,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
36,119,chr1,10008713,10009156,4.22403,3.65059,325,443,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
37,121,chr1,10036839,10040413,15.93437,55.29232,918,3574,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
37,122,chr1,10036839,10040413,15.93437,55.29232,918,3574,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
38,126,chr1,10231403,10233839,13.09821,41.56298,1073,2436,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
39,165,chr1,13371742,13374920,21.81554,70.38235,1263,3178,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
39,166,chr1,13371742,13374920,21.81554,70.38235,1263,3178,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
46,168,chr1,13587922,13589920,33.42081,133.50305,1660,1998,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
47,168,chr1,13590044,13590618,7.54506,16.80597,189,574,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
49,170,chr1,13659454,13660512,15.14726,61.23475,843,1058,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
50,170,chr1,13660724,13660999,5.72135,11.38469,108,275,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
51,195,chr1,15805607,15806904,31.87135,114.01093,346,1297,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
53,201,chr1,16102933,16106978,26.06316,86.60635,1055,4045,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
53,202,chr1,16102933,16106978,26.06316,86.60635,1055,4045,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
55,206,chr1,16519758,16520176,5.22371,7.45601,120,418,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
56,207,chr1,16617730,16617950,3.32828,1.61904,146,220,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
57,207,chr1,16618033,16619289,18.36605,68.64864,882,1256,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
57,208,chr1,16618033,16619289,18.36605,68.64864,882,1256,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
58,208,chr1,16619505,16619851,4.27934,5.48413,211,346,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
59,209,chr1,16655343,16657195,21.65866,70.38235,1366,1852,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
59,210,chr1,16655343,16657195,21.65866,70.38235,1366,1852,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
60,209,chr1,16657324,16657622,2.92485,1.44391,105,298,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
60,210,chr1,16657324,16657622,2.92485,1.44391,105,298,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
61,211,chr1,16665083,16666432,22.70484,73.24272,437,1349,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
61,212,chr1,16665083,16666432,22.70484,73.24272,437,1349,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
62,213,chr1,16687790,16689130,4.05736,6.76600,827,1340,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
63,267,chr1,20818002,20819043,6.64725,10.02895,903,1041,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
64,266,chr1,20819176,20820298,12.16526,36.55961,842,1122,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
64,267,chr1,20819176,20820298,12.16526,36.55961,842,1122,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
65,270,chr1,20891022,20891260,3.53277,3.26599,78,238,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
65,271,chr1,20891022,20891260,3.53277,3.26599,78,238,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
66,274,chr1,20951678,20951902,4.24465,4.21066,137,224,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
67,275,chr1,21078813,21079218,5.84515,7.88894,205,405,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
67,276,chr1,21078813,21079218,5.84515,7.88894,205,405,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
68,275,chr1,21079454,21079812,10.84883,25.75552,172,358,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
68,276,chr1,21079454,21079812,10.84883,25.75552,172,358,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
69,278,chr1,21218219,21219223,12.65387,30.04394,460,1004,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
71,305,chr1,23255519,23256035,6.32921,12.04144,366,516,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
72,305,chr1,23256235,23257772,20.61633,68.97565,484,1537,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
83,315,chr1,23920845,23922912,19.84802,94.16110,1233,2067,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
84,316,chr1,24004802,24005928,15.93437,55.29232,716,1126,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
84,317,chr1,24004802,24005928,15.93437,55.29232,716,1126,ENSMUSG00000026154,68002.0,Sdhaf4,chr1,23995939,24005656,-1
85,318,chr1,24099585,24100180,4.58262,4.48997,329,595,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
85,319,chr1,24099585,24100180,4.58262,4.48997,329,595,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
86,332,chr1,24678611,24679652,10.99668,37.63311,224,1041,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
87,391,chr1,30871896,30874674,32.32669,122.17039,1263,2778,ENSMUSG00000048874,213109.0,Phf3,chr1,30802339,30873921,-1
89,392,chr1,30948416,30950900,27.40610,94.91284,1006,2484,ENSMUSG00000026064,19243.0,Ptp4a1,chr1,30940302,30949309,-1
89,393,chr1,30948416,30950900,27.40610,94.91284,1006,2484,ENSMUSG00000117310,19243.0,Ptp4a1,chr1,30940302,30949770,-1
104,437,chr1,33667948,33671068,17.26792,47.91907,2237,3120,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
104,438,chr1,33667948,33671068,17.26792,47.91907,2237,3120,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
105,440,chr1,33719847,33720907,11.55734,34.20018,430,1060,ENSMUSG00000004768,19335.0,Rab23,chr1,33719887,33742564,1
