peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
7,19,chr1,4494480,4494909,2.44057,2.65382,325,429,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
8,19,chr1,4496231,4497875,4.44425,14.64877,476,1644,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
8,20,chr1,4496231,4497875,4.44425,14.64877,476,1644,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
20,32,chr1,4785366,4786242,5.74394,33.11407,189,876,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
21,33,chr1,4807334,4808390,19.32385,161.42743,664,1056,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
21,34,chr1,4807334,4808390,19.32385,161.42743,664,1056,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
22,35,chr1,4856865,4858541,18.52329,131.63397,562,1676,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
25,54,chr1,6213702,6215719,39.29529,445.29645,1107,2017,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
28,67,chr1,7087783,7090100,26.18066,294.17679,793,2317,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
29,68,chr1,7138013,7138587,2.20469,2.33659,408,574,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
30,74,chr1,7397633,7397976,13.36504,87.59829,181,343,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
31,74,chr1,7398085,7398784,13.57529,82.62971,290,699,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
37,101,chr1,9544906,9545119,2.91805,4.21887,98,213,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
38,101,chr1,9545422,9546732,5.83874,28.78852,167,1310,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
38,102,chr1,9545422,9546732,5.83874,28.78852,167,1310,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
39,102,chr1,9547442,9547923,3.86152,10.22989,143,481,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
40,102,chr1,9548032,9549076,5.39440,22.56144,180,1044,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
42,105,chr1,9629718,9631444,6.92491,28.41418,618,1726,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
43,107,chr1,9699849,9701409,8.46310,59.32745,1059,1560,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
44,108,chr1,9747204,9748490,31.07079,283.89832,1031,1286,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
44,109,chr1,9747204,9748490,31.07079,283.89832,1031,1286,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
45,109,chr1,9748656,9748877,4.69426,12.99660,110,221,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
46,110,chr1,9797486,9799097,15.09775,97.14018,858,1611,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
49,114,chr1,9942809,9943175,3.15376,5.83158,218,366,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
50,114,chr1,9943250,9944127,14.44224,90.95061,669,877,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
50,115,chr1,9943250,9944127,14.44224,90.95061,669,877,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
53,121,chr1,10037330,10039653,22.95785,211.39919,718,2323,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
53,122,chr1,10037330,10039653,22.95785,211.39919,718,2323,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
54,122,chr1,10039729,10040423,17.29847,140.11079,209,694,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
58,126,chr1,10231535,10233741,18.17204,162.32440,1314,2206,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
62,136,chr1,10993418,10994483,9.62816,47.99771,340,1065,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
85,152,chr1,12992520,12992778,4.31364,10.88274,112,258,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
90,160,chr1,13291391,13291907,2.94771,5.01304,336,516,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
97,165,chr1,13371766,13374864,51.12936,536.35400,1234,3098,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
97,166,chr1,13371766,13374864,51.12936,536.35400,1234,3098,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
100,168,chr1,13588951,13590364,34.50915,316.67245,648,1413,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
101,170,chr1,13659737,13661069,11.63206,70.47596,607,1332,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
103,179,chr1,14309445,14310382,9.61675,69.14433,485,937,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
104,188,chr1,15286614,15286938,3.02166,5.05108,151,324,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
106,195,chr1,15805074,15805536,7.79499,39.46296,252,462,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
107,195,chr1,15805585,15806737,15.34095,135.15720,235,1152,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
110,201,chr1,16103782,16106642,46.55637,558.76550,1096,2860,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
110,202,chr1,16103782,16106642,46.55637,558.76550,1096,2860,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
119,206,chr1,16519737,16520178,6.32071,29.23256,145,441,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
120,207,chr1,16617909,16619320,7.89838,55.80426,1013,1411,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
120,208,chr1,16617909,16619320,7.89838,55.80426,1013,1411,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
