peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
5,19,chr1,4494397,4495422,6.50601,10.39780,450,1025,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,19,chr1,4495934,4499060,5.71453,8.76621,2027,3126,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,20,chr1,4495934,4499060,5.71453,8.76621,2027,3126,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,20,chr1,4499171,4499442,5.26310,6.99364,106,271,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
8,20,chr1,4499718,4500036,5.04812,7.19660,123,318,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
17,51,chr1,5915740,5917551,5.47905,8.28030,1155,1811,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
18,51,chr1,5917604,5917872,3.70945,2.55417,165,268,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
20,95,chr1,9299718,9300193,3.58203,2.97415,333,475,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
22,110,chr1,9796443,9796671,3.39872,1.92925,109,228,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
23,110,chr1,9796942,9797122,3.70945,2.55417,96,180,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
26,116,chr1,9966324,9966690,3.39875,2.83162,179,366,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
27,116,chr1,9966758,9968650,8.08972,17.13763,292,1892,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
27,117,chr1,9966758,9968650,8.08972,17.13763,292,1892,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
28,117,chr1,9968694,9969655,5.10474,8.77086,332,961,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
29,140,chr1,11413323,11413673,3.26647,2.29927,13,350,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
30,141,chr1,11415152,11415568,4.02018,3.21685,188,416,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
52,151,chr1,12690665,12691175,3.58203,2.97415,343,510,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
53,151,chr1,12691941,12692476,3.24335,1.92925,381,535,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
70,156,chr1,13126529,13126854,3.04890,1.81265,223,325,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
71,156,chr1,13127016,13129263,6.68057,12.84543,122,2247,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
72,156,chr1,13129406,13130039,5.26310,6.99364,411,633,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
74,165,chr1,13375607,13375869,2.77726,0.83312,86,262,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
74,166,chr1,13375607,13375869,2.77726,0.83312,86,262,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
75,165,chr1,13375920,13376103,3.08799,1.35168,122,183,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
75,166,chr1,13375920,13376103,3.08799,1.35168,122,183,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
76,165,chr1,13376142,13376326,3.24335,1.92925,166,184,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
76,166,chr1,13376142,13376326,3.24335,1.92925,166,184,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
95,179,chr1,14311167,14311527,4.02018,3.21685,121,360,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
117,181,chr1,14755442,14755916,3.91903,3.08516,355,474,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
118,181,chr1,14755988,14757427,5.57383,7.81589,553,1439,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
119,181,chr1,14757781,14758142,4.02018,3.21685,213,361,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
122,218,chr1,17097195,17097640,4.17554,3.91200,324,445,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
123,218,chr1,17099405,17099624,3.18218,1.81265,165,219,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
124,236,chr1,18057278,18059787,6.19528,9.52386,2352,2509,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
124,237,chr1,18057278,18059787,6.19528,9.52386,2352,2509,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
129,247,chr1,19099623,19104957,6.81074,16.04102,166,5334,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
129,248,chr1,19099623,19104957,6.81074,16.04102,166,5334,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
130,248,chr1,19105049,19106124,7.59357,14.10521,462,1075,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
131,248,chr1,19106270,19106651,2.75900,1.31600,75,381,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
