peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
9,11,chr1,3672456,3672636,2.63334,3.83017,126,180,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
11,19,chr1,4496360,4497804,2.41019,4.65595,839,1444,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
11,20,chr1,4496360,4497804,2.41019,4.65595,839,1444,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
15,32,chr1,4786418,4787081,3.92135,12.62323,341,663,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
16,34,chr1,4808390,4809288,4.06618,13.22561,313,898,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
19,35,chr1,4856839,4857205,3.76874,9.43153,97,366,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
22,40,chr1,4969311,4970200,3.33743,7.70759,300,889,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
23,40,chr1,4970309,4971055,3.50673,7.73081,231,746,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
30,47,chr1,5588200,5588522,2.54600,3.40605,118,322,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
31,47,chr1,5588576,5589297,3.59407,8.28715,310,721,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
32,51,chr1,5916388,5918123,3.85608,10.01779,1529,1735,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
35,54,chr1,6215574,6216918,6.47625,28.42579,679,1344,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
36,54,chr1,6217369,6217717,2.46087,3.48612,140,348,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
38,55,chr1,6358767,6359657,4.35802,13.03427,170,890,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
48,60,chr1,6866592,6867213,2.53986,3.48612,460,621,ENSMUSG00000103329,,Gm42492,chr1,6861237,6864151,-1
49,67,chr1,7087746,7088323,4.91953,17.98370,244,577,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
