peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,12,chr1,3679259,3679478,3.24911,2.27276,116,219,ENSMUSG00000102348,,Gm10568,chr1,3680155,3681788,1
4,42,chr1,5119375,5119816,4.32944,5.55207,282,441,ENSMUSG00000033793,108664.0,Atp6v1h,chr1,5070018,5162529,1
12,108,chr1,9792090,9792353,3.24911,2.27276,131,263,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
13,125,chr1,10197062,10197285,4.50949,5.55207,125,223,ENSMUSG00000102556,,Gm37569,chr1,10197081,10198802,-1
13,126,chr1,10197062,10197285,4.50949,5.55207,125,223,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
14,125,chr1,10197556,10197824,4.14938,4.97349,118,268,ENSMUSG00000102556,,Gm37569,chr1,10197081,10198802,-1
14,126,chr1,10197556,10197824,4.14938,4.97349,118,268,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
16,131,chr1,10643402,10643679,4.00876,4.72205,164,277,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
17,131,chr1,10644000,10644356,3.24911,2.27276,201,356,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
18,131,chr1,10657091,10657368,2.70895,1.00022,60,277,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
21,140,chr1,11746398,11746876,3.51524,3.52992,331,478,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
22,140,chr1,11766781,11767035,2.73971,1.75078,130,254,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
23,140,chr1,11915908,11916304,3.42917,2.75993,278,396,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
27,152,chr1,12935744,12936007,3.78927,3.82016,85,263,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
28,166,chr1,13381235,13381500,2.70895,1.00022,172,265,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
39,188,chr1,15535169,15535510,3.35579,3.03403,165,341,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
40,188,chr1,15602054,15602385,3.06906,1.81470,124,331,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
43,206,chr1,16347984,16348248,3.78927,3.82016,161,264,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
44,206,chr1,16348537,16348990,4.86375,6.89240,299,453,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
45,206,chr1,16474993,16475176,2.88900,1.39090,86,183,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
46,208,chr1,16579354,16580000,2.73971,1.75078,96,646,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
48,216,chr1,16997760,16997963,3.96456,4.38973,138,203,ENSMUSG00000101640,,Gm28376,chr1,16898185,17091631,1
48,218,chr1,16997760,16997963,3.96456,4.38973,138,203,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
52,265,chr1,20776568,20776748,3.06906,1.81470,90,180,ENSMUSG00000041872,257630.0,Il17f,chr1,20777146,20790617,-1
53,275,chr1,21067359,21067623,2.20482,1.00022,78,264,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
58,303,chr1,23168667,23168890,4.86960,6.89240,130,223,ENSMUSG00000101227,,Gm29506,chr1,23048295,23235673,-1
63,321,chr1,24208446,24208662,3.24911,2.27276,48,216,ENSMUSG00000026147,12839.0,Col9a1,chr1,24177610,24252684,1
64,323,chr1,24330309,24330665,3.24911,2.27276,298,356,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
65,332,chr1,24716885,24717402,5.22970,8.31476,204,517,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
73,352,chr1,25724151,25724347,3.24911,2.27276,140,196,ENSMUSG00000103563,,8030445P17Rik,chr1,25722038,25724778,-1
88,447,chr1,34090042,34090276,3.19633,2.56530,105,234,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
89,447,chr1,34102645,34102906,3.99361,4.59685,152,261,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
90,460,chr1,34428072,34428479,4.14938,4.97349,175,407,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
91,460,chr1,34429725,34430066,3.85236,4.36125,170,341,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
92,460,chr1,34430236,34432604,4.92654,10.00605,1046,2368,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
94,486,chr1,34930004,34930489,4.86960,6.89240,152,485,ENSMUSG00000103716,,Gm19430,chr1,34928509,34930645,1
107,524,chr1,36623476,36623912,2.63643,1.81470,52,436,ENSMUSG00000046337,381337.0,Fam178b,chr1,36562692,36683183,-1
110,537,chr1,37094223,37094635,4.08906,4.89532,197,412,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
111,537,chr1,37161726,37161912,2.88900,1.39090,53,186,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
112,539,chr1,37211730,37211995,3.42310,3.45886,124,265,ENSMUSG00000026114,12790.0,Cnga3,chr1,37214434,37263384,1
113,539,chr1,37246724,37247105,4.10275,4.92249,248,381,ENSMUSG00000026114,12790.0,Cnga3,chr1,37214434,37263384,1
116,541,chr1,37328859,37329351,4.32944,5.55207,169,492,ENSMUSG00000026113,269180.0,Inpp4a,chr1,37299865,37410736,1
117,544,chr1,37424383,37424645,3.42917,2.75993,134,262,ENSMUSG00000026112,76178.0,Coa5,chr1,37417084,37430103,-1
118,548,chr1,37506399,37506703,4.29517,5.55207,63,304,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
119,548,chr1,37506743,37506958,2.92946,1.91255,88,215,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
120,548,chr1,37507474,37507808,3.39063,2.74683,258,334,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
124,552,chr1,37705227,37705466,4.14938,4.97349,95,239,ENSMUSG00000026090,72097.0,2010300C02Rik,chr1,37611677,37720085,-1
125,555,chr1,37874911,37875970,4.50949,5.55207,590,1059,ENSMUSG00000037216,623661.0,Lipt1,chr1,37871738,37876228,1
125,556,chr1,37874911,37875970,4.50949,5.55207,590,1059,ENSMUSG00000026088,69028.0,Mitd1,chr1,37874801,37890411,-1
126,565,chr1,38095746,38096105,2.87639,2.13381,234,359,ENSMUSG00000026082,56210.0,Rev1,chr1,38052786,38129801,-1
133,581,chr1,39048266,39049339,4.32944,5.55207,781,1073,ENSMUSG00000104188,,Gm37821,chr1,39048648,39057637,-1
134,582,chr1,39085147,39085457,3.20797,2.40059,150,310,ENSMUSG00000103182,,Gm37091,chr1,39081252,39083338,-1
138,584,chr1,39230103,39230501,3.19633,2.56530,149,398,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
139,584,chr1,39277201,39277563,2.87562,2.57410,215,362,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
139,585,chr1,39277201,39277563,2.87562,2.57410,215,362,ENSMUSG00000092553,,Gm20428,chr1,39276283,39276565,-1
140,584,chr1,39352520,39352751,3.60922,3.27968,93,231,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
141,589,chr1,39397486,39397847,3.03485,2.12724,142,361,ENSMUSG00000003134,54610.0,Tbc1d8,chr1,39371492,39478755,-1
144,592,chr1,39540373,39541012,6.37445,13.65881,242,639,ENSMUSG00000003135,52846.0,Cnot11,chr1,39534992,39546889,1
146,603,chr1,39914957,39915278,3.99361,4.59685,157,321,ENSMUSG00000026074,26921.0,Map4k4,chr1,39900913,40026310,1
149,614,chr1,40517381,40517816,2.27766,0.81165,304,435,ENSMUSG00000026068,16174.0,Il18rap,chr1,40515362,40551705,1
151,620,chr1,40778528,40778934,3.83416,4.59685,126,406,ENSMUSG00000103270,,Gm37915,chr1,40771385,40785343,1
151,621,chr1,40778528,40778934,3.83416,4.59685,126,406,ENSMUSG00000041945,211798.0,Mfsd9,chr1,40772038,40790687,-1
152,620,chr1,40779420,40779744,3.45269,3.52756,170,324,ENSMUSG00000103270,,Gm37915,chr1,40771385,40785343,1
152,621,chr1,40779420,40779744,3.45269,3.52756,170,324,ENSMUSG00000041945,211798.0,Mfsd9,chr1,40772038,40790687,-1
161,656,chr1,43734568,43734876,3.78472,3.82016,142,308,ENSMUSG00000026051,78896.0,Ecrg4,chr1,43730602,43742578,1
162,661,chr1,43809766,43809973,3.06906,1.81470,131,207,ENSMUSG00000057363,67883.0,Uxs1,chr1,43746966,43827800,-1
163,666,chr1,43958297,43958566,3.96456,4.38973,127,269,ENSMUSG00000041763,22019.0,Tpp2,chr1,43933647,44003000,1
164,674,chr1,44168135,44168350,3.54491,3.20703,94,215,ENSMUSG00000026048,22592.0,Ercc5,chr1,44147744,44181260,1
165,674,chr1,44172054,44172279,3.14974,3.00049,76,225,ENSMUSG00000026048,22592.0,Ercc5,chr1,44147744,44181260,1
166,674,chr1,44172574,44172932,2.55610,1.84307,258,358,ENSMUSG00000026048,22592.0,Ercc5,chr1,44147744,44181260,1
168,692,chr1,45428207,45428449,3.42917,2.75993,109,242,ENSMUSG00000026042,12832.0,Col5a2,chr1,45374321,45503282,-1
174,739,chr1,49318250,49318430,2.70895,1.00022,95,180,ENSMUSG00000051616,,C230029F24Rik,chr1,49244616,49340443,1
178,763,chr1,51534224,51534530,2.71796,1.32490,136,306,ENSMUSG00000099413,,Gm17767,chr1,51507086,51596718,-1
180,783,chr1,52544529,52545059,3.96933,4.38973,144,530,ENSMUSG00000100120,,Gm553,chr1,52522902,52582679,1
182,792,chr1,52876158,52876411,3.24911,2.27276,141,253,ENSMUSG00000041426,227095.0,Hibch,chr1,52844929,52920986,1
182,793,chr1,52876158,52876411,3.24911,2.27276,141,253,ENSMUSG00000089802,,Gm16107,chr1,52873137,52873998,-1
184,803,chr1,53341881,53342524,3.96933,4.38973,111,643,ENSMUSG00000101838,,Gm18800,chr1,53326206,53342186,-1
185,811,chr1,53613492,53613830,4.31252,5.72854,175,338,ENSMUSG00000096141,627872.0,Dnah7a,chr1,53397006,53706784,-1
186,812,chr1,53787613,53787889,2.97851,2.29794,148,276,ENSMUSG00000026094,98267.0,Stk17b,chr1,53755506,53785224,-1
187,817,chr1,54105664,54105868,2.32968,0.67836,141,204,ENSMUSG00000042807,329152.0,Hecw2,chr1,53806876,54195168,-1
189,825,chr1,54712311,54712673,2.87742,1.70856,198,362,ENSMUSG00000101674,,4930444A19Rik,chr1,54681729,54767524,1
190,829,chr1,54770723,54771044,3.13900,2.13381,101,321,ENSMUSG00000052331,329154.0,Ankrd44,chr1,54645340,54926387,-1
191,829,chr1,54902285,54902754,3.98270,4.66553,344,469,ENSMUSG00000052331,329154.0,Ankrd44,chr1,54645340,54926387,-1
194,841,chr1,55172643,55173421,3.78927,3.82016,231,778,ENSMUSG00000025978,74013.0,Rftn2,chr1,55170159,55226782,-1
195,841,chr1,55180305,55180621,3.50988,3.13331,80,316,ENSMUSG00000025978,74013.0,Rftn2,chr1,55170159,55226782,-1
196,841,chr1,55190443,55190653,3.42917,2.75993,110,210,ENSMUSG00000025978,74013.0,Rftn2,chr1,55170159,55226782,-1
197,844,chr1,55362551,55363264,5.76987,10.60771,278,713,ENSMUSG00000025977,75388.0,Boll,chr1,55248658,55363469,-1
198,847,chr1,55730107,55730544,3.52148,3.15830,152,437,ENSMUSG00000038349,227120.0,Plcl1,chr1,55405921,55754285,1
202,857,chr1,57000448,57000665,3.96933,4.38973,86,217,ENSMUSG00000087022,,9130024F11Rik,chr1,56971412,57050084,1
202,860,chr1,57000448,57000665,3.96933,4.38973,86,217,ENSMUSG00000094128,,Gm23943,chr1,56999155,56999275,-1
206,866,chr1,57417699,57417978,3.49196,3.49125,129,279,ENSMUSG00000025971,68115.0,Maip1,chr1,57406328,57417953,1
210,873,chr1,57810277,57810724,4.28079,5.53341,162,447,ENSMUSG00000038305,67198.0,Spats2l,chr1,57774162,57948394,1
211,873,chr1,57862592,57862894,2.70895,1.00022,114,302,ENSMUSG00000038305,67198.0,Spats2l,chr1,57774162,57948394,1
212,878,chr1,58140783,58141104,3.14974,3.00049,134,321,ENSMUSG00000064294,71724.0,Aox3,chr1,58113130,58200698,1
213,889,chr1,58505204,58505732,4.18272,5.31811,374,528,ENSMUSG00000026037,18393.0,Orc2,chr1,58462771,58505109,-1
213,890,chr1,58505204,58505732,4.18272,5.31811,374,528,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
214,889,chr1,58506612,58506844,3.24911,2.27276,112,232,ENSMUSG00000026037,18393.0,Orc2,chr1,58462771,58505109,-1
214,890,chr1,58506612,58506844,3.24911,2.27276,112,232,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
215,889,chr1,58507246,58508840,5.42872,10.59327,361,1594,ENSMUSG00000026037,18393.0,Orc2,chr1,58462771,58505109,-1
215,890,chr1,58507246,58508840,5.42872,10.59327,361,1594,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
216,890,chr1,58509023,58509428,3.78472,3.82016,59,405,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
217,890,chr1,58511317,58511793,3.42917,2.75993,74,476,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
218,890,chr1,58513340,58513592,3.60922,3.27968,179,252,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
219,890,chr1,58515957,58516146,3.60922,3.27968,32,189,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
220,891,chr1,58579230,58579493,4.68954,6.21040,133,263,ENSMUSG00000038174,213056.0,Fam126b,chr1,58522806,58586323,-1
221,901,chr1,58798701,58798981,3.96933,4.38973,171,280,ENSMUSG00000026029,12370.0,Casp8,chr1,58795374,58847503,1
