peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,8,chr1,3531308,3531845,3.37643,3.48189,345,537,ENSMUSG00000103147,,Gm7341,chr1,3531795,3532720,1
1,10,chr1,3656344,3656696,3.38490,4.27115,162,352,ENSMUSG00000102331,,Gm19938,chr1,3647309,3658904,-1
1,11,chr1,3656344,3656696,3.38490,4.27115,162,352,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,12,chr1,3679147,3680255,3.23773,3.77069,289,1108,ENSMUSG00000102348,,Gm10568,chr1,3680155,3681788,1
4,14,chr1,3783798,3785286,4.97578,9.17381,675,1488,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
16,42,chr1,5119257,5119993,3.67323,5.98692,278,736,ENSMUSG00000033793,108664.0,Atp6v1h,chr1,5070018,5162529,1
21,45,chr1,5307174,5307583,3.85451,5.28399,110,409,ENSMUSG00000104046,,Gm37567,chr1,5307739,5310017,1
32,58,chr1,6430012,6430393,4.52486,7.81820,199,381,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
33,58,chr1,6437783,6438023,2.48789,1.21563,140,240,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
34,58,chr1,6439596,6440168,3.37643,3.48189,379,572,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
36,65,chr1,7013563,7013909,3.73184,4.57819,166,346,ENSMUSG00000102213,,Gm37489,chr1,7013762,7013920,1
39,76,chr1,7495929,7496278,3.02101,2.49152,285,349,ENSMUSG00000103067,,Gm30414,chr1,7497968,7518149,1
51,126,chr1,10215002,10215530,3.02101,2.49152,245,528,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
53,131,chr1,10668155,10668701,4.10757,6.08560,163,546,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
54,131,chr1,10669654,10670025,3.73184,4.57819,209,371,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
55,136,chr1,11221638,11222005,2.75492,2.55403,181,367,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
56,136,chr1,11222889,11223329,3.37643,3.48189,121,440,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
56,138,chr1,11222889,11223329,3.37643,3.48189,121,440,ENSMUSG00000101827,,Gm28686,chr1,11223566,11224174,-1
57,140,chr1,11480449,11480890,2.84331,2.03559,285,441,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
58,140,chr1,11627202,11627506,3.19872,2.97119,130,304,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
59,140,chr1,11914818,11915586,4.49678,7.75511,599,768,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
60,140,chr1,11915686,11916369,3.23773,3.77069,357,683,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
65,151,chr1,12796917,12797498,3.73184,4.57819,173,581,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
66,152,chr1,12916273,12916757,2.94339,2.83907,147,484,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
72,171,chr1,13673579,13673905,3.02101,2.49152,185,326,ENSMUSG00000067813,381246.0,Xkr9,chr1,13668771,13701723,1
78,179,chr1,14205470,14205711,3.18416,3.12797,100,241,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
90,188,chr1,15432439,15432896,3.33095,3.59351,138,457,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
91,188,chr1,15498256,15498817,3.37643,3.48189,148,561,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
93,198,chr1,15861945,15862286,3.14848,3.94059,149,341,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
97,206,chr1,16348101,16349049,3.37643,3.48189,863,948,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
98,206,chr1,16474812,16475194,4.26496,6.41338,244,382,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
112,245,chr1,19035419,19035697,3.73184,4.57819,91,278,ENSMUSG00000101644,,Gm28343,chr1,19037266,19037377,1
115,260,chr1,20515287,20515912,3.90954,5.16502,156,625,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
116,260,chr1,20537259,20538093,3.90954,5.16502,658,834,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
117,260,chr1,20609745,20610185,3.38490,4.27115,123,440,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
118,264,chr1,20727961,20728936,4.16369,6.45374,359,975,ENSMUSG00000025929,16171.0,Il17a,chr1,20730905,20734496,1
123,300,chr1,22384461,22384725,2.84331,2.03559,180,264,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
124,300,chr1,22619131,22619676,3.90954,5.16502,363,545,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
128,303,chr1,23082772,23083253,3.90954,5.16502,182,481,ENSMUSG00000101227,,Gm29506,chr1,23048295,23235673,-1
129,302,chr1,23102086,23102469,3.19872,2.97119,256,383,ENSMUSG00000073730,66755.0,Ppp1r14bl,chr1,23100473,23102253,-1
129,303,chr1,23102086,23102469,3.19872,2.97119,256,383,ENSMUSG00000101227,,Gm29506,chr1,23048295,23235673,-1
130,303,chr1,23168598,23169422,3.35175,3.62889,165,824,ENSMUSG00000101227,,Gm29506,chr1,23048295,23235673,-1
131,303,chr1,23236030,23236388,2.84331,2.03559,169,358,ENSMUSG00000101227,,Gm29506,chr1,23048295,23235673,-1
132,303,chr1,23236760,23237146,2.49255,1.78001,135,386,ENSMUSG00000101227,,Gm29506,chr1,23048295,23235673,-1
137,314,chr1,23812078,23812668,3.37643,3.48189,74,590,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
138,314,chr1,23812766,23813545,3.23773,3.77069,410,779,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
139,314,chr1,23813682,23813944,3.55413,4.01804,168,262,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
140,314,chr1,23814202,23814616,3.85451,5.28399,249,414,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
143,321,chr1,24208317,24208976,2.48504,2.02447,225,659,ENSMUSG00000026147,12839.0,Col9a1,chr1,24177610,24252684,1
144,324,chr1,24595086,24595672,4.26496,6.41338,321,586,ENSMUSG00000099997,,Tubb4b-ps2,chr1,24594087,24595423,-1
145,332,chr1,24716855,24717448,4.82988,9.17381,205,593,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
155,344,chr1,25348124,25348566,3.44191,4.57819,113,442,ENSMUSG00000103214,,Gm38286,chr1,25345978,25349082,-1
161,352,chr1,25721601,25721848,3.19872,2.97119,151,247,ENSMUSG00000103563,,8030445P17Rik,chr1,25722038,25724778,-1
198,411,chr1,32203231,32203482,3.02101,2.49152,181,251,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
199,411,chr1,32629875,32630301,3.01657,2.65183,163,426,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
207,431,chr1,33318808,33319273,3.73184,4.57819,157,465,ENSMUSG00000100318,,Gm18799,chr1,33315670,33316582,-1
212,446,chr1,33871950,33872341,4.44266,7.07320,166,391,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
213,447,chr1,33958766,33959379,3.55413,4.01804,379,613,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
214,447,chr1,33985610,33986489,3.90954,5.16502,651,879,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
215,447,chr1,33986600,33986955,2.68140,1.78001,130,355,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
218,460,chr1,34426465,34426966,3.14848,3.94059,166,501,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
219,460,chr1,34429631,34431141,4.66165,9.34593,1106,1510,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
220,460,chr1,34431329,34432567,3.28960,4.24318,515,1238,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
221,471,chr1,34548949,34549193,3.55413,4.01804,133,244,ENSMUSG00000037529,21756.0,Prss40,chr1,34543968,34560943,-1
223,478,chr1,34776964,34777405,4.52486,7.81820,116,441,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
225,486,chr1,34929940,34930830,4.26496,6.41338,491,890,ENSMUSG00000103716,,Gm19430,chr1,34928509,34930645,1
247,524,chr1,36623357,36624175,3.53207,4.79431,384,818,ENSMUSG00000046337,381337.0,Fam178b,chr1,36562692,36683183,-1
248,537,chr1,37047204,37048253,2.37110,1.84696,651,1049,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
