peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
12,140,chr1,11660235,11660550,2.85495,1.49170,160,315,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
13,140,chr1,11753791,11754323,3.06525,1.57979,153,532,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
14,140,chr1,11914793,11915470,3.49694,2.51720,522,677,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
15,140,chr1,11915707,11916004,2.59892,0.72086,264,297,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
16,140,chr1,11945538,11945866,3.35304,1.99142,137,328,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
20,152,chr1,12906530,12907051,3.93810,4.26511,318,521,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
25,171,chr1,13687037,13687396,2.92135,1.14274,59,359,ENSMUSG00000067813,381246.0,Xkr9,chr1,13668771,13701723,1
29,188,chr1,15619664,15619978,3.78473,3.59777,120,314,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
33,264,chr1,20728261,20728519,3.35304,1.99142,96,258,ENSMUSG00000025929,16171.0,Il17a,chr1,20730905,20734496,1
36,275,chr1,21067197,21067739,4.07252,4.20358,397,542,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
38,296,chr1,21673707,21673953,3.11098,1.93280,73,246,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
39,300,chr1,22529970,22530181,2.98296,1.49170,51,211,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
43,321,chr1,24208374,24208593,3.49694,2.51720,109,219,ENSMUSG00000026147,12839.0,Col9a1,chr1,24177610,24252684,1
46,365,chr1,26687228,26687492,1.97556,1.95788,81,264,ENSMUSG00000073722,210940.0,4931408C20Rik,chr1,26681814,26687460,-1
58,460,chr1,34427275,34427582,2.92135,1.14274,174,307,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
59,460,chr1,34428499,34428728,2.92135,1.14274,196,229,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
60,460,chr1,34429164,34429629,3.78473,3.59777,319,465,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
61,460,chr1,34429803,34430235,3.49694,2.51720,269,432,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
62,460,chr1,34430329,34432070,3.79817,4.61759,1487,1741,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
63,460,chr1,34432222,34432553,3.92862,3.59777,145,331,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
66,486,chr1,34929863,34930807,4.64810,6.11883,187,944,ENSMUSG00000103716,,Gm19430,chr1,34928509,34930645,1
77,500,chr1,36085740,36086089,3.40051,2.62568,181,349,ENSMUSG00000045216,50785.0,Hs6st1,chr1,36068400,36106446,1
80,537,chr1,37164662,37164939,3.78473,3.59777,95,277,ENSMUSG00000050122,70853.0,Vwa3b,chr1,37026596,37187613,1
82,548,chr1,37506799,37507157,3.64083,3.06148,177,358,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
83,555,chr1,37875016,37875666,3.23899,2.33432,159,650,ENSMUSG00000037216,623661.0,Lipt1,chr1,37871738,37876228,1
83,556,chr1,37875016,37875666,3.23899,2.33432,159,650,ENSMUSG00000026088,69028.0,Mitd1,chr1,37874801,37890411,-1
87,581,chr1,39049786,39050197,3.64083,3.06148,167,411,ENSMUSG00000104188,,Gm37821,chr1,39048648,39057637,-1
