peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,19,chr1,4494112,4495462,5.97121,12.32717,1164,1350,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,19,chr1,4495560,4495805,4.74448,7.98761,140,245,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,19,chr1,4495851,4496814,3.79725,6.13865,662,963,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,19,chr1,4496957,4499516,5.30733,11.95854,942,2559,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,20,chr1,4496957,4499516,5.30733,11.95854,942,2559,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,20,chr1,4499682,4501750,5.31747,9.88353,819,2068,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
14,51,chr1,5915625,5917334,4.56923,7.29735,593,1709,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,51,chr1,5917537,5917760,3.16725,2.43306,21,223,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
16,51,chr1,5918234,5918593,2.99200,1.92913,251,359,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
17,55,chr1,6358237,6358427,2.99200,1.92913,148,190,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
18,55,chr1,6358828,6359365,3.16725,2.43306,99,537,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
23,116,chr1,9965619,9965885,4.74448,7.98761,128,266,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
24,116,chr1,9966281,9966689,5.27022,10.07282,219,408,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
25,116,chr1,9966784,9968526,7.02269,17.15052,551,1742,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
25,117,chr1,9966784,9968526,7.02269,17.15052,551,1742,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
26,117,chr1,9968700,9969792,6.06911,14.58628,420,1092,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
28,141,chr1,11415303,11415886,2.53934,1.45397,165,583,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
48,151,chr1,12689487,12690760,4.21873,5.97196,1003,1273,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
49,151,chr1,12690885,12691263,5.44547,10.07282,160,378,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
50,151,chr1,12691674,12692655,5.27022,10.07282,812,981,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
59,156,chr1,13126977,13130005,5.44780,11.56100,2749,3028,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
85,179,chr1,14310443,14310931,4.04349,5.33052,163,488,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
86,179,chr1,14311012,14311701,5.75845,13.06653,343,689,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
87,179,chr1,14312315,14312648,4.21873,5.97196,175,333,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
103,180,chr1,14753040,14754357,5.09497,9.39610,1138,1317,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
104,181,chr1,14754543,14757751,4.67116,8.78567,2380,3208,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
105,185,chr1,14918065,14918610,4.39398,6.62611,114,545,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
107,198,chr1,15892360,15892615,3.16725,2.43306,89,255,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
108,198,chr1,15892897,15893175,4.56923,7.29735,178,278,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
109,198,chr1,15893366,15893699,3.51774,3.52439,226,333,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
111,218,chr1,17095920,17097602,5.09497,9.39610,1061,1682,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
112,218,chr1,17097821,17098103,3.34250,2.96553,194,282,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
115,236,chr1,18057761,18058303,4.39398,6.62611,168,542,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
116,236,chr1,18058714,18059050,2.99200,1.92913,129,336,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
116,237,chr1,18058714,18059050,2.99200,1.92913,129,336,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
117,236,chr1,18059112,18059942,4.91972,8.69125,306,830,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
117,237,chr1,18059112,18059942,4.91972,8.69125,306,830,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
123,247,chr1,19099626,19102336,6.37976,16.14123,506,2710,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
