peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670102,3672671,44.23700,447.45557,1319,2569,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4497028,4497782,5.92347,20.74674,442,754,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4497028,4497782,5.92347,20.74674,442,754,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,26,chr1,4689152,4689409,3.40285,6.24342,114,257,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
6,32,chr1,4784469,4786798,54.69761,592.47559,1115,2329,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807286,4809266,57.21824,628.45337,753,1980,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807286,4809266,57.21824,628.45337,753,1980,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856918,4859102,47.01218,662.48175,1202,2184,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
12,47,chr1,5588172,5589312,15.75344,109.52918,392,1140,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
13,51,chr1,5916345,5918027,22.43358,175.62622,698,1682,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
14,54,chr1,6213372,6215902,58.47855,646.57214,1724,2530,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
16,55,chr1,6358773,6359696,20.37703,172.00127,518,923,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
17,57,chr1,6382625,6383516,31.63387,284.15640,403,891,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
18,58,chr1,6441092,6441768,26.46658,221.86261,308,676,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
24,67,chr1,7087883,7090122,37.43131,357.48343,1271,2239,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
27,74,chr1,7396990,7398792,32.96785,362.35361,783,1802,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
29,95,chr1,9298116,9300546,34.02847,314.03754,1155,2430,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
30,101,chr1,9544626,9548606,50.62747,559.70868,1089,3980,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
30,102,chr1,9544626,9548606,50.62747,559.70868,1089,3980,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
31,104,chr1,9601131,9602384,7.27737,31.76741,682,1253,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
32,107,chr1,9699200,9701434,55.83189,608.61975,979,2234,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
34,108,chr1,9744900,9745157,6.42760,24.14953,109,257,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
35,108,chr1,9745364,9745951,9.12318,53.33950,207,587,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
36,108,chr1,9746053,9748926,49.45177,625.54944,2043,2873,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
