peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,11,chr1,3671801,3672710,6.06087,27.46691,724,909,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,11,chr1,3673169,3674037,3.57487,8.66201,432,868,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
8,19,chr1,4494113,4495404,5.89514,25.87853,637,1291,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
9,19,chr1,4495587,4499445,5.12782,22.16498,2930,3858,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
9,20,chr1,4495587,4499445,5.12782,22.16498,2930,3858,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
10,20,chr1,4499726,4501330,5.80569,25.51453,656,1604,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
29,51,chr1,5915660,5918099,5.54319,28.27255,1222,2439,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
30,51,chr1,5918544,5919530,2.91129,6.20646,300,986,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
33,55,chr1,6357074,6357816,2.33186,2.46078,125,742,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
34,55,chr1,6357906,6358502,2.25576,3.66818,200,596,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
35,55,chr1,6358707,6360537,3.97610,12.52952,1588,1830,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
41,58,chr1,6440409,6441314,3.74060,9.82323,605,905,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
42,58,chr1,6441492,6442019,3.12159,6.59420,380,527,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
43,95,chr1,9298062,9301056,7.41375,41.09073,1201,2994,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
44,95,chr1,9301319,9302206,4.15493,12.27241,297,887,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
50,113,chr1,9908908,9909546,2.66333,4.09621,493,638,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
52,116,chr1,9964565,9964923,3.58613,10.90192,145,358,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
53,116,chr1,9965614,9965883,3.74060,9.82323,115,269,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
54,116,chr1,9966304,9966606,4.32067,13.56591,153,302,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
55,116,chr1,9966743,9968538,4.40353,14.22530,1015,1795,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
55,117,chr1,9966743,9968538,4.40353,14.22530,1015,1795,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
56,117,chr1,9968980,9969748,4.63183,19.86498,162,768,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
58,140,chr1,11412380,11412682,2.33186,2.46078,165,302,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
59,140,chr1,11412826,11413260,2.64067,4.96354,196,434,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
60,140,chr1,11414579,11416049,5.64654,23.54379,796,1470,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
60,141,chr1,11414579,11416049,5.64654,23.54379,796,1470,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
61,141,chr1,11416239,11417008,2.57801,4.96354,187,769,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
63,151,chr1,12689410,12691274,5.89514,25.87853,1422,1864,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
124,152,chr1,12992936,12996187,5.31604,21.70460,282,3251,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
139,153,chr1,13059013,13060254,3.32627,7.55836,801,1241,ENSMUSG00000104518,,Gm37162,chr1,13059401,13059951,-1
139,154,chr1,13059013,13060254,3.32627,7.55836,801,1241,ENSMUSG00000069620,,Gm5250,chr1,13062025,13062345,1
140,153,chr1,13060744,13062002,2.86146,5.65870,1102,1258,ENSMUSG00000104518,,Gm37162,chr1,13059401,13059951,-1
140,154,chr1,13060744,13062002,2.86146,5.65870,1102,1258,ENSMUSG00000069620,,Gm5250,chr1,13062025,13062345,1
142,155,chr1,13067306,13068321,2.58046,3.66101,282,1015,ENSMUSG00000099498,,Gm29283,chr1,13068838,13078662,1
160,156,chr1,13126301,13130054,6.88954,34.04106,3516,3753,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
164,165,chr1,13375623,13376023,2.16895,2.51802,303,400,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
164,166,chr1,13375623,13376023,2.16895,2.51802,303,400,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
179,180,chr1,14751184,14752205,3.16053,6.49385,924,1021,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
180,180,chr1,14752551,14752772,2.99480,5.48172,123,221,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
181,180,chr1,14752945,14758401,7.50811,41.51704,1088,5456,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
181,181,chr1,14752945,14758401,7.50811,41.51704,1088,5456,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
185,185,chr1,14917913,14918998,3.00768,6.62759,660,1085,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
186,185,chr1,14919280,14919823,2.17219,2.83997,155,543,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
187,185,chr1,14919887,14920504,2.64067,4.96354,90,617,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
188,188,chr1,15285894,15286832,3.16053,6.49385,178,938,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
189,188,chr1,15287297,15288312,3.82347,10.42178,867,1015,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
191,198,chr1,15890677,15892404,4.32067,13.56591,1539,1727,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
192,198,chr1,15892897,15893163,2.99480,5.48172,171,266,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
193,198,chr1,15893286,15893711,4.48640,14.89382,250,425,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
194,198,chr1,15894222,15895172,3.91914,11.69054,277,950,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
196,200,chr1,16092173,16093172,2.34765,3.90387,358,999,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
197,200,chr1,16093240,16093753,3.40913,8.09640,330,513,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
200,206,chr1,16521672,16522090,3.07766,5.98008,230,418,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
201,208,chr1,16620663,16621043,2.91193,4.99571,211,380,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
202,218,chr1,17098435,17099122,2.91193,4.99571,143,687,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
203,218,chr1,17099220,17099709,2.98181,5.45218,379,489,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
204,218,chr1,17100181,17100613,2.93457,6.13741,135,432,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
206,236,chr1,18056742,18061886,8.38541,50.58395,1358,5144,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
206,237,chr1,18056742,18061886,8.38541,50.58395,1358,5144,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
211,247,chr1,19099629,19114166,9.95562,64.71058,5911,14537,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
211,248,chr1,19099629,19114166,9.95562,64.71058,5911,14537,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
215,250,chr1,19207003,19208439,7.88394,43.69265,756,1436,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
216,250,chr1,19208705,19213744,6.80667,34.04106,4750,5039,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
223,251,chr1,19239889,19244222,8.19298,53.27619,434,4333,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
226,270,chr1,20891857,20892215,2.74620,4.52686,192,358,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
232,281,chr1,21270887,21271322,2.23644,2.86871,360,435,ENSMUSG00000099343,,Gm28836,chr1,21250359,21271593,-1
232,282,chr1,21270887,21271322,2.23644,2.86871,360,435,ENSMUSG00000096375,,Gm7094,chr1,21272403,21272906,1
233,281,chr1,21273086,21273345,2.91193,4.99571,150,259,ENSMUSG00000099343,,Gm28836,chr1,21250359,21271593,-1
240,300,chr1,22805197,22805507,2.32949,4.18389,118,310,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
241,300,chr1,22806423,22807415,2.42025,4.42272,524,992,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
243,314,chr1,23757859,23762221,5.64857,31.47157,2877,4362,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
257,323,chr1,24583287,24587848,6.90459,35.62095,2820,4561,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
258,323,chr1,24588174,24588771,5.06647,19.07834,243,597,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
