peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
7,447,chr1,34102610,34102815,2.39708,0.64826,114,205,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
8,460,chr1,34430634,34430918,3.04673,2.70528,109,284,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
9,460,chr1,34432042,34432570,3.10997,2.33688,296,528,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
10,486,chr1,34929586,34930313,3.10997,2.33688,459,727,ENSMUSG00000103716,,Gm19430,chr1,34928509,34930645,1
12,524,chr1,36623608,36623989,2.99640,2.10452,96,381,ENSMUSG00000046337,381337.0,Fam178b,chr1,36562692,36683183,-1
15,811,chr1,53613229,53613722,4.05648,6.27591,308,493,ENSMUSG00000096141,627872.0,Dnah7a,chr1,53397006,53706784,-1
16,844,chr1,55362736,55363105,2.97475,1.88910,213,369,ENSMUSG00000025977,75388.0,Boll,chr1,55248658,55363469,-1
17,889,chr1,58507366,58507762,3.05969,3.05359,278,396,ENSMUSG00000026037,18393.0,Orc2,chr1,58462771,58505109,-1
17,890,chr1,58507366,58507762,3.05969,3.05359,278,396,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
18,901,chr1,58819215,58819559,2.77437,1.88910,160,344,ENSMUSG00000026029,12370.0,Casp8,chr1,58795374,58847503,1
19,901,chr1,58819751,58820003,3.44022,4.73186,154,252,ENSMUSG00000026029,12370.0,Casp8,chr1,58795374,58847503,1
20,901,chr1,58820462,58820707,2.99636,2.39585,63,245,ENSMUSG00000026029,12370.0,Casp8,chr1,58795374,58847503,1
21,1035,chr1,64058715,64059214,2.55242,1.14260,381,499,ENSMUSG00000025959,93691.0,Klf7,chr1,64029447,64122282,-1
22,1037,chr1,64185600,64185908,2.97475,1.88910,131,308,ENSMUSG00000101895,,Gm28981,chr1,64185991,64303043,-1
