peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,5,chr1,3466448,3466888,2.53527,4.85196,258,440,ENSMUSG00000089699,,Gm1992,chr1,3466587,3513553,1
3,6,chr1,3466448,3466888,2.53527,4.85196,258,440,ENSMUSG00000103025,,Gm37686,chr1,3464977,3467285,-1
13,19,chr1,4496320,4497660,3.87279,14.57401,1078,1340,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
13,20,chr1,4496320,4497660,3.87279,14.57401,1078,1340,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
18,32,chr1,4786468,4786878,3.47719,9.20375,281,410,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
23,35,chr1,4856766,4857262,2.69511,4.68405,163,496,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
26,40,chr1,4969541,4971497,2.79316,8.32544,1373,1956,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
34,47,chr1,5587963,5589302,5.12825,21.44720,1061,1339,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
36,51,chr1,5916509,5918111,4.69376,17.92748,1437,1602,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
40,54,chr1,6215494,6217034,8.60417,54.18892,751,1540,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
41,54,chr1,6217321,6217848,3.65099,10.33547,147,527,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
44,55,chr1,6358764,6359762,4.69376,17.92748,642,998,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
45,58,chr1,6441644,6441876,2.84839,5.87889,103,232,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
68,60,chr1,6866261,6867267,2.67607,5.70137,877,1006,ENSMUSG00000103329,,Gm42492,chr1,6861237,6864151,-1
70,67,chr1,7087635,7088279,5.04136,20.72870,352,644,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
74,68,chr1,7136934,7137236,2.43442,3.41452,108,302,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
75,68,chr1,7138102,7138818,3.39029,8.65370,167,716,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
79,73,chr1,7313292,7313843,2.69511,4.68405,98,551,ENSMUSG00000102768,,Gm19002,chr1,7315451,7316462,1
92,95,chr1,9299870,9300373,3.12960,7.07276,350,503,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
93,95,chr1,9300432,9301026,2.89188,7.60435,186,594,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
94,101,chr1,9544671,9545031,2.95580,6.07874,261,360,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
95,102,chr1,9546463,9549127,8.60417,54.18892,1692,2664,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
100,104,chr1,9601342,9602866,3.10935,7.98409,166,1524,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
103,105,chr1,9629430,9631449,3.45029,12.72101,889,2019,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
108,107,chr1,9699249,9700084,4.60687,17.24678,465,835,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
111,108,chr1,9744927,9745161,4.51997,16.57636,95,234,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
112,108,chr1,9745388,9747535,7.39234,65.55978,1176,2147,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
114,110,chr1,9797326,9797898,3.12208,7.44764,141,572,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
117,114,chr1,9941107,9943314,6.19585,37.03142,1784,2207,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
118,116,chr1,9967102,9968327,3.61485,10.67881,339,1225,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
118,117,chr1,9967102,9968327,3.61485,10.67881,339,1225,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
119,119,chr1,10008540,10009540,5.04136,20.72870,162,1000,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
119,120,chr1,10008540,10009540,5.04136,20.72870,162,1000,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
120,121,chr1,10035575,10036590,5.83231,28.30045,846,1015,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
121,121,chr1,10036681,10037413,6.57122,44.24623,329,732,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
122,122,chr1,10038744,10039648,9.47315,63.75352,346,904,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
123,122,chr1,10040146,10042211,4.40679,22.72519,982,2065,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
130,126,chr1,10233583,10233996,2.46488,4.44529,282,413,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
136,131,chr1,10719273,10719606,3.16326,8.40385,170,333,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
137,131,chr1,10719802,10720147,2.50286,4.31265,108,345,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
142,136,chr1,10993045,10993474,2.73030,5.59995,241,429,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
148,140,chr1,11413471,11414083,4.34617,15.25520,236,612,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
149,140,chr1,11414592,11415167,2.95765,7.54294,261,575,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
149,141,chr1,11414592,11415167,2.95765,7.54294,261,575,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
160,151,chr1,12689406,12690137,3.79164,12.90591,157,731,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
161,151,chr1,12691714,12692683,4.78066,18.61698,416,969,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
187,152,chr1,12992774,12993418,3.99144,14.59293,357,644,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
192,156,chr1,13125666,13126862,4.60038,18.17142,795,1196,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
193,156,chr1,13127017,13127393,3.82478,11.50951,115,376,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
194,156,chr1,13127922,13128887,3.01544,9.65215,144,965,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
209,160,chr1,13289986,13290656,4.01358,15.78024,381,670,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
210,160,chr1,13290722,13291162,2.95404,6.61579,292,440,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
211,160,chr1,13291330,13291822,2.45350,3.74750,87,492,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
212,160,chr1,13292664,13293131,2.12745,3.73264,168,467,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
214,161,chr1,13299109,13299380,2.63403,4.63931,165,271,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
215,161,chr1,13300605,13301319,2.81686,6.59561,319,714,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
226,162,chr1,13333810,13334286,2.96339,6.65254,233,476,ENSMUSG00000087782,,Gm23169,chr1,13334498,13334609,-1
229,164,chr1,13358510,13359226,2.33493,5.14012,144,716,ENSMUSG00000102664,,Gm38380,chr1,13354483,13356730,-1
240,165,chr1,13374497,13374886,3.65099,10.33547,219,389,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
240,166,chr1,13374497,13374886,3.65099,10.33547,219,389,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
246,168,chr1,13590156,13590523,2.52132,3.82266,181,367,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
248,170,chr1,13659922,13660342,2.83837,6.01453,155,420,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
249,170,chr1,13660749,13661023,3.46127,9.15122,159,274,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
259,177,chr1,14180076,14180726,3.54331,9.92424,304,650,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
260,177,chr1,14180956,14182371,3.26860,13.24326,964,1415,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
269,179,chr1,14310386,14310833,3.56409,9.76385,257,447,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
275,181,chr1,14755690,14756477,3.72974,12.88235,481,787,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
277,185,chr1,14918245,14918995,2.95580,6.07874,299,750,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
278,185,chr1,14919193,14919558,2.79356,5.51489,172,365,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
279,185,chr1,14920203,14920662,2.52132,3.82266,144,459,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
280,188,chr1,15285969,15286441,2.69477,6.24619,141,472,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
281,188,chr1,15287455,15288334,3.07174,8.02450,267,879,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
288,195,chr1,15804975,15805354,3.56409,9.76385,185,379,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
293,198,chr1,15892227,15892641,4.43307,15.91139,256,414,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
294,198,chr1,15892719,15893165,3.65099,10.33547,330,446,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
296,200,chr1,16092532,16093645,3.82478,11.50951,831,1113,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
297,202,chr1,16102052,16103853,5.64964,25.91222,1114,1801,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
298,201,chr1,16106147,16108186,5.30205,22.90835,964,2039,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
298,202,chr1,16106147,16108186,5.30205,22.90835,964,2039,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
306,204,chr1,16227837,16228260,2.24564,4.25895,157,423,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
318,207,chr1,16616034,16616939,6.60552,33.85257,720,905,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
319,207,chr1,16617093,16618246,7.30070,40.63348,156,1153,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
320,210,chr1,16654201,16656383,7.56140,43.26399,1589,2182,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
321,211,chr1,16665689,16668169,5.45948,26.94826,425,2480,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
321,212,chr1,16665689,16668169,5.45948,26.94826,425,2480,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
322,213,chr1,16687761,16688249,4.51826,17.50055,187,488,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
323,218,chr1,17096573,17097680,3.69667,14.95500,372,1107,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
324,218,chr1,17097874,17098194,3.30340,8.11530,156,320,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
325,219,chr1,17123052,17123483,2.60821,4.24607,177,431,ENSMUSG00000100110,,Gm28783,chr1,17124747,17128956,1
330,229,chr1,17726959,17728162,3.71583,12.32173,1014,1203,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
330,230,chr1,17726959,17728162,3.71583,12.32173,1014,1203,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
332,236,chr1,18056914,18058126,4.43307,15.91139,824,1212,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
333,236,chr1,18058867,18059275,2.69511,4.68405,55,408,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
333,237,chr1,18058867,18059275,2.69511,4.68405,55,408,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
