peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670345,3672689,15.44724,76.59051,904,2344,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,32,chr1,4784933,4786219,23.15023,87.39945,620,1286,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
4,33,chr1,4807359,4808872,29.03274,111.67378,630,1513,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
4,34,chr1,4807359,4808872,29.03274,111.67378,630,1513,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
5,35,chr1,4857263,4857649,8.33972,19.95005,216,386,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
6,35,chr1,4857725,4858894,19.92734,66.29367,556,1169,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,47,chr1,5588253,5589131,5.35870,6.99003,453,878,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
12,51,chr1,5916539,5917393,7.17978,12.54140,403,854,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
13,54,chr1,6213852,6215781,36.92409,155.80888,952,1929,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
14,55,chr1,6358816,6359580,4.24486,6.47077,493,764,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
15,57,chr1,6382678,6383427,17.09455,52.29004,376,749,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
16,58,chr1,6441107,6441756,16.08284,48.23007,359,649,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
19,67,chr1,7087910,7088813,24.35061,103.15063,671,903,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
20,67,chr1,7088904,7090051,21.95077,76.46505,206,1147,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
23,74,chr1,7397622,7397953,19.72500,64.86229,174,331,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
24,74,chr1,7398139,7398765,17.49924,55.03836,330,626,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
25,95,chr1,9298194,9300520,17.49924,55.03836,1250,2326,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
26,95,chr1,9300651,9300828,3.33528,2.38152,141,177,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
27,101,chr1,9544855,9545176,7.17978,12.54140,150,321,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
28,101,chr1,9545422,9546173,11.63131,29.09205,155,751,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
28,102,chr1,9545422,9546173,11.63131,29.09205,155,751,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
29,102,chr1,9547986,9548299,4.00253,3.57226,161,313,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
30,104,chr1,9601047,9602419,16.28518,49.57324,538,1372,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
31,107,chr1,9699504,9701353,14.94514,44.52962,1308,1849,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
32,108,chr1,9746853,9748428,25.79527,94.51942,1215,1575,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
32,109,chr1,9746853,9748428,25.79527,94.51942,1215,1575,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
33,109,chr1,9748657,9748916,6.77510,11.56529,103,259,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
34,110,chr1,9797705,9798864,15.41822,52.90987,603,1159,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
