peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670626,3672359,11.65591,38.94568,1228,1733,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4491386,4495471,17.51277,74.42356,1014,4085,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,19,chr1,4495591,4497921,10.70547,35.43871,1568,2330,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4495591,4497921,10.70547,35.43871,1568,2330,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,32,chr1,4785094,4786406,38.24533,247.77730,470,1312,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,33,chr1,4807269,4808871,46.97251,285.60471,769,1602,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
6,34,chr1,4807269,4808871,46.97251,285.60471,769,1602,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
7,35,chr1,4857037,4858826,35.86435,196.62256,1143,1789,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,54,chr1,6213223,6216365,52.67576,326.68481,1612,3142,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
11,55,chr1,6358651,6359620,10.31100,32.05508,574,969,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
12,57,chr1,6382534,6383466,18.38048,77.33749,470,932,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
13,58,chr1,6441162,6441645,6.94872,16.42379,242,483,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
14,67,chr1,7088060,7090520,30.93300,160.87762,1178,2460,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
16,74,chr1,7397071,7398834,29.58809,151.37488,713,1763,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
17,101,chr1,9544824,9546838,28.46733,143.54276,838,2014,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
17,102,chr1,9544824,9546838,28.46733,143.54276,838,2014,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
18,102,chr1,9548052,9548356,3.94268,6.57009,87,304,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
19,107,chr1,9699490,9701467,30.03639,154.53021,751,1977,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
22,108,chr1,9745322,9745977,5.59198,15.17360,375,655,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
