peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,7,chr1,3514656,3514870,4.59455,18.18634,91,214,ENSMUSG00000103201,,Gm37329,chr1,3512451,3514507,-1
1,19,chr1,4496067,4498007,6.52932,24.52055,610,1940,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
1,20,chr1,4496067,4498007,6.52932,24.52055,610,1940,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,30,chr1,4768585,4769049,14.13875,53.91060,313,464,ENSMUSG00000103922,,Gm6123,chr1,4771131,4772199,1
6,30,chr1,4769293,4769639,10.64674,27.38433,199,346,ENSMUSG00000103922,,Gm6123,chr1,4771131,4772199,1
8,32,chr1,4784950,4785683,14.23892,91.71927,606,733,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
9,32,chr1,4785844,4786134,4.94896,13.67509,92,290,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
14,33,chr1,4807369,4807797,17.57921,166.34697,280,428,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
14,34,chr1,4807369,4807797,17.57921,166.34697,280,428,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
15,33,chr1,4807870,4809339,15.57788,85.17181,147,1469,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
15,34,chr1,4807870,4809339,15.57788,85.17181,147,1469,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
19,35,chr1,4857332,4857563,6.00967,35.95593,146,231,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
20,35,chr1,4857828,4858522,10.51917,51.31198,307,694,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
24,54,chr1,6214669,6215647,15.80228,114.14401,140,978,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
26,67,chr1,7087892,7088727,15.66371,127.46115,692,835,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
27,67,chr1,7089081,7089961,15.02344,154.46469,171,880,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
32,74,chr1,7397079,7397437,9.19188,23.25862,132,358,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
33,74,chr1,7397654,7397923,18.49211,131.55502,143,269,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
34,74,chr1,7398216,7398453,5.91475,11.53800,85,237,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
35,101,chr1,9545476,9546815,8.01447,31.32187,441,1339,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
35,102,chr1,9545476,9546815,8.01447,31.32187,441,1339,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
36,102,chr1,9547046,9547484,6.18512,12.08802,305,438,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
37,102,chr1,9547528,9547992,3.57391,5.13209,416,464,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
38,102,chr1,9548051,9549795,21.56051,204.18100,155,1744,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
48,105,chr1,9629981,9631518,2.75391,5.26243,333,1537,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
51,107,chr1,9700723,9701080,7.73907,25.27994,119,357,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
52,108,chr1,9745796,9746023,4.66951,5.86840,103,227,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
53,108,chr1,9746410,9746884,5.46784,8.31758,338,474,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
54,108,chr1,9746947,9748419,13.84311,119.61251,1327,1472,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
54,109,chr1,9746947,9748419,13.84311,119.61251,1327,1472,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
55,109,chr1,9748622,9748897,21.94410,169.60010,138,275,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
56,110,chr1,9797728,9798067,6.00967,35.95593,148,339,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
57,110,chr1,9798242,9798829,8.84307,36.22993,273,587,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
61,114,chr1,9943759,9944072,8.91873,47.34444,197,313,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
61,115,chr1,9943759,9944072,8.91873,47.34444,197,313,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
62,114,chr1,9944417,9944600,3.57236,6.11890,55,183,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
62,115,chr1,9944417,9944600,3.57236,6.11890,55,183,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
64,121,chr1,10037443,10038191,12.52454,194.37753,613,748,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
64,122,chr1,10037443,10038191,12.52454,194.37753,613,748,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
65,121,chr1,10038337,10038662,4.16738,8.52132,124,325,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
65,122,chr1,10038337,10038662,4.16738,8.52132,124,325,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
66,122,chr1,10038925,10039286,5.80680,12.93682,231,361,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
67,122,chr1,10039796,10040228,13.29661,72.46309,125,432,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
73,126,chr1,10232046,10232443,3.22785,3.88808,295,397,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
74,126,chr1,10232625,10233027,7.33293,22.16545,262,402,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
75,126,chr1,10233138,10233459,9.18911,34.24454,116,321,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
79,136,chr1,10991167,10991391,11.55563,24.58045,98,224,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
80,136,chr1,10993558,10994149,11.29820,44.57100,132,591,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
94,165,chr1,13373315,13374885,13.80033,114.92946,972,1570,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
94,166,chr1,13373315,13374885,13.80033,114.92946,972,1570,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
104,168,chr1,13589004,13589875,23.44022,147.33833,628,871,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
114,170,chr1,13659401,13660496,21.19635,228.62759,945,1095,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
115,170,chr1,13660658,13661310,9.03609,51.26962,120,652,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
116,171,chr1,13668919,13669129,9.32154,17.27531,140,210,ENSMUSG00000067813,381246.0,Xkr9,chr1,13668771,13701723,1
128,181,chr1,14755607,14755968,4.66176,5.53358,226,361,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
