peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670483,3672601,10.61520,26.89064,927,2118,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,32,chr1,4784984,4786262,11.69559,31.53942,557,1278,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807390,4808760,21.57343,79.30791,672,1370,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807390,4808760,21.57343,79.30791,672,1370,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4857203,4857665,7.52838,15.11117,244,462,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
7,35,chr1,4857705,4858869,15.39978,48.98258,424,1164,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,47,chr1,5588268,5588787,3.90678,3.89180,270,519,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
11,47,chr1,5588949,5589162,3.62549,3.21294,54,213,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
12,51,chr1,5916720,5917073,2.64097,0.89533,41,353,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
13,54,chr1,6213913,6215625,17.40621,58.29676,1139,1712,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
14,55,chr1,6358859,6359584,6.60233,12.19960,458,725,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
15,57,chr1,6382846,6383371,8.91745,20.26837,213,525,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
16,58,chr1,6441031,6441836,14.16505,42.56171,346,805,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
19,67,chr1,7087831,7088819,14.57334,51.26643,679,988,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
20,67,chr1,7088989,7090025,10.43141,27.60254,186,1036,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
21,74,chr1,7397676,7397915,4.44156,5.29663,116,239,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
22,74,chr1,7398115,7398724,7.83706,16.11099,423,609,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
24,95,chr1,9298955,9300077,5.21326,7.72067,264,1122,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
