peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
8,11,chr1,3672360,3672559,2.79923,1.80594,157,199,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
11,19,chr1,4497011,4497220,3.35742,2.98398,136,209,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
11,20,chr1,4497011,4497220,3.35742,2.98398,136,209,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
16,32,chr1,4786549,4786855,2.70286,2.17247,84,306,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
18,35,chr1,4856816,4857040,4.19564,4.29951,117,224,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
21,40,chr1,4970030,4971031,5.28548,7.22175,427,1001,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
32,47,chr1,5588234,5589267,5.28961,7.19130,670,1033,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
33,51,chr1,5916350,5916960,5.13333,6.43223,391,610,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
34,51,chr1,5917022,5917219,3.10167,1.82127,104,197,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
35,51,chr1,5917319,5918066,3.34073,3.29602,355,747,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
38,54,chr1,6215903,6216728,7.94639,14.95250,404,825,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
39,55,chr1,6358792,6359675,4.71742,6.04209,565,883,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
40,57,chr1,6383304,6383518,3.25795,2.38098,98,214,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
51,67,chr1,7087831,7088380,4.42374,6.92394,401,549,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
58,68,chr1,7138103,7138875,3.23243,3.29602,622,772,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
66,95,chr1,9300469,9301009,5.28961,7.19130,410,540,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
67,101,chr1,9544791,9545132,6.07102,9.63215,139,341,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
68,102,chr1,9547198,9547411,5.91474,8.80942,91,213,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
69,102,chr1,9547457,9548989,6.91539,11.80667,632,1532,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
74,104,chr1,9600971,9601263,3.72680,2.98027,178,292,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
75,104,chr1,9601465,9601902,4.35192,4.98408,110,437,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
81,105,chr1,9629556,9630697,5.33624,8.66637,722,1141,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
83,107,chr1,9699408,9700036,5.13333,6.43223,147,628,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
84,107,chr1,9701088,9701364,5.44589,7.19130,130,276,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
87,108,chr1,9745421,9747615,13.72881,35.43866,1431,2194,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
88,109,chr1,9748676,9748861,4.19564,4.29951,107,185,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
93,114,chr1,9941511,9943213,6.20389,12.75599,1377,1702,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
94,114,chr1,9944537,9944805,2.08796,1.02808,18,268,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
94,115,chr1,9944537,9944805,2.08796,1.02808,18,268,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
95,116,chr1,9966988,9967537,4.66448,5.69350,376,549,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
95,117,chr1,9966988,9967537,4.66448,5.69350,376,549,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
96,116,chr1,9967596,9968493,3.66563,4.43486,535,897,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
96,117,chr1,9967596,9968493,3.66563,4.43486,535,897,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
97,119,chr1,10008709,10008978,3.99054,5.02162,113,269,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
98,121,chr1,10035605,10036072,2.02027,1.02808,259,467,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
99,121,chr1,10036301,10036555,5.01513,6.79360,152,254,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
100,121,chr1,10036839,10037120,6.54274,11.51229,139,281,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
101,122,chr1,10038797,10039763,10.01917,23.26866,295,966,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
102,122,chr1,10040457,10041391,5.85953,9.27890,375,934,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
107,126,chr1,10233588,10233977,4.66448,5.69350,240,389,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
109,131,chr1,10719719,10720137,3.01583,2.77796,97,418,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
110,136,chr1,10991135,10991362,4.19564,4.29951,91,227,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
111,136,chr1,10993192,10993498,3.88308,3.62309,135,306,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
119,140,chr1,11413509,11413761,2.54095,1.95916,93,252,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
120,140,chr1,11414570,11414958,4.17591,4.70261,218,388,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
120,141,chr1,11414570,11414958,4.17591,4.70261,218,388,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
132,151,chr1,12689435,12689996,6.61371,10.94629,137,561,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
133,151,chr1,12691728,12692718,4.22796,7.21866,613,990,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
153,152,chr1,12992857,12993178,3.21985,2.78527,209,321,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
156,156,chr1,13125999,13126892,5.44589,7.19130,600,893,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
157,156,chr1,13127953,13128746,4.97705,6.43223,564,793,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
167,160,chr1,13290253,13290556,4.61347,5.85326,155,303,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
168,161,chr1,13299030,13299446,2.77783,1.31213,99,416,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
