peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670489,3672702,4.83341,20.34521,1983,2213,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,11,chr1,3673464,3673978,2.78185,4.77186,102,514,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
7,19,chr1,4494155,4495400,3.98951,13.30020,1085,1245,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
8,19,chr1,4495654,4499100,4.95493,21.88008,2767,3446,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
8,20,chr1,4495654,4499100,4.95493,21.88008,2767,3446,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
9,20,chr1,4499736,4500033,3.73556,10.94091,153,297,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
23,47,chr1,5588227,5588755,2.30500,2.35461,139,528,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
25,51,chr1,5915730,5918092,5.96087,29.88240,488,2362,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
26,51,chr1,5918733,5919396,2.94080,5.69182,158,663,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
27,55,chr1,6357782,6358201,1.81881,1.05481,353,419,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
28,55,chr1,6358856,6360439,3.89451,12.10529,629,1583,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
29,58,chr1,6441616,6441881,2.68532,4.42347,159,265,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
30,95,chr1,9298095,9300973,5.44714,25.96311,1874,2878,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
31,95,chr1,9301421,9301683,2.62290,3.90515,109,262,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
34,113,chr1,9908459,9908818,3.49713,9.26740,197,359,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
35,116,chr1,9964714,9964935,2.36882,3.60903,37,221,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
36,116,chr1,9966313,9966606,3.57661,9.81848,167,293,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
37,116,chr1,9966795,9968601,4.55940,19.35138,1093,1806,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
37,117,chr1,9966795,9968601,4.55940,19.35138,1093,1806,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
38,117,chr1,9968729,9969782,4.25544,17.83504,389,1053,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
39,141,chr1,11414682,11415687,2.18182,2.56879,686,1005,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
48,156,chr1,13126318,13126869,2.86133,5.22538,175,551,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
49,156,chr1,13126944,13127822,5.00716,21.11841,156,878,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
50,156,chr1,13127950,13130023,4.60979,17.73532,1773,2073,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
60,180,chr1,14751783,14752117,2.86133,5.22538,120,334,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
61,180,chr1,14752974,14753260,3.33818,8.19360,107,286,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
62,180,chr1,14753335,14758313,3.32455,14.00558,1944,4978,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
62,181,chr1,14753335,14758313,3.32455,14.00558,1944,4978,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
63,185,chr1,14917892,14919048,2.79269,5.94626,177,1156,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
64,188,chr1,15286053,15286555,2.63598,4.53799,227,502,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
67,218,chr1,17098947,17099588,2.62290,3.90515,285,641,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
70,236,chr1,18057172,18059114,3.65608,10.37243,773,1942,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
70,237,chr1,18057172,18059114,3.65608,10.37243,773,1942,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
71,236,chr1,18059167,18059715,3.57380,10.73878,147,548,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
71,237,chr1,18059167,18059715,3.57380,10.73878,147,548,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
76,247,chr1,19099655,19104969,6.11982,31.42513,4537,5314,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
76,248,chr1,19099655,19104969,6.11982,31.42513,4537,5314,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
77,248,chr1,19105022,19109513,6.04646,39.06525,523,4491,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
79,250,chr1,19207371,19207977,2.75747,6.59183,367,606,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
102,251,chr1,19239930,19241166,4.03827,13.78592,640,1236,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
103,251,chr1,19241395,19241638,2.78185,4.77186,149,243,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
104,251,chr1,19241924,19243126,3.41766,8.72551,1102,1202,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
113,314,chr1,23758905,23762040,5.16611,22.51760,2199,3135,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
114,314,chr1,23762149,23764083,4.27445,16.80158,1369,1934,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
123,323,chr1,24585565,24587734,3.10947,9.36713,809,2169,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
124,323,chr1,24588193,24588721,2.77050,7.13455,384,528,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
126,359,chr1,25825429,25825923,2.94080,5.69182,324,494,ENSMUSG00000103004,,2900002M20Rik,chr1,25824390,25824719,-1
127,359,chr1,25826588,25826956,2.22552,2.01014,193,368,ENSMUSG00000103004,,2900002M20Rik,chr1,25824390,25824719,-1
128,359,chr1,25827011,25827896,3.05865,7.80621,704,885,ENSMUSG00000103004,,2900002M20Rik,chr1,25824390,25824719,-1
129,361,chr1,25828031,25828636,3.29906,8.24562,393,605,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
130,360,chr1,25828800,25831005,3.14562,7.22391,668,2205,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
130,361,chr1,25828800,25831005,3.14562,7.22391,668,2205,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
131,360,chr1,25831073,25831766,2.91547,5.77110,606,693,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
131,361,chr1,25831073,25831766,2.91547,5.77110,606,693,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
134,411,chr1,32171916,32173269,3.45249,9.30211,1049,1353,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
136,446,chr1,33905857,33907803,3.98950,14.35984,678,1946,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
136,447,chr1,33905857,33907803,3.98950,14.35984,678,1946,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
137,446,chr1,33908611,33909584,2.73767,4.92852,200,973,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
137,447,chr1,33908611,33909584,2.73767,4.92852,200,973,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
141,464,chr1,34457046,34459096,3.73556,10.94091,1356,2050,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
142,464,chr1,34459170,34459662,3.22828,7.96076,381,492,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
143,464,chr1,34459782,34460799,3.69948,11.51842,243,1017,ENSMUSG00000026126,19253.0,Ptpn18,chr1,34459762,34475733,1
147,465,chr1,34473147,34473745,2.78185,4.77186,435,598,ENSMUSG00000100280,,Gm28417,chr1,34468834,34473148,-1
148,469,chr1,34535541,34537847,5.48549,28.34303,1565,2306,ENSMUSG00000026124,12627.0,Cfc1,chr1,34535648,34544313,1
149,470,chr1,34537945,34539125,3.73556,10.94091,135,1180,ENSMUSG00000101803,,Gm28419,chr1,34538086,34538560,-1
152,472,chr1,34576944,34577323,3.25870,7.67152,198,379,ENSMUSG00000045174,211383.0,Amer3,chr1,34579657,34590944,1
