peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
4,32,chr1,4786610,4786989,3.03959,3.06328,148,379,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
9,47,chr1,5588135,5588350,2.58061,1.46583,86,215,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
10,47,chr1,5588905,5589210,3.45341,4.36244,189,305,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
12,54,chr1,6215693,6216697,3.85071,4.69952,852,1004,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,55,chr1,6359048,6359353,3.85071,4.69952,150,305,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
21,107,chr1,9699607,9700124,3.34922,3.24323,176,517,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
22,108,chr1,9745423,9745975,4.99456,8.17768,297,552,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
23,108,chr1,9746161,9747483,4.08071,7.95594,874,1322,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
24,114,chr1,9941407,9942053,3.51638,3.71306,164,646,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
25,114,chr1,9942664,9943069,3.56810,4.61666,240,405,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
26,119,chr1,10009251,10009494,4.35219,6.26630,140,243,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
26,120,chr1,10009251,10009494,4.35219,6.26630,140,243,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
27,121,chr1,10036321,10036541,2.53895,1.96024,128,220,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
28,121,chr1,10036762,10037162,4.28105,6.81581,171,400,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
29,122,chr1,10038892,10039290,4.01787,5.21005,266,398,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
30,122,chr1,10039376,10039563,3.85071,4.69952,124,187,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
41,156,chr1,13128215,13128531,3.01489,2.36962,164,316,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
