peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3671136,3671629,4.74618,9.74280,320,493,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4496676,4497308,4.03063,6.90454,477,632,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
2,20,chr1,4496676,4497308,4.03063,6.90454,477,632,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
3,20,chr1,4497376,4497739,4.48560,7.61169,102,363,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
6,32,chr1,4784926,4786336,22.24219,111.27968,638,1410,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807362,4809209,19.05716,105.38927,290,1847,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807362,4809209,19.05716,105.38927,290,1847,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4857292,4857645,9.76440,31.60722,135,353,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,35,chr1,4857724,4858908,19.48649,108.07790,396,1184,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
12,47,chr1,5588483,5588887,4.37495,6.64919,272,404,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
14,54,chr1,6213879,6215762,25.93274,137.12733,944,1883,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
15,55,chr1,6358835,6359667,5.59192,11.31772,513,832,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
16,57,chr1,6382651,6383307,6.80889,16.56897,386,656,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
17,58,chr1,6441153,6441739,10.45981,34.87941,251,586,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
18,67,chr1,7087814,7088811,17.75860,85.77269,757,997,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
19,67,chr1,7088981,7090036,10.21424,52.48455,255,1055,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
22,74,chr1,7397654,7397927,7.62546,28.40041,155,273,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
23,74,chr1,7398155,7398782,9.95610,44.37384,310,627,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
24,101,chr1,9544810,9545240,9.14092,44.22326,212,430,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
25,101,chr1,9545359,9546793,11.85064,42.80221,215,1434,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
25,102,chr1,9545359,9546793,11.85064,42.80221,215,1434,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
26,102,chr1,9547500,9547866,3.67953,4.58553,138,366,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
27,102,chr1,9547984,9549083,4.74618,9.74280,320,1099,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
30,105,chr1,9629882,9630862,2.59364,2.34859,905,980,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
32,107,chr1,9699352,9701384,13.06761,49.88309,1390,2032,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
33,108,chr1,9745444,9746027,3.16412,5.38879,152,583,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
34,108,chr1,9746432,9748429,11.84612,74.68292,1733,1997,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
34,109,chr1,9746432,9748429,11.84612,74.68292,1733,1997,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
35,109,chr1,9748638,9748932,6.13561,21.89274,144,294,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
36,110,chr1,9797681,9799034,16.82537,100.71737,563,1353,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
39,113,chr1,9908564,9908989,4.02724,5.24635,260,425,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
40,114,chr1,9942176,9944719,33.40843,194.30943,1740,2543,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
40,115,chr1,9942176,9944719,33.40843,194.30943,1740,2543,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
41,116,chr1,9966928,9968496,6.98275,17.49193,1260,1568,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
41,117,chr1,9966928,9968496,6.98275,17.49193,1260,1568,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
42,119,chr1,10008896,10009485,7.85201,21.30790,147,589,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
42,120,chr1,10008896,10009485,7.85201,21.30790,147,589,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
43,121,chr1,10037212,10039326,24.29272,127.15595,449,2114,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
43,122,chr1,10037212,10039326,24.29272,127.15595,449,2114,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
44,122,chr1,10039392,10039687,5.90814,17.76240,151,295,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
45,122,chr1,10039759,10040386,15.05009,74.32544,212,627,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
46,126,chr1,10231447,10233996,25.06348,129.71521,902,2549,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
47,136,chr1,10993385,10994759,14.79720,60.49213,275,1374,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
49,140,chr1,11413898,11414280,6.09681,14.40644,209,382,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
50,140,chr1,11414317,11414730,6.63225,16.66832,183,413,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
50,141,chr1,11414317,11414730,6.63225,16.66832,183,413,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
54,152,chr1,12991486,12992855,7.05751,18.72800,757,1369,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
55,165,chr1,13371902,13374859,24.71577,128.24020,1637,2957,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
55,166,chr1,13371902,13374859,24.71577,128.24020,1637,2957,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
60,168,chr1,13588906,13589946,25.58504,134.15518,635,1040,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
61,168,chr1,13589997,13590490,6.13561,21.89274,222,493,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
63,170,chr1,13659512,13660953,11.61545,49.35173,841,1441,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
70,179,chr1,14309389,14310350,11.18936,46.70598,355,961,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
73,181,chr1,14755100,14756103,6.89754,17.29385,496,1003,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
74,185,chr1,14918612,14918918,4.47094,7.21700,159,306,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
75,188,chr1,15286123,15287901,9.61191,36.25872,996,1778,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
76,195,chr1,15805581,15806858,19.07453,126.80405,203,1277,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
78,198,chr1,15892334,15893171,11.31939,42.90377,442,837,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
79,200,chr1,16092640,16093614,11.50293,40.50056,427,974,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
80,201,chr1,16102995,16107220,28.75923,165.14636,1060,4225,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
80,202,chr1,16102995,16107220,28.75923,165.14636,1060,4225,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
83,206,chr1,16519713,16520275,20.02174,93.98067,168,562,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
84,207,chr1,16616431,16616849,4.32156,6.53893,114,418,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
85,207,chr1,16617822,16619844,23.49357,141.42517,970,2022,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
85,208,chr1,16617822,16619844,23.49357,141.42517,970,2022,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
86,210,chr1,16655357,16655959,4.70739,8.10146,476,602,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
87,209,chr1,16656156,16657926,15.47605,89.38944,449,1770,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
87,210,chr1,16656156,16657926,15.47605,89.38944,449,1770,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
88,211,chr1,16664901,16666629,16.94804,101.99300,507,1728,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
88,212,chr1,16664901,16666629,16.94804,101.99300,507,1728,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
89,213,chr1,16687770,16689107,10.75090,57.82072,825,1337,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
90,218,chr1,17096613,17097866,9.92712,36.21364,939,1253,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
91,229,chr1,17727046,17728066,6.10435,18.34017,340,1020,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
91,230,chr1,17727046,17728066,6.10435,18.34017,340,1020,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
92,236,chr1,18058062,18058931,6.11348,13.87920,484,869,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
92,237,chr1,18058062,18058931,6.11348,13.87920,484,869,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
93,250,chr1,19209172,19211180,7.25746,25.61933,821,2008,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
98,251,chr1,19240901,19241711,5.35195,10.35060,659,810,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
101,260,chr1,20616933,20617970,5.74795,14.46720,882,1037,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
102,267,chr1,20818204,20819018,4.82158,9.15066,169,814,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
103,266,chr1,20819212,20820309,11.05347,40.09613,771,1097,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
103,267,chr1,20819212,20820309,11.05347,40.09613,771,1097,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
104,270,chr1,20890092,20891844,6.56494,24.44818,887,1752,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
104,271,chr1,20890092,20891844,6.56494,24.44818,887,1752,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
105,274,chr1,20951009,20951475,4.45996,8.29258,288,466,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
