peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670693,3672135,12.11513,33.27756,791,1442,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4497007,4497231,4.22924,4.37597,58,224,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4497007,4497231,4.22924,4.37597,58,224,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
4,20,chr1,4497328,4497577,3.69304,3.47444,77,249,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
6,32,chr1,4784216,4786389,63.13472,401.54358,1351,2173,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,32,chr1,4786519,4786714,3.55643,3.64977,102,195,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
8,33,chr1,4807283,4809241,71.75218,390.53500,741,1958,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
8,34,chr1,4807283,4809241,71.75218,390.53500,741,1958,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
9,35,chr1,4856786,4857124,6.36501,11.24654,153,338,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,35,chr1,4857178,4859918,54.75652,334.31479,1094,2740,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
14,54,chr1,6213700,6216658,77.83089,432.37128,1421,2958,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
15,55,chr1,6358897,6359604,7.02216,13.18033,373,707,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
16,57,chr1,6382701,6383335,12.60800,35.75004,308,634,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
17,58,chr1,6441303,6441576,4.72211,5.94682,152,273,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
18,67,chr1,7087839,7090086,60.90908,316.37677,734,2247,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
21,74,chr1,7396834,7398855,40.94263,260.02133,951,2021,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
23,101,chr1,9544665,9548737,53.84464,270.87555,847,4072,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
23,102,chr1,9544665,9548737,53.84464,270.87555,847,4072,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
24,107,chr1,9699344,9701435,57.13042,291.58664,812,2091,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
27,108,chr1,9744860,9745177,10.63653,27.28271,154,317,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
28,108,chr1,9745384,9748529,47.60410,376.70929,2706,3145,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
28,109,chr1,9745384,9748529,47.60410,376.70929,2706,3145,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
29,109,chr1,9748566,9748963,11.20977,54.56966,202,397,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
33,110,chr1,9797296,9800294,68.08350,400.79266,1074,2998,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
37,113,chr1,9908536,9908887,4.20208,4.81529,212,351,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
38,114,chr1,9942200,9944716,61.14436,323.73846,1711,2516,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
