peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,11,chr1,3602388,3602712,2.82868,1.99737,239,324,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,11,chr1,3632042,3632288,4.71447,7.63675,128,246,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,10,chr1,3655727,3656090,3.39442,3.41466,155,363,ENSMUSG00000102331,,Gm19938,chr1,3647309,3658904,-1
4,11,chr1,3655727,3656090,3.39442,3.41466,155,363,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,12,chr1,3679282,3679961,2.10051,1.11523,495,679,ENSMUSG00000102348,,Gm10568,chr1,3680155,3681788,1
6,13,chr1,3754370,3754712,3.39442,3.41466,183,342,ENSMUSG00000102592,,Gm38385,chr1,3752010,3754360,1
7,14,chr1,3783197,3783513,2.82868,1.99737,145,316,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
8,14,chr1,3784291,3784821,5.28021,9.80855,151,530,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
9,14,chr1,3784872,3785214,3.70733,5.05493,210,342,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
10,15,chr1,3977184,3977590,5.46879,10.57419,197,406,ENSMUSG00000102343,,Gm37381,chr1,3905739,3986215,-1
11,15,chr1,3988591,3988963,3.39442,3.41466,215,372,ENSMUSG00000102343,,Gm37381,chr1,3905739,3986215,-1
15,16,chr1,4255712,4256179,4.71447,7.63675,149,467,ENSMUSG00000102948,,Gm6101,chr1,4256234,4260519,-1
16,18,chr1,4399063,4399368,4.14874,5.66315,153,305,ENSMUSG00000025900,19888.0,Rp1,chr1,3999557,4409241,-1
17,18,chr1,4399608,4399915,4.18787,6.29796,123,307,ENSMUSG00000025900,19888.0,Rp1,chr1,3999557,4409241,-1
21,34,chr1,4883148,4883912,3.83888,5.05493,628,764,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
21,35,chr1,4883148,4883912,3.83888,5.05493,628,764,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
21,36,chr1,4883148,4883912,3.83888,5.05493,628,764,ENSMUSG00000062588,,Gm6104,chr1,4880049,4880651,-1
30,45,chr1,5306831,5307612,3.14090,2.96274,73,781,ENSMUSG00000104046,,Gm37567,chr1,5307739,5310017,1
48,58,chr1,6429971,6430307,3.58300,3.93401,193,336,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
54,67,chr1,7094086,7094567,4.14874,5.66315,181,481,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
119,126,chr1,10178569,10179110,2.96433,3.53796,210,541,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
120,125,chr1,10197070,10197316,4.35209,7.43312,117,246,ENSMUSG00000102556,,Gm37569,chr1,10197081,10198802,-1
120,126,chr1,10197070,10197316,4.35209,7.43312,117,246,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
121,126,chr1,10214872,10215247,3.58300,3.93401,235,375,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
125,131,chr1,10642952,10643733,3.39442,3.41466,368,781,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
126,131,chr1,10643856,10644221,3.58300,3.93401,183,365,ENSMUSG00000042501,329093.0,Cpa6,chr1,10324720,10719945,-1
128,136,chr1,11048161,11048597,3.96016,5.05493,110,436,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
129,136,chr1,11222521,11223006,2.79191,2.07637,74,485,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
130,140,chr1,11455595,11456419,2.96641,2.50534,127,824,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
131,140,chr1,11480489,11480877,3.77158,4.47799,162,388,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
132,140,chr1,11659740,11660502,4.14874,5.66315,641,762,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
133,140,chr1,11914782,11915094,3.96016,5.05493,165,312,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
134,140,chr1,11915150,11916374,4.35209,7.43312,976,1224,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
135,140,chr1,11950872,11951155,3.77158,4.47799,180,283,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
136,140,chr1,11951353,11951624,4.14874,5.66315,128,271,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
149,151,chr1,12731064,12731269,3.39442,3.41466,52,205,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
150,151,chr1,12797502,12797781,3.39442,3.41466,118,279,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
151,152,chr1,12892397,12892968,3.77158,4.47799,166,571,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
152,152,chr1,12906684,12907076,4.14874,5.66315,285,392,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
155,166,chr1,13377162,13377448,3.77158,4.47799,115,286,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
166,171,chr1,13687025,13687497,4.14874,5.66315,220,472,ENSMUSG00000067813,381246.0,Xkr9,chr1,13668771,13701723,1
185,188,chr1,15352824,15353271,3.20584,2.91388,179,447,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
186,188,chr1,15432411,15432901,3.38496,3.93401,352,490,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
187,198,chr1,15861475,15862452,4.33732,6.29796,680,977,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
193,200,chr1,16090689,16091130,3.20584,2.91388,228,441,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
195,206,chr1,16286716,16287021,3.01726,2.44038,162,305,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
196,206,chr1,16347907,16348958,3.77158,4.47799,557,1051,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
197,206,chr1,16415115,16415477,2.84559,2.57213,252,362,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
198,208,chr1,16579327,16579660,3.77158,4.47799,145,333,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
206,231,chr1,17794472,17794793,3.58300,3.93401,259,321,ENSMUSG00000099895,,Gm28153,chr1,17741915,17805417,-1
214,239,chr1,18215633,18216530,4.71447,7.63675,345,897,ENSMUSG00000070977,,Defb44-ps,chr1,18210053,18223564,-1
221,248,chr1,19063987,19064308,3.20584,2.91388,181,321,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
