peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,19,chr1,4494248,4495392,3.93308,8.25358,242,1144,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
4,19,chr1,4496034,4496566,1.72990,0.60424,156,532,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4497173,4499440,3.60798,10.67544,1147,2267,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
6,20,chr1,4499704,4500064,5.35578,16.47750,192,360,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
18,51,chr1,5916678,5917228,2.87332,3.59660,399,550,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
19,51,chr1,5917626,5918048,2.95497,3.59660,345,422,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
20,51,chr1,5918538,5919601,3.75524,7.69792,348,1063,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
21,55,chr1,6358716,6358968,3.84416,8.25358,116,252,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
22,55,chr1,6359052,6360404,4.02200,8.84027,430,1352,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
30,105,chr1,9633645,9634087,2.51037,1.91797,146,442,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
31,110,chr1,9796126,9796709,3.02200,4.70187,93,583,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
32,110,chr1,9796927,9797187,2.92417,5.25378,150,260,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
35,116,chr1,9964538,9964958,3.75250,8.28593,139,420,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
36,116,chr1,9966327,9966648,3.75524,7.69792,121,321,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
37,116,chr1,9966822,9967618,4.28875,10.62561,286,796,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
37,117,chr1,9966822,9967618,4.28875,10.62561,286,796,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
38,116,chr1,9967706,9968049,3.15507,5.33381,219,343,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
38,117,chr1,9967706,9968049,3.15507,5.33381,219,343,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
39,117,chr1,9968110,9968566,3.81352,8.49706,143,456,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
40,117,chr1,9968709,9969900,4.72650,14.31334,385,1191,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
41,117,chr1,9970084,9970618,3.75524,7.69792,381,534,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
44,141,chr1,11416304,11416680,2.66842,2.87925,135,376,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
48,150,chr1,12672955,12673476,2.42145,1.91797,378,521,ENSMUSG00000101314,,Gm29663,chr1,12670324,12671176,-1
49,150,chr1,12673566,12674184,2.01467,1.53413,425,618,ENSMUSG00000101314,,Gm29663,chr1,12670324,12671176,-1
53,151,chr1,12689545,12689950,2.85608,3.59122,299,405,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
54,151,chr1,12690519,12691196,2.68036,4.54849,478,677,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
55,151,chr1,12691785,12691991,2.59970,3.02446,147,206,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
56,151,chr1,12692308,12692591,2.24778,1.70057,131,283,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
68,156,chr1,13127038,13127727,2.58900,3.86404,70,689,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
69,156,chr1,13127905,13128531,3.46088,6.53259,136,626,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
70,156,chr1,13128584,13130037,4.72824,13.60336,1118,1453,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
75,173,chr1,13788159,13788704,2.68821,2.73389,487,545,ENSMUSG00000097711,,Gm5523,chr1,13785883,13786879,-1
79,179,chr1,14311200,14311579,1.88757,0.69684,91,379,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
85,180,chr1,14752992,14754283,3.31618,7.12735,1132,1291,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
86,181,chr1,14756576,14758314,2.62238,4.14152,689,1738,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
88,185,chr1,14918836,14919364,2.68821,2.73389,57,528,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
89,185,chr1,14919832,14920339,2.26218,2.16025,164,507,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
90,198,chr1,15893386,15893643,3.13280,4.54849,143,257,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
93,218,chr1,17098470,17098961,2.37267,1.77747,159,491,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
94,218,chr1,17099410,17099764,2.59929,2.31432,157,354,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
107,247,chr1,19099635,19105260,6.86741,26.75485,167,5625,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
