peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670327,3672706,39.81715,425.18152,999,2379,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4494396,4494690,3.23655,5.59722,179,294,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,19,chr1,4495698,4497781,10.28401,64.86799,1737,2083,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4495698,4497781,10.28401,64.86799,1737,2083,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,26,chr1,4689064,4689492,7.59344,32.95825,198,428,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
6,32,chr1,4784360,4786405,35.28665,638.71246,1201,2045,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807262,4809229,60.00328,793.73047,731,1967,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807262,4809229,60.00328,793.73047,731,1967,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856845,4859151,47.73890,625.52496,1459,2306,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,47,chr1,5588136,5589202,11.20343,62.79048,397,1066,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
12,51,chr1,5916338,5918055,17.55205,124.58502,674,1717,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
14,54,chr1,6213153,6216640,70.33267,831.45361,1960,3487,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
16,55,chr1,6358754,6359698,22.78032,181.72491,461,944,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
17,57,chr1,6382563,6383498,28.56117,331.96695,448,935,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
18,58,chr1,6440999,6441841,25.64342,214.85895,477,842,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
19,67,chr1,7087895,7090705,42.98040,580.08508,685,2810,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
21,74,chr1,7396809,7398865,67.59406,790.08105,985,2056,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
22,95,chr1,9298244,9300250,8.67191,44.84447,1047,2006,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
23,101,chr1,9544611,9549047,42.22039,637.25903,962,4436,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
23,102,chr1,9544611,9549047,42.22039,637.25903,962,4436,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
24,105,chr1,9629905,9631122,4.43517,11.91774,956,1217,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
25,107,chr1,9699270,9701464,50.89578,621.04681,887,2194,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
27,108,chr1,9744857,9745173,9.08723,44.70900,160,316,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
28,108,chr1,9745366,9748951,69.84612,853.32050,2855,3585,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
28,109,chr1,9745366,9748951,69.84612,853.32050,2855,3585,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
31,110,chr1,9797339,9799559,68.83888,808.84979,1016,2220,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
33,113,chr1,9908329,9909044,14.27496,96.18501,359,715,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
34,114,chr1,9942203,9944762,75.82302,916.39685,1709,2559,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
34,115,chr1,9942203,9944762,75.82302,916.39685,1709,2559,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
35,116,chr1,9966868,9968660,31.98112,388.25842,1268,1792,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
35,117,chr1,9966868,9968660,31.98112,388.25842,1268,1792,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
36,119,chr1,10008681,10009560,15.50521,120.36340,332,879,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
36,120,chr1,10008681,10009560,15.50521,120.36340,332,879,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
37,121,chr1,10036814,10040892,60.78555,858.93781,3133,4078,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
37,122,chr1,10036814,10040892,60.78555,858.93781,3133,4078,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
38,126,chr1,10231270,10234049,72.83982,870.77832,1090,2779,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
39,136,chr1,10993057,10995342,46.60009,511.06906,636,2285,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
41,140,chr1,11413492,11414917,26.20915,251.90001,555,1425,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
41,141,chr1,11413492,11414917,26.20915,251.90001,555,1425,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
42,151,chr1,12691723,12694172,16.20085,164.89395,1369,2449,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
47,152,chr1,12990255,12993268,38.58961,377.11526,2373,3013,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
50,156,chr1,13128190,13128679,2.86536,5.36549,175,489,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
54,165,chr1,13371353,13375027,72.07543,857.91602,2156,3674,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
54,166,chr1,13371353,13375027,72.07543,857.91602,2156,3674,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
57,168,chr1,13587588,13590589,69.33681,816.37634,2018,3001,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
58,170,chr1,13659406,13661164,52.37375,615.87488,920,1758,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
60,179,chr1,14309318,14310696,44.49784,531.56329,669,1378,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
64,181,chr1,14754860,14756947,33.23685,307.84052,811,2087,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
65,185,chr1,14918151,14919124,8.60221,47.31963,648,973,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
66,188,chr1,15286166,15287915,42.32409,426.99652,769,1749,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
67,195,chr1,15805020,15806907,57.63747,808.00238,859,1887,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
69,198,chr1,15892188,15893217,38.21616,372.19394,587,1029,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
70,200,chr1,16092773,16093628,20.33481,204.94940,478,855,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
71,201,chr1,16102880,16107329,39.56172,648.73029,2648,4449,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
71,202,chr1,16102880,16107329,39.56172,648.73029,2648,4449,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
72,206,chr1,16518280,16520335,52.67525,664.83472,1630,2055,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
73,207,chr1,16617196,16619923,46.11957,756.96082,1721,2727,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
73,208,chr1,16617196,16619923,46.11957,756.96082,1721,2727,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
