peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3671094,3671291,2.96510,2.28643,175,197,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
9,54,chr1,6215621,6215836,3.40463,3.81893,51,215,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
10,54,chr1,6215881,6216665,2.97905,2.96436,157,784,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,102,chr1,9548305,9548673,2.94169,2.70073,208,368,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
14,107,chr1,9699601,9700082,3.80324,4.52303,320,481,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
16,108,chr1,9745440,9745962,3.18291,3.81503,347,522,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
17,108,chr1,9746066,9747239,4.80316,8.00289,694,1173,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
19,114,chr1,9942669,9943427,3.66355,4.02492,505,758,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
20,121,chr1,10036892,10037191,3.67878,4.54818,60,299,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
21,122,chr1,10038856,10039561,3.74321,4.69673,222,705,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
24,126,chr1,10233627,10234051,2.64805,2.33744,253,424,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
26,136,chr1,10992861,10993147,3.29253,2.95899,102,286,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
40,160,chr1,13291298,13291792,3.66355,4.02492,384,494,ENSMUSG00000102639,,Gm38223,chr1,13289812,13290506,-1
42,161,chr1,13301219,13302355,3.66725,4.31941,599,1136,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
53,168,chr1,13590186,13590650,3.17165,3.38894,135,464,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
63,181,chr1,14755638,14756253,2.82541,1.87859,535,615,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
64,182,chr1,14787515,14787720,2.36747,1.25162,146,205,ENSMUSG00000103492,,Gm37412,chr1,14788645,14792965,1
68,204,chr1,16227877,16228329,3.80324,4.52303,311,452,ENSMUSG00000100868,,Gm28095,chr1,16228506,16244062,1
70,207,chr1,16616085,16616311,3.07088,2.62126,71,226,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
71,207,chr1,16616423,16616824,4.57595,6.96833,171,401,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
