peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670096,3672695,43.14473,448.21948,1328,2599,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4496237,4497734,6.35738,29.25718,1189,1497,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496237,4497734,6.35738,29.25718,1189,1497,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,26,chr1,4688993,4689444,4.50610,15.98903,246,451,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
6,32,chr1,4784232,4786962,53.83977,601.04382,1364,2730,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807192,4809279,56.39199,638.63635,869,2087,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807192,4809279,56.39199,638.63635,869,2087,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856887,4859282,58.21501,665.71356,1306,2395,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
13,47,chr1,5588116,5589418,26.35083,233.56494,459,1302,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
14,51,chr1,5916102,5918092,30.74264,289.38010,1035,1990,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
15,54,chr1,6213290,6216527,58.09347,663.90265,1822,3237,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
17,55,chr1,6358652,6359740,33.42198,317.36035,644,1088,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
18,57,chr1,6382581,6383523,32.57124,306.34973,464,942,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
19,58,chr1,6440982,6441815,26.00838,224.23907,433,833,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
23,67,chr1,7087814,7091010,29.85294,347.79141,723,3196,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
25,74,chr1,7396900,7398876,40.47097,411.37708,863,1976,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
28,95,chr1,9298173,9300791,42.17246,434.75253,1705,2618,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
29,101,chr1,9544520,9549199,43.79531,546.48553,1064,4679,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
