peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3668294,3672758,28.89477,212.74194,3777,4464,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4496842,4497755,6.52267,21.88586,602,913,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496842,4497755,6.52267,21.88586,602,913,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,26,chr1,4689061,4689450,6.04504,20.81585,239,389,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
6,32,chr1,4784540,4786935,24.46539,175.03018,569,2395,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807285,4809152,17.25326,116.66212,1275,1867,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807285,4809152,17.25326,116.66212,1275,1867,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4856890,4857682,15.27081,85.16763,296,792,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
9,35,chr1,4857969,4859186,30.56364,251.83199,581,1217,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
15,47,chr1,5588067,5589352,23.84830,213.89902,605,1285,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
16,51,chr1,5916178,5918078,37.72789,306.06451,794,1900,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
18,54,chr1,6214586,6216799,20.55498,160.86182,802,2213,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
20,55,chr1,6358721,6359732,34.49765,279.54770,590,1011,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
21,57,chr1,6382584,6383715,28.74506,211.21977,553,1131,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
22,58,chr1,6441004,6441963,25.27054,215.79234,416,959,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
28,67,chr1,7087860,7088834,17.51652,104.38761,405,974,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
