peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,32,chr1,4784257,4786372,23.31612,192.40094,1291,2115,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
4,32,chr1,4786499,4786887,3.15672,5.05088,156,388,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
5,33,chr1,4807265,4808804,25.59503,198.04315,366,1539,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
5,34,chr1,4807265,4808804,25.59503,198.04315,366,1539,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
6,35,chr1,4856862,4859354,25.98352,203.38338,1256,2492,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
12,54,chr1,6213167,6216749,40.00907,365.77203,1931,3582,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,57,chr1,6382890,6383161,2.96363,3.95472,141,271,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
14,67,chr1,7087824,7088765,18.70786,143.59183,730,941,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
15,67,chr1,7089018,7090628,14.60503,121.83979,203,1610,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
17,74,chr1,7397674,7397906,5.65785,17.69093,122,232,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
18,74,chr1,7398140,7398753,8.75619,38.71556,164,613,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
19,101,chr1,9544564,9545224,12.58957,79.00912,417,660,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
20,101,chr1,9545414,9548840,15.86212,103.94369,175,3426,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
20,102,chr1,9545414,9548840,15.86212,103.94369,175,3426,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
21,107,chr1,9699456,9701453,16.16528,101.86683,717,1997,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
24,108,chr1,9745374,9748428,41.22146,380.72067,2816,3054,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
24,109,chr1,9745374,9748428,41.22146,380.72067,2816,3054,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
25,109,chr1,9748647,9749003,7.64787,34.83247,158,356,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
36,110,chr1,9796253,9796751,2.95603,3.94107,108,498,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
37,110,chr1,9797296,9800340,50.89556,506.40054,1046,3044,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
39,111,chr1,9802948,9804294,3.26184,5.75787,883,1346,ENSMUSG00000046334,,Gm6195,chr1,9802197,9802553,-1
43,114,chr1,9941213,9944747,30.47381,287.09418,2705,3534,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
