peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,7,chr1,3514657,3514818,4.04698,9.46590,70,161,ENSMUSG00000103201,,Gm37329,chr1,3512451,3514507,-1
3,7,chr1,3515374,3515606,3.42841,2.64339,55,232,ENSMUSG00000103201,,Gm37329,chr1,3512451,3514507,-1
6,11,chr1,3670544,3671032,4.35305,6.51180,261,488,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
9,20,chr1,4497351,4497482,3.85216,4.57079,65,131,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
24,30,chr1,4769803,4769963,7.06744,9.73660,68,160,ENSMUSG00000103922,,Gm6123,chr1,4771131,4772199,1
25,30,chr1,4770133,4770304,6.92517,12.70482,94,171,ENSMUSG00000103922,,Gm6123,chr1,4771131,4772199,1
26,32,chr1,4786816,4787006,4.27708,3.44228,98,190,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
41,35,chr1,4856861,4856991,7.60714,10.55537,67,130,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
54,54,chr1,6215509,6215736,3.74159,2.72259,142,227,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
55,54,chr1,6215932,6216129,5.79121,6.51639,53,197,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
56,54,chr1,6216201,6216425,9.43946,14.99552,94,224,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
62,55,chr1,6359437,6359643,7.20217,13.61788,103,206,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
68,67,chr1,7087923,7088083,5.49431,7.00241,68,160,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
88,68,chr1,7138580,7138732,6.39206,7.38711,74,152,ENSMUSG00000098201,,Gm26983,chr1,7136199,7136586,-1
98,101,chr1,9544868,9545071,4.58830,9.30121,101,203,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
114,105,chr1,9630479,9630686,7.57664,19.67784,103,207,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
115,105,chr1,9630756,9631379,4.67997,11.61961,395,623,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
117,107,chr1,9699793,9699980,5.11355,7.64886,97,187,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
123,108,chr1,9745442,9745720,8.24146,14.50146,196,278,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
124,108,chr1,9745779,9745967,7.20712,10.72401,103,188,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
125,108,chr1,9746504,9747394,6.80189,9.70907,239,890,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
141,113,chr1,9906895,9907219,7.67410,11.85215,115,324,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
143,114,chr1,9942714,9943336,8.01415,17.33938,263,622,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
144,114,chr1,9943383,9943514,4.98643,6.50857,45,131,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
145,114,chr1,9944450,9944573,5.72730,11.18586,58,123,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
145,115,chr1,9944450,9944573,5.72730,11.18586,58,123,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
147,117,chr1,9968995,9969130,3.36077,2.89749,62,135,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
148,118,chr1,9981892,9982023,4.49807,8.21367,39,131,ENSMUSG00000087199,,Gm15818,chr1,9982387,9992366,1
154,119,chr1,10008941,10009138,5.83770,7.86320,99,197,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
155,122,chr1,10038872,10039259,6.21864,13.33289,257,387,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
156,122,chr1,10039460,10039610,8.22622,18.69101,80,150,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
169,126,chr1,10231759,10232175,6.05642,8.20835,169,416,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
170,126,chr1,10233763,10234167,5.49431,7.00241,93,404,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
174,136,chr1,10991689,10991986,4.42527,3.63557,73,297,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
197,158,chr1,13236303,13236678,11.21910,21.26729,156,375,ENSMUSG00000103495,,Gm37409,chr1,13234809,13236434,-1
208,161,chr1,13299131,13299323,4.12073,3.84530,114,192,ENSMUSG00000104170,,Gm37702,chr1,13297036,13298907,-1
