peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670346,3671583,4.91994,15.87804,767,1237,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
1,11,chr1,3671675,3672794,7.49172,34.90094,607,1119,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,11,chr1,3672890,3674151,4.91994,15.87804,692,1261,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
3,19,chr1,4487554,4501200,10.44504,61.84001,3040,13646,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4487554,4501200,10.44504,61.84001,3040,13646,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
8,47,chr1,5588614,5589447,3.91359,9.75042,505,833,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
9,51,chr1,5915595,5919330,10.09617,63.43010,546,3735,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
10,55,chr1,6357866,6360577,5.03307,21.12847,1083,2711,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
12,58,chr1,6441635,6442428,4.02540,10.38483,177,793,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
13,95,chr1,9297981,9300993,7.74063,56.31888,1271,3012,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
15,110,chr1,9795602,9795876,3.24269,6.22735,140,274,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
16,110,chr1,9796230,9797576,4.39791,12.79266,136,1346,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
19,113,chr1,9908928,9909327,2.16943,2.36456,62,399,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
22,116,chr1,9964554,9965014,4.17802,11.45706,172,460,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
23,116,chr1,9965156,9969906,7.15219,46.31627,2665,4750,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
23,117,chr1,9965156,9969906,7.15219,46.31627,2665,4750,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
24,117,chr1,9970063,9970534,1.97826,1.86796,61,471,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
25,140,chr1,11412027,11412676,3.46632,7.34459,348,649,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
26,140,chr1,11412963,11414067,3.68995,8.52009,579,1104,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
27,141,chr1,11414645,11416607,5.78385,23.48970,787,1962,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
32,152,chr1,12989456,12993927,4.70271,19.64478,1307,4471,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
33,152,chr1,12994208,12995174,2.70667,4.54495,515,966,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
45,156,chr1,13120989,13131782,10.11520,58.71902,3472,10793,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
49,165,chr1,13375586,13376197,2.42308,2.98433,446,611,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
49,166,chr1,13375586,13376197,2.42308,2.98433,446,611,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
54,172,chr1,13775054,13775554,2.57179,3.26034,249,500,ENSMUSG00000077368,,Gm26273,chr1,13774334,13774464,-1
57,173,chr1,13786533,13787493,3.34783,9.75042,636,960,ENSMUSG00000097711,,Gm5523,chr1,13785883,13786879,-1
58,173,chr1,13787590,13789206,4.58449,13.73436,334,1616,ENSMUSG00000097711,,Gm5523,chr1,13785883,13786879,-1
76,174,chr1,13848527,13848922,2.87666,5.93714,147,395,ENSMUSG00000102166,,Gm36947,chr1,13846871,13849119,-1
106,177,chr1,14180261,14181256,2.60331,4.34151,298,995,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
107,177,chr1,14181581,14182290,3.08001,6.48463,269,709,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
108,177,chr1,14182809,14183103,2.38028,2.85657,227,294,ENSMUSG00000095853,,Gm22616,chr1,14182578,14182677,1
131,179,chr1,14310986,14312160,3.91359,9.75042,694,1174,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
132,179,chr1,14312238,14312853,2.52404,3.40230,486,615,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
213,180,chr1,14750506,14751170,2.57179,3.26034,153,664,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
214,180,chr1,14751256,14752225,2.59460,4.60359,573,969,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
215,180,chr1,14752849,14758708,9.34742,56.15900,1200,5859,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
215,181,chr1,14752849,14758708,9.34742,56.15900,1200,5859,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
224,185,chr1,14917290,14920335,5.14357,17.35779,2191,3045,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
225,188,chr1,15284619,15285155,3.57814,7.92541,92,536,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
226,188,chr1,15285311,15285785,3.80177,9.12884,119,474,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
227,188,chr1,15285839,15286835,3.53366,8.48332,287,996,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
228,188,chr1,15287315,15288361,3.57814,7.92541,527,1046,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
230,198,chr1,15890823,15893097,4.99208,16.47831,1370,2274,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
231,198,chr1,15893235,15894010,4.57334,16.21026,262,775,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
232,198,chr1,15894284,15894722,2.82693,4.76218,128,438,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
