peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670442,3672602,45.20650,303.57501,977,2160,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,19,chr1,4494103,4494942,4.20482,7.71008,426,839,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,19,chr1,4495647,4498022,11.11085,52.69283,1567,2375,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
6,20,chr1,4495647,4498022,11.11085,52.69283,1567,2375,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
8,26,chr1,4689022,4689609,10.66505,39.96906,308,587,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
9,30,chr1,4770085,4770474,5.47958,12.07199,134,389,ENSMUSG00000103922,,Gm6123,chr1,4771131,4772199,1
10,32,chr1,4784342,4786477,37.18283,234.01306,1779,2135,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
11,33,chr1,4807224,4809291,15.95644,112.58167,339,2067,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
11,34,chr1,4807224,4809291,15.95644,112.58167,339,2067,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
12,35,chr1,4856854,4857708,15.73844,93.68909,557,854,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
13,35,chr1,4857749,4859080,17.73387,121.71548,686,1331,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
17,47,chr1,5588134,5589203,7.99340,29.13826,354,1069,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
18,51,chr1,5916335,5917828,11.78872,70.84007,638,1493,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
19,54,chr1,6212565,6216737,19.40379,161.48680,2882,4172,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
21,55,chr1,6358771,6359717,20.55464,137.65965,536,946,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
22,57,chr1,6382419,6383485,35.17779,236.28552,729,1066,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
23,58,chr1,6441053,6441779,29.74627,172.84659,336,726,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
25,67,chr1,7087804,7088787,26.33120,179.17162,697,983,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
26,67,chr1,7088961,7091354,30.72476,180.68446,928,2393,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
29,74,chr1,7397044,7397939,8.10845,44.15817,711,895,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
30,74,chr1,7398036,7398903,34.99922,234.66486,444,867,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
32,95,chr1,9298651,9300224,9.39356,31.29281,737,1573,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
33,101,chr1,9544696,9549728,32.76259,218.35736,340,5032,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
33,102,chr1,9544696,9549728,32.76259,218.35736,340,5032,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
34,105,chr1,9629347,9631096,8.20544,27.64984,956,1749,ENSMUSG00000079671,,2610203C22Rik,chr1,9560832,9631175,-1
35,107,chr1,9699181,9701513,37.85733,323.52444,878,2332,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
37,108,chr1,9743381,9748494,26.12896,246.81877,4155,5113,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
37,109,chr1,9743381,9748494,26.12896,246.81877,4155,5113,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
38,109,chr1,9748595,9748997,9.96721,50.13242,189,402,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
41,110,chr1,9797326,9799597,24.36033,184.27699,557,2271,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
44,113,chr1,9908365,9909065,10.97133,49.05236,337,700,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
45,114,chr1,9942430,9944720,34.83445,214.31683,1382,2290,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
45,115,chr1,9942430,9944720,34.83445,214.31683,1382,2290,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
46,116,chr1,9966942,9968682,29.64220,187.09711,1298,1740,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
46,117,chr1,9966942,9968682,29.64220,187.09711,1298,1740,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
47,119,chr1,10008633,10009633,23.22528,138.76048,437,1000,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
47,120,chr1,10008633,10009633,23.22528,138.76048,437,1000,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
48,121,chr1,10036777,10040757,42.95168,328.34222,767,3980,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
48,122,chr1,10036777,10040757,42.95168,328.34222,767,3980,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
51,126,chr1,10231171,10234070,29.21593,288.31409,1088,2899,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
53,136,chr1,10992885,10995484,40.18727,324.39987,815,2599,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
56,140,chr1,11413606,11414852,26.20781,207.50436,433,1246,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
56,141,chr1,11413606,11414852,26.20781,207.50436,433,1246,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
57,151,chr1,12691733,12694353,19.76561,97.36435,1340,2620,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
64,152,chr1,12990388,12993054,27.14977,242.03372,2232,2666,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
74,165,chr1,13371330,13375192,29.91721,234.84518,3264,3862,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
74,166,chr1,13371330,13375192,29.91721,234.84518,3264,3862,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
