peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,11,chr1,3669023,3672802,31.54946,278.35382,3082,3779,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,19,chr1,4496853,4497817,7.91126,35.67916,538,964,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4496853,4497817,7.91126,35.67916,538,964,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
7,26,chr1,4689086,4689502,6.46997,22.22820,186,416,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
8,32,chr1,4784338,4786838,33.19374,273.49661,797,2500,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
9,33,chr1,4807286,4809271,20.89068,161.54184,899,1985,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
9,34,chr1,4807286,4809271,20.89068,161.54184,899,1985,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
10,35,chr1,4856827,4857765,17.58143,111.39999,604,938,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
11,35,chr1,4857826,4859392,46.13368,425.85242,793,1566,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
16,47,chr1,5588078,5589359,37.45489,364.15677,611,1281,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
17,51,chr1,5916160,5918128,52.32234,502.77676,989,1968,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
18,54,chr1,6213207,6216799,28.91524,273.25732,2313,3592,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
20,55,chr1,6358724,6359803,45.14912,413.83316,627,1079,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
21,57,chr1,6382560,6383644,30.52137,243.76756,579,1084,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
22,58,chr1,6440971,6441886,29.39615,231.46049,430,915,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
30,67,chr1,7087757,7088809,21.42723,179.07672,558,1052,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
31,67,chr1,7088981,7091291,33.89700,281.43127,899,2310,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
33,74,chr1,7396963,7397560,9.00169,39.38004,268,597,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
34,74,chr1,7398158,7398873,23.34814,167.70081,419,715,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
40,95,chr1,9298046,9301018,42.53945,402.06580,2014,2972,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
41,101,chr1,9544710,9545280,25.45791,189.45506,321,570,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
42,101,chr1,9545399,9548797,29.53681,232.99191,460,3398,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
42,102,chr1,9545399,9548797,29.53681,232.99191,460,3398,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
