peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3666968,3672788,51.65321,417.22632,4205,5820,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4496010,4496561,2.96614,3.94388,220,551,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,19,chr1,4496899,4497551,3.07076,3.40508,208,652,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496899,4497551,3.07076,3.40508,208,652,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,26,chr1,4689053,4689488,6.58459,19.25277,217,435,ENSMUSG00000098104,,Gm6085,chr1,4687934,4689403,-1
6,32,chr1,4784800,4786607,50.43101,404.79727,799,1807,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
7,33,chr1,4807214,4808932,53.94484,442.26196,802,1718,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
7,34,chr1,4807214,4808932,53.94484,442.26196,802,1718,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
8,35,chr1,4857046,4859147,47.44319,375.43500,1266,2101,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
12,47,chr1,5588093,5589673,19.41769,108.35806,406,1580,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
13,51,chr1,5916462,5918133,22.77874,136.35817,680,1671,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
14,54,chr1,6213356,6216267,61.12526,518.60425,1487,2911,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
16,55,chr1,6358706,6359721,20.94544,120.78661,641,1015,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
17,57,chr1,6382577,6383654,33.19962,232.97603,562,1077,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
18,58,chr1,6441031,6441842,12.84836,58.38973,453,811,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
24,67,chr1,7087915,7090713,37.97251,316.68146,1256,2798,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
26,74,chr1,7396912,7398906,38.36179,281.07901,874,1994,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
28,95,chr1,9295689,9301027,48.13938,380.12491,3680,5338,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
29,101,chr1,9544800,9547410,35.10224,266.23633,728,2610,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
29,102,chr1,9544800,9547410,35.10224,266.23633,728,2610,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
30,102,chr1,9547588,9547938,3.65180,5.14837,169,350,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
31,102,chr1,9548037,9548576,3.54573,7.29875,196,539,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
32,104,chr1,9600842,9602855,27.36199,176.15852,922,2013,ENSMUSG00000067879,76982.0,Vxn,chr1,9601199,9627143,1
33,107,chr1,9699211,9701396,49.81991,397.71902,1495,2185,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
35,108,chr1,9743467,9745192,11.07663,46.57132,1557,1725,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
36,108,chr1,9745317,9746295,8.69766,45.87164,253,978,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
37,108,chr1,9746352,9748953,60.05583,507.61523,1738,2601,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
37,109,chr1,9746352,9748953,60.05583,507.61523,1738,2601,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
38,110,chr1,9797358,9799070,52.87541,429.71756,995,1712,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
40,113,chr1,9908235,9909127,8.26511,28.74648,470,892,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
41,114,chr1,9942232,9944751,54.55593,447.66058,1666,2519,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
41,115,chr1,9942232,9944751,54.55593,447.66058,1666,2519,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
42,116,chr1,9966862,9968522,14.52889,70.51909,1316,1660,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
42,117,chr1,9966862,9968522,14.52889,70.51909,1316,1660,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
43,119,chr1,10008678,10009567,15.13999,75.51531,326,889,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
43,120,chr1,10008678,10009567,15.13999,75.51531,326,889,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
44,121,chr1,10036668,10040997,62.50023,533.30035,3338,4329,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
44,122,chr1,10036668,10040997,62.50023,533.30035,3338,4329,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
45,126,chr1,10230956,10234064,49.88711,464.64420,1439,3108,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
46,136,chr1,10992969,10994949,51.19488,411.88895,695,1980,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
48,140,chr1,11413429,11415981,38.20901,279.42084,1001,2552,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
48,141,chr1,11413429,11415981,38.20901,279.42084,1001,2552,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
49,151,chr1,12691772,12692719,9.49426,41.78756,732,947,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
54,152,chr1,12989981,12993309,36.83404,266.22888,2150,3328,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
56,156,chr1,13128168,13128724,4.86401,10.76971,223,556,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
57,165,chr1,13371396,13374994,58.98641,496.63062,2118,3598,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
57,166,chr1,13371396,13374994,58.98641,496.63062,2118,3598,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
60,168,chr1,13588339,13590417,49.88711,464.64420,1133,2078,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
61,170,chr1,13659866,13661078,25.24065,207.74591,564,1212,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
63,179,chr1,14308802,14310407,35.45906,253.15785,1124,1605,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
65,181,chr1,14754805,14756795,46.98861,370.20798,846,1990,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
66,185,chr1,14918125,14919265,14.98721,74.25916,796,1140,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
67,188,chr1,15286006,15289740,49.51436,394.18808,1052,3734,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
69,195,chr1,15805001,15806785,49.48677,464.55576,927,1784,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
70,198,chr1,15892254,15893238,26.24885,193.69870,525,984,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
71,200,chr1,16092665,16093633,23.80493,145.88599,527,968,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
72,201,chr1,16102900,16106868,49.51436,394.18808,2731,3968,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
72,202,chr1,16102900,16106868,49.51436,394.18808,2731,3968,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
73,201,chr1,16106970,16107261,3.51583,6.18264,151,291,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
74,206,chr1,16517584,16520676,57.45866,478.40945,1457,3092,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
75,207,chr1,16616306,16616569,2.85373,2.71039,154,263,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
76,207,chr1,16617081,16620168,60.81971,514.92902,1992,3087,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
76,208,chr1,16617081,16620168,60.81971,514.92902,1992,3087,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
77,209,chr1,16655544,16657923,46.39311,374.75824,1120,2379,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
77,210,chr1,16655544,16657923,46.39311,374.75824,1120,2379,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
78,211,chr1,16664855,16666457,56.54201,469.34015,603,1602,ENSMUSG00000100959,,Gm7654,chr1,16662980,16663662,-1
78,212,chr1,16664855,16666457,56.54201,469.34015,603,1602,ENSMUSG00000025940,70397.0,Tmem70,chr1,16665207,16678275,1
79,213,chr1,16687912,16689160,23.73769,154.20554,767,1248,ENSMUSG00000025779,17087.0,Ly96,chr1,16688051,16709611,1
80,218,chr1,17096356,17098247,42.44279,323.74020,1245,1891,ENSMUSG00000042686,57339.0,Jph1,chr1,16964560,17097889,-1
81,219,chr1,17123408,17123696,3.80332,5.78607,104,288,ENSMUSG00000100110,,Gm28783,chr1,17124747,17128956,1
82,220,chr1,17145130,17146479,44.26111,342.53564,457,1349,ENSMUSG00000025777,14545.0,Gdap1,chr1,17145362,17164271,1
84,229,chr1,17726868,17728071,29.04251,191.41052,739,1203,ENSMUSG00000025776,83691.0,Crispld1,chr1,17727045,17766344,1
84,230,chr1,17726868,17728071,29.04251,191.41052,739,1203,ENSMUSG00000085125,,Gm16070,chr1,17676027,17727646,-1
85,236,chr1,18056848,18059408,48.13938,380.12491,1741,2560,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
85,237,chr1,18056848,18059408,48.13938,380.12491,1741,2560,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
89,247,chr1,19102291,19111666,15.75109,79.31159,1710,9375,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
89,248,chr1,19102291,19111666,15.75109,79.31159,1710,9375,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
91,250,chr1,19205661,19206507,6.60279,24.85426,197,846,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
92,250,chr1,19207077,19207983,6.12626,16.60715,615,906,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
93,250,chr1,19208020,19208457,4.10638,7.12570,281,437,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
94,250,chr1,19208669,19213765,14.07056,66.82424,1349,5096,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
100,266,chr1,20819305,20820818,24.91759,155.25726,838,1513,ENSMUSG00000041859,17215.0,Mcm3,chr1,20802968,20820312,-1
100,267,chr1,20819305,20820818,24.91759,155.25726,838,1513,ENSMUSG00000099714,,Gm20587,chr1,20821331,20822516,1
101,270,chr1,20889836,20893980,40.92535,356.83386,1025,4144,ENSMUSG00000097934,,6720483E21Rik,chr1,20888650,20890473,-1
101,271,chr1,20889836,20893980,40.92535,356.83386,1025,4144,ENSMUSG00000025931,74229.0,Paqr8,chr1,20890606,20939650,1
102,274,chr1,20951075,20952376,27.05644,174.64772,723,1301,ENSMUSG00000041809,71877.0,Efhc1,chr1,20951626,20990841,1
103,275,chr1,21078375,21080036,44.16724,338.48355,1177,1661,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
103,276,chr1,21078375,21080036,44.16724,338.48355,1177,1661,ENSMUSG00000099971,,Gm28287,chr1,21080114,21081748,1
105,278,chr1,21218281,21219628,32.81223,251.25252,421,1347,ENSMUSG00000025933,75712.0,Tmem14a,chr1,21218575,21230167,1
106,281,chr1,21271835,21272096,3.53436,6.77775,158,261,ENSMUSG00000099343,,Gm28836,chr1,21250359,21271593,-1
106,282,chr1,21271835,21272096,3.53436,6.77775,158,261,ENSMUSG00000096375,,Gm7094,chr1,21272403,21272906,1
108,296,chr1,21959599,21962790,47.89777,380.67865,2003,3191,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
110,300,chr1,22802963,22807464,30.01067,360.61334,3030,4501,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
111,305,chr1,23255599,23258127,49.97268,399.48608,1178,2528,ENSMUSG00000102766,,Gm6420,chr1,23255685,23256407,-1
116,314,chr1,23760946,23764606,29.20436,285.41504,1254,3660,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
119,315,chr1,23920362,23922928,64.18076,551.74884,1752,2566,ENSMUSG00000026155,98366.0,Smap1,chr1,23844846,23922317,-1
120,316,chr1,24004646,24006029,31.57714,238.65282,827,1383,ENSMUSG00000102495,,Gm26524,chr1,24005505,24005894,1
120,317,chr1,24004646,24006029,31.57714,238.65282,827,1383,ENSMUSG00000026154,68002.0,Sdhaf4,chr1,23995939,24005656,-1
121,318,chr1,24098993,24101232,56.38924,467.52762,1013,2239,ENSMUSG00000026153,68187.0,Fam135a,chr1,24011093,24100341,-1
121,319,chr1,24098993,24101232,56.38924,467.52762,1013,2239,ENSMUSG00000102398,,Gm37580,chr1,24100625,24103424,1
123,323,chr1,24585805,24587768,43.55613,333.34302,888,1963,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
124,332,chr1,24677838,24679999,40.81009,403.49966,1002,2161,ENSMUSG00000073725,68421.0,Lmbrd1,chr1,24678630,24766301,1
130,359,chr1,25823737,25832851,40.53571,351.83139,6222,9114,ENSMUSG00000103004,,2900002M20Rik,chr1,25824390,25824719,-1
130,360,chr1,25823737,25832851,40.53571,351.83139,6222,9114,ENSMUSG00000033569,210933.0,Adgrb3,chr1,25067476,25829707,-1
130,361,chr1,25823737,25832851,40.53571,351.83139,6222,9114,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
131,391,chr1,30871867,30874554,51.05603,478.64743,1322,2687,ENSMUSG00000048874,213109.0,Phf3,chr1,30802339,30873921,-1
132,392,chr1,30946851,30950941,59.13918,496.63062,2358,4090,ENSMUSG00000026064,19243.0,Ptp4a1,chr1,30940302,30949309,-1
132,393,chr1,30946851,30950941,59.13918,496.63062,2358,4090,ENSMUSG00000117310,19243.0,Ptp4a1,chr1,30940302,30949770,-1
133,411,chr1,32172091,32176411,47.06996,369.63715,883,4320,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
135,437,chr1,33669129,33671107,40.92535,356.83386,1058,1978,ENSMUSG00000026134,19076.0,Prim2,chr1,33453810,33669795,-1
135,438,chr1,33669129,33671107,40.92535,356.83386,1058,1978,ENSMUSG00000103746,,1700001G17Rik,chr1,33669824,33670712,1
136,440,chr1,33719468,33721354,51.58084,446.34894,858,1886,ENSMUSG00000004768,19335.0,Rab23,chr1,33719887,33742564,1
137,442,chr1,33756923,33758306,34.44594,320.64062,827,1383,ENSMUSG00000042215,213539.0,Bag2,chr1,33745484,33757795,-1
138,443,chr1,33812699,33815275,48.71818,450.70386,1394,2576,ENSMUSG00000042197,98403.0,Zfp451,chr1,33761545,33814595,-1
140,446,chr1,33905863,33909750,39.88953,296.07886,2479,3887,ENSMUSG00000042182,320705.0,Bend6,chr1,33852052,33907816,-1
140,447,chr1,33905863,33909750,39.88953,296.07886,2479,3887,ENSMUSG00000026131,13518.0,Dst,chr1,33908225,34308661,1
146,459,chr1,34432257,34433715,25.58443,171.73854,831,1458,ENSMUSG00000092852,,Mir5103,chr1,34433121,34433199,-1
146,460,chr1,34432257,34433715,25.58443,171.73854,831,1458,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
