peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
4,11,chr1,3671238,3671764,3.22429,4.85362,407,526,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
5,19,chr1,4496622,4497905,3.93419,9.97556,737,1283,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
5,20,chr1,4496622,4497905,3.93419,9.97556,737,1283,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
12,32,chr1,4785093,4786268,8.20728,32.13638,445,1175,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
13,33,chr1,4807283,4808424,11.87125,58.65525,674,1141,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
13,34,chr1,4807283,4808424,11.87125,58.65525,674,1141,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
14,35,chr1,4856812,4858742,14.08050,91.04290,641,1930,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
17,40,chr1,4970069,4970377,3.37085,5.43029,175,308,ENSMUSG00000085623,,Gm16041,chr1,4970857,4976820,1
21,54,chr1,6213740,6215741,38.98459,325.67685,1066,2001,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
23,60,chr1,6866597,6867767,3.87256,10.29611,279,1170,ENSMUSG00000103329,,Gm42492,chr1,6861237,6864151,-1
24,67,chr1,7087815,7090095,22.70587,198.04137,738,2280,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
27,74,chr1,7397620,7397972,6.06835,20.71551,141,352,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
28,74,chr1,7398137,7398753,8.94007,37.10804,426,616,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
36,101,chr1,9545444,9546875,7.76761,29.24604,418,1431,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
