peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
5,11,chr1,3621898,3622359,2.83684,2.13657,369,461,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
6,10,chr1,3653638,3653934,4.24469,4.70476,199,296,ENSMUSG00000102331,,Gm19938,chr1,3647309,3658904,-1
6,11,chr1,3653638,3653934,4.24469,4.70476,199,296,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
7,10,chr1,3656130,3656377,3.90874,3.95550,77,247,ENSMUSG00000102331,,Gm19938,chr1,3647309,3658904,-1
7,11,chr1,3656130,3656377,3.90874,3.95550,77,247,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
8,14,chr1,3783633,3783816,3.24594,2.26739,110,183,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
9,14,chr1,3784316,3784594,4.49438,5.39410,62,278,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
10,15,chr1,3977009,3977719,4.99376,6.85323,529,710,ENSMUSG00000102343,,Gm37381,chr1,3905739,3986215,-1
11,15,chr1,3977819,3977980,2.93156,1.72382,37,161,ENSMUSG00000102343,,Gm37381,chr1,3905739,3986215,-1
12,15,chr1,3978733,3978973,4.24469,4.70476,165,240,ENSMUSG00000102343,,Gm37381,chr1,3905739,3986215,-1
15,16,chr1,4258868,4259009,2.99625,1.74565,46,141,ENSMUSG00000102948,,Gm6101,chr1,4256234,4260519,-1
16,18,chr1,4297057,4297187,3.42015,2.76795,51,130,ENSMUSG00000025900,19888.0,Rp1,chr1,3999557,4409241,-1
17,18,chr1,4335285,4335550,3.49563,2.82661,81,265,ENSMUSG00000025900,19888.0,Rp1,chr1,3999557,4409241,-1
18,18,chr1,4399743,4400011,4.99376,6.85323,136,268,ENSMUSG00000025900,19888.0,Rp1,chr1,3999557,4409241,-1
20,25,chr1,4610247,4610588,3.66444,3.34534,153,341,ENSMUSG00000102735,,Gm7369,chr1,4610471,4611406,1
21,29,chr1,4734816,4735010,2.99625,1.74565,151,194,ENSMUSG00000103265,,Gm2053,chr1,4735046,4735676,-1
25,33,chr1,4807646,4807881,2.14654,0.48965,83,235,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
25,34,chr1,4807646,4807881,2.14654,0.48965,83,235,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
26,34,chr1,4882997,4883723,3.68847,3.78638,630,726,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
26,35,chr1,4882997,4883723,3.68847,3.78638,630,726,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
26,36,chr1,4882997,4883723,3.68847,3.78638,630,726,ENSMUSG00000062588,,Gm6104,chr1,4880049,4880651,-1
27,34,chr1,4883833,4884101,3.24594,2.26739,172,268,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
27,35,chr1,4883833,4884101,3.24594,2.26739,172,268,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
32,42,chr1,5119436,5119907,3.95860,4.04765,57,471,ENSMUSG00000033793,108664.0,Atp6v1h,chr1,5070018,5162529,1
37,45,chr1,5307136,5307493,3.24594,2.26739,303,357,ENSMUSG00000104046,,Gm37567,chr1,5307739,5310017,1
56,55,chr1,6357299,6357438,2.74657,1.26588,25,139,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
58,58,chr1,6429846,6430351,5.49313,8.41967,358,505,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
59,58,chr1,6437556,6438306,4.74407,6.10894,90,750,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
60,58,chr1,6439267,6439904,3.68847,3.78638,167,637,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
61,58,chr1,6440247,6440629,3.74532,3.42154,228,382,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
62,59,chr1,6538606,6539042,2.82060,1.70731,356,436,ENSMUSG00000033740,240690.0,St18,chr1,6487231,6860940,1
63,59,chr1,6694521,6694831,4.24469,4.70476,189,310,ENSMUSG00000033740,240690.0,St18,chr1,6487231,6860940,1
65,65,chr1,7013573,7013926,3.99500,4.04765,63,353,ENSMUSG00000102213,,Gm37489,chr1,7013762,7013920,1
71,67,chr1,7125902,7126169,3.99500,4.04765,206,267,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
72,67,chr1,7126303,7126656,3.25453,2.67889,62,353,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
73,67,chr1,7133099,7133398,3.74532,3.42154,84,299,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
78,74,chr1,7352692,7352962,5.74282,9.23846,56,270,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
79,74,chr1,7354731,7354860,4.24469,4.70476,37,129,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
80,74,chr1,7362512,7362743,3.99500,4.04765,98,231,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
81,74,chr1,7362995,7363253,2.65953,1.70731,181,258,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
120,109,chr1,9736491,9736892,3.24594,2.26739,85,401,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
121,108,chr1,9792002,9792189,3.49563,2.82661,55,187,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
123,128,chr1,10556090,10556275,2.82060,1.70731,86,185,ENSMUSG00000083422,,Gm15604,chr1,10554098,10555553,-1
