peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3670181,3672758,6.38912,33.55254,2352,2577,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,11,chr1,3673300,3674103,5.66716,23.67105,206,803,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
6,19,chr1,4494158,4495381,4.62247,15.65667,456,1223,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
7,19,chr1,4495609,4499056,4.71770,18.50642,2735,3447,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
7,20,chr1,4495609,4499056,4.71770,18.50642,2735,3447,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
8,20,chr1,4499126,4499497,5.14482,19.17408,160,371,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
9,20,chr1,4499760,4500058,4.88365,17.75021,147,298,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
24,47,chr1,5588744,5589341,3.49073,8.12796,372,597,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
25,51,chr1,5915509,5918179,7.96450,45.80153,629,2670,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
26,51,chr1,5918429,5919485,4.70953,16.34646,442,1056,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
27,55,chr1,6357820,6358310,3.57779,8.69733,319,490,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
28,55,chr1,6358716,6360598,5.92833,25.99261,798,1882,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
30,57,chr1,6384417,6384640,3.57779,8.69733,74,223,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
31,58,chr1,6441819,6442452,2.79427,4.52780,289,633,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
32,95,chr1,9298081,9301073,9.96130,66.21956,1776,2992,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
33,95,chr1,9301199,9301760,3.05544,5.46749,348,561,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
40,116,chr1,9964534,9964944,4.27424,12.98266,146,410,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
41,116,chr1,9965595,9965915,4.44836,14.30194,158,320,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
42,116,chr1,9966261,9968577,6.79891,33.37114,151,2316,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
42,117,chr1,9966261,9968577,6.79891,33.37114,151,2316,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
43,117,chr1,9968660,9969907,6.97302,35.05053,463,1247,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
44,117,chr1,9970098,9970597,3.49073,8.12796,147,499,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
56,140,chr1,11412047,11412611,2.09015,2.22906,450,564,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
57,140,chr1,11412805,11413508,2.81837,5.08925,114,703,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
58,141,chr1,11414725,11415968,3.30287,8.61097,759,1243,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
59,141,chr1,11416610,11416842,2.53310,3.20584,136,232,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
65,152,chr1,12992608,12993539,3.05544,5.46749,432,931,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
75,156,chr1,13126317,13130099,6.18951,27.58873,3455,3782,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
85,172,chr1,13772901,13774393,1.98944,2.07145,768,1492,ENSMUSG00000077368,,Gm26273,chr1,13774334,13774464,-1
87,173,chr1,13788509,13788866,3.65132,10.04899,162,357,ENSMUSG00000097711,,Gm5523,chr1,13785883,13786879,-1
95,174,chr1,13848470,13848788,2.70131,4.67713,167,318,ENSMUSG00000102166,,Gm36947,chr1,13846871,13849119,-1
96,174,chr1,13850062,13850296,2.88133,5.00189,62,234,ENSMUSG00000102166,,Gm36947,chr1,13846871,13849119,-1
