peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3671740,3672754,5.26223,11.26104,704,1014,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,11,chr1,3673160,3673865,4.38519,7.65313,380,705,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
6,19,chr1,4494135,4495472,3.44939,7.75860,713,1337,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
7,19,chr1,4495560,4495876,3.81762,6.80621,136,316,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
8,19,chr1,4495925,4501723,5.51231,15.39881,1971,5798,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
8,20,chr1,4495925,4501723,5.51231,15.39881,1971,5798,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
18,47,chr1,5588393,5589246,4.20978,6.97432,688,853,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
20,51,chr1,5915748,5918220,5.91667,18.44035,407,2472,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
21,51,chr1,5918314,5918701,4.19704,6.95955,276,387,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
22,51,chr1,5918742,5919324,4.91141,9.77827,354,582,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
23,55,chr1,6358069,6358497,3.68356,5.03902,161,428,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
24,55,chr1,6358660,6360463,5.96386,14.37375,885,1803,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
26,95,chr1,9298113,9301030,7.25963,22.62757,1338,2917,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
27,95,chr1,9301176,9302285,3.50815,4.43547,870,1109,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
30,116,chr1,9964505,9964946,3.00211,3.31623,248,441,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
31,116,chr1,9965597,9965884,4.50317,9.39325,144,287,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
32,116,chr1,9966249,9968780,5.12778,13.94845,1619,2531,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
32,117,chr1,9966249,9968780,5.12778,13.94845,1619,2531,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
33,117,chr1,9968823,9969918,5.73147,19.34739,324,1095,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
34,117,chr1,9970057,9971012,3.60254,5.55641,501,955,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
35,140,chr1,11412476,11412728,3.50815,4.43547,127,252,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
37,152,chr1,12993101,12993512,2.76111,2.92040,180,411,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
41,156,chr1,13126536,13130050,7.20463,21.13426,996,3514,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
43,172,chr1,13773178,13774040,3.15734,3.29759,181,862,ENSMUSG00000077368,,Gm26273,chr1,13774334,13774464,-1
44,172,chr1,13774614,13774970,3.52738,5.13820,187,356,ENSMUSG00000077368,,Gm26273,chr1,13774334,13774464,-1
46,173,chr1,13788124,13788429,3.50815,4.43547,137,305,ENSMUSG00000097711,,Gm5523,chr1,13785883,13786879,-1
53,180,chr1,14752977,14758437,8.94579,29.36695,2236,5460,ENSMUSG00000054493,,Gm9947,chr1,14752937,14776931,1
53,181,chr1,14752977,14758437,8.94579,29.36695,2236,5460,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
54,185,chr1,14917830,14920079,5.18639,11.09887,741,2249,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
55,198,chr1,15892084,15892381,3.01589,3.01242,131,297,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
57,236,chr1,18057254,18059008,6.66549,17.65233,825,1754,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
57,237,chr1,18057254,18059008,6.66549,17.65233,825,1754,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
58,236,chr1,18059174,18060002,4.35511,9.01872,162,828,ENSMUSG00000101717,,Gm45784,chr1,18048100,18058269,-1
58,237,chr1,18059174,18060002,4.35511,9.01872,162,828,ENSMUSG00000109887,,Gm28756,chr1,17994462,18059056,-1
62,247,chr1,19099594,19114131,8.54629,35.42397,10746,14537,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
62,248,chr1,19099594,19114131,8.54629,35.42397,10746,14537,ENSMUSG00000089787,,Gm15825,chr1,19063300,19104840,-1
63,250,chr1,19207073,19208464,3.85997,8.39421,482,1391,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
64,250,chr1,19208757,19209333,2.94955,4.56401,373,576,ENSMUSG00000025927,21419.0,Tfap2b,chr1,19208914,19238576,1
77,251,chr1,19238845,19243093,5.55391,14.43767,1416,4248,ENSMUSG00000100538,,Gm28340,chr1,19242725,19243769,1
80,296,chr1,21962373,21962784,4.18874,7.20773,271,411,ENSMUSG00000028033,226922.0,Kcnq5,chr1,21398403,21961942,-1
84,300,chr1,22806249,22807045,5.20123,11.80928,621,796,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
85,314,chr1,23759327,23762954,5.85412,15.99017,1822,3627,ENSMUSG00000026156,280645.0,B3gat2,chr1,23761753,23849158,1
92,323,chr1,24585900,24587299,3.68694,8.34565,115,1399,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
93,323,chr1,24587354,24587963,5.59606,12.77443,181,609,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
94,323,chr1,24588142,24588657,4.80338,10.77880,333,515,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
95,323,chr1,24588782,24590151,4.38519,7.65313,190,1369,ENSMUSG00000026141,12823.0,Col19a1,chr1,24261890,24587472,-1
97,359,chr1,25825731,25826384,3.85897,5.66489,164,653,ENSMUSG00000103004,,2900002M20Rik,chr1,25824390,25824719,-1
98,359,chr1,25827126,25827900,3.37092,6.65164,351,774,ENSMUSG00000103004,,2900002M20Rik,chr1,25824390,25824719,-1
99,361,chr1,25827983,25828478,4.65328,10.08071,161,495,ENSMUSG00000104516,,Gm9884,chr1,25830657,25831878,1
