peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,14,chr1,3783951,3784141,3.10048,1.36945,128,190,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
1,50,chr1,5846509,5846731,2.97843,0.98917,119,222,ENSMUSG00000103519,,Gm37429,chr1,5842874,5844672,-1
2,55,chr1,6356539,6356806,2.73433,0.19421,94,267,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
14,140,chr1,11753946,11754195,2.58559,0.57415,93,249,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
15,151,chr1,12798094,12798301,2.66029,0.19421,115,207,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
31,365,chr1,26687253,26687687,1.66389,0.19421,190,434,ENSMUSG00000073722,210940.0,4931408C20Rik,chr1,26681814,26687460,-1
34,367,chr1,27337864,27338227,2.97843,0.98917,73,363,ENSMUSG00000100310,,Gm19641,chr1,27336352,27336768,-1
42,411,chr1,32253873,32254075,2.97843,0.98917,61,202,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
43,411,chr1,32458367,32458644,2.61228,0.19421,97,277,ENSMUSG00000026058,170771.0,Khdrbs2,chr1,32172714,32658568,1
44,460,chr1,34430795,34431095,3.22253,1.36945,140,300,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
45,460,chr1,34431180,34431913,3.29806,2.63735,466,733,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
46,478,chr1,34776491,34776735,3.71072,2.90858,122,244,ENSMUSG00000037509,226970.0,Arhgef4,chr1,34678188,34813309,1
53,548,chr1,37506936,37507126,2.36819,0.00000,142,190,ENSMUSG00000026110,269181.0,Mgat4a,chr1,37439340,37541016,-1
54,554,chr1,37792494,37792722,2.73433,0.19421,151,228,ENSMUSG00000060771,211484.0,Tsga10,chr1,37754776,37866429,-1
56,584,chr1,39258823,39259100,3.22253,1.36945,169,277,ENSMUSG00000026077,18143.0,Npas2,chr1,39193731,39363236,1
58,620,chr1,40779387,40779681,2.09018,0.00000,159,294,ENSMUSG00000103270,,Gm37915,chr1,40771385,40785343,1
58,621,chr1,40779387,40779681,2.09018,0.00000,159,294,ENSMUSG00000041945,211798.0,Mfsd9,chr1,40772038,40790687,-1
60,674,chr1,44172698,44172945,2.61228,0.19421,133,247,ENSMUSG00000026048,22592.0,Ercc5,chr1,44147744,44181260,1
64,739,chr1,49338114,49338503,3.22253,1.36945,324,389,ENSMUSG00000051616,,C230029F24Rik,chr1,49244616,49340443,1
66,751,chr1,51086737,51086982,2.85638,0.57415,88,245,ENSMUSG00000026109,56363.0,Tmeff2,chr1,50900647,51187270,1
70,844,chr1,55362567,55362984,3.34458,1.86102,204,417,ENSMUSG00000025977,75388.0,Boll,chr1,55248658,55363469,-1
72,889,chr1,58507235,58508283,4.08523,4.47317,250,1048,ENSMUSG00000026037,18393.0,Orc2,chr1,58462771,58505109,-1
72,890,chr1,58507235,58508283,4.08523,4.47317,250,1048,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
73,890,chr1,58508750,58508940,2.85638,0.57415,142,190,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
74,890,chr1,58509001,58509197,2.73433,0.19421,33,196,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
75,901,chr1,58819631,58819989,4.07687,4.08620,153,358,ENSMUSG00000026029,12370.0,Casp8,chr1,58795374,58847503,1
76,901,chr1,58820453,58820798,4.07687,4.08620,175,345,ENSMUSG00000026029,12370.0,Casp8,chr1,58795374,58847503,1
77,950,chr1,60560663,60560963,2.77904,0.51461,141,300,ENSMUSG00000026014,77300.0,Raph1,chr1,60482292,60567104,-1
80,980,chr1,62066634,62066923,3.22253,1.36945,134,289,ENSMUSG00000052062,72823.0,Pard3b,chr1,61638824,62642284,1
81,1015,chr1,63248959,63249339,3.49150,2.21378,139,380,ENSMUSG00000102536,,1700039I01Rik,chr1,63248021,63248499,-1
82,1017,chr1,63285178,63285384,2.97843,0.98917,133,206,ENSMUSG00000027520,73884.0,Zdbf2,chr1,63273265,63314576,1
83,1037,chr1,64205159,64205377,2.32767,0.19421,108,218,ENSMUSG00000101895,,Gm28981,chr1,64185991,64303043,-1
84,1063,chr1,65210444,65210634,2.85638,0.57415,32,190,ENSMUSG00000025949,18711.0,Pikfyve,chr1,65186683,65278695,1
85,1094,chr1,66856679,66857011,4.19892,4.72072,150,332,ENSMUSG00000089420,,Gm27934,chr1,66856641,66856703,1
85,1095,chr1,66856679,66857011,4.19892,4.72072,150,332,ENSMUSG00000026003,11363.0,Acadl,chr1,66830839,66863277,-1
86,1120,chr1,69377677,69377867,2.49023,0.00000,25,190,ENSMUSG00000101387,,Pced1c-ps,chr1,69377321,69378071,1
87,1128,chr1,70140644,70140834,2.49023,0.00000,127,190,ENSMUSG00000053153,66722.0,Spag16,chr1,69826970,70725132,1
93,1308,chr1,79614607,79614806,3.04700,1.36902,26,199,ENSMUSG00000054702,252903.0,Ap1s3,chr1,79606876,79671972,-1
95,1348,chr1,82561103,82561409,2.17847,0.00000,169,306,ENSMUSG00000067158,12829.0,Col4a4,chr1,82448423,82586849,-1
99,1392,chr1,84295082,84295280,2.85638,0.57415,141,198,ENSMUSG00000045658,98496.0,Pid1,chr1,84036296,84364180,-1
100,1516,chr1,87663557,87663911,2.85638,0.57415,38,354,ENSMUSG00000026288,16331.0,Inpp5d,chr1,87620312,87720507,1
101,1530,chr1,88170944,88171149,3.22253,1.36945,98,205,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
101,1532,chr1,88170944,88171149,3.22253,1.36945,98,205,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
101,1533,chr1,88170944,88171149,3.22253,1.36945,98,205,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
101,1534,chr1,88170944,88171149,3.22253,1.36945,98,205,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
101,1536,chr1,88170944,88171149,3.22253,1.36945,98,205,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
101,1539,chr1,88170944,88171149,3.22253,1.36945,98,205,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
101,1543,chr1,88170944,88171149,3.22253,1.36945,98,205,ENSMUSG00000089943,394433.0,Ugt1a5,chr1,88166012,88218997,1
102,1530,chr1,88177481,88177773,2.85638,0.57415,147,292,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
102,1532,chr1,88177481,88177773,2.85638,0.57415,147,292,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
102,1533,chr1,88177481,88177773,2.85638,0.57415,147,292,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
102,1534,chr1,88177481,88177773,2.85638,0.57415,147,292,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
102,1536,chr1,88177481,88177773,2.85638,0.57415,147,292,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
102,1539,chr1,88177481,88177773,2.85638,0.57415,147,292,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
102,1543,chr1,88177481,88177773,2.85638,0.57415,147,292,ENSMUSG00000089943,394433.0,Ugt1a5,chr1,88166012,88218997,1
102,1544,chr1,88177481,88177773,2.85638,0.57415,147,292,ENSMUSG00000118621,,AC087801.3,chr1,88178301,88178390,1
103,1530,chr1,88177949,88178263,3.22253,1.36945,185,314,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
103,1532,chr1,88177949,88178263,3.22253,1.36945,185,314,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
103,1533,chr1,88177949,88178263,3.22253,1.36945,185,314,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
103,1534,chr1,88177949,88178263,3.22253,1.36945,185,314,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
103,1536,chr1,88177949,88178263,3.22253,1.36945,185,314,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
103,1539,chr1,88177949,88178263,3.22253,1.36945,185,314,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
103,1543,chr1,88177949,88178263,3.22253,1.36945,185,314,ENSMUSG00000089943,394433.0,Ugt1a5,chr1,88166012,88218997,1
103,1544,chr1,88177949,88178263,3.22253,1.36945,185,314,ENSMUSG00000118621,,AC087801.3,chr1,88178301,88178390,1
104,1530,chr1,88211603,88215225,2.16517,4.58797,1923,3622,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
104,1532,chr1,88211603,88215225,2.16517,4.58797,1923,3622,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
104,1533,chr1,88211603,88215225,2.16517,4.58797,1923,3622,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
104,1534,chr1,88211603,88215225,2.16517,4.58797,1923,3622,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
104,1536,chr1,88211603,88215225,2.16517,4.58797,1923,3622,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
104,1539,chr1,88211603,88215225,2.16517,4.58797,1923,3622,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
104,1543,chr1,88211603,88215225,2.16517,4.58797,1923,3622,ENSMUSG00000089943,394433.0,Ugt1a5,chr1,88166012,88218997,1
104,1547,chr1,88211603,88215225,2.16517,4.58797,1923,3622,ENSMUSG00000090171,22236.0,Ugt1a2,chr1,88200601,88218997,1
104,1549,chr1,88211603,88215225,2.16517,4.58797,1923,3622,ENSMUSG00000089960,394436.0,Ugt1a1,chr1,88211959,88218997,1
104,1550,chr1,88211603,88215225,2.16517,4.58797,1923,3622,ENSMUSG00000092220,,Gm20528,chr1,88055393,88218584,-1
105,1530,chr1,88215422,88216381,2.68780,8.74525,278,959,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
105,1532,chr1,88215422,88216381,2.68780,8.74525,278,959,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
105,1533,chr1,88215422,88216381,2.68780,8.74525,278,959,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
105,1534,chr1,88215422,88216381,2.68780,8.74525,278,959,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
105,1536,chr1,88215422,88216381,2.68780,8.74525,278,959,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
105,1539,chr1,88215422,88216381,2.68780,8.74525,278,959,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
105,1543,chr1,88215422,88216381,2.68780,8.74525,278,959,ENSMUSG00000089943,394433.0,Ugt1a5,chr1,88166012,88218997,1
105,1547,chr1,88215422,88216381,2.68780,8.74525,278,959,ENSMUSG00000090171,22236.0,Ugt1a2,chr1,88200601,88218997,1
105,1549,chr1,88215422,88216381,2.68780,8.74525,278,959,ENSMUSG00000089960,394436.0,Ugt1a1,chr1,88211959,88218997,1
105,1550,chr1,88215422,88216381,2.68780,8.74525,278,959,ENSMUSG00000092220,,Gm20528,chr1,88055393,88218584,-1
106,1530,chr1,88216617,88216836,2.32089,4.52145,70,219,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
106,1532,chr1,88216617,88216836,2.32089,4.52145,70,219,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
106,1533,chr1,88216617,88216836,2.32089,4.52145,70,219,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
106,1534,chr1,88216617,88216836,2.32089,4.52145,70,219,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
106,1536,chr1,88216617,88216836,2.32089,4.52145,70,219,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
106,1539,chr1,88216617,88216836,2.32089,4.52145,70,219,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
106,1543,chr1,88216617,88216836,2.32089,4.52145,70,219,ENSMUSG00000089943,394433.0,Ugt1a5,chr1,88166012,88218997,1
106,1547,chr1,88216617,88216836,2.32089,4.52145,70,219,ENSMUSG00000090171,22236.0,Ugt1a2,chr1,88200601,88218997,1
106,1549,chr1,88216617,88216836,2.32089,4.52145,70,219,ENSMUSG00000089960,394436.0,Ugt1a1,chr1,88211959,88218997,1
106,1550,chr1,88216617,88216836,2.32089,4.52145,70,219,ENSMUSG00000092220,,Gm20528,chr1,88055393,88218584,-1
107,1530,chr1,88216971,88217901,3.20495,15.36533,369,930,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
107,1532,chr1,88216971,88217901,3.20495,15.36533,369,930,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
107,1533,chr1,88216971,88217901,3.20495,15.36533,369,930,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
107,1534,chr1,88216971,88217901,3.20495,15.36533,369,930,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
107,1536,chr1,88216971,88217901,3.20495,15.36533,369,930,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
107,1539,chr1,88216971,88217901,3.20495,15.36533,369,930,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
107,1543,chr1,88216971,88217901,3.20495,15.36533,369,930,ENSMUSG00000089943,394433.0,Ugt1a5,chr1,88166012,88218997,1
107,1547,chr1,88216971,88217901,3.20495,15.36533,369,930,ENSMUSG00000090171,22236.0,Ugt1a2,chr1,88200601,88218997,1
107,1549,chr1,88216971,88217901,3.20495,15.36533,369,930,ENSMUSG00000089960,394436.0,Ugt1a1,chr1,88211959,88218997,1
107,1550,chr1,88216971,88217901,3.20495,15.36533,369,930,ENSMUSG00000092220,,Gm20528,chr1,88055393,88218584,-1
108,1530,chr1,88218077,88218513,2.58953,7.91492,201,436,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
108,1532,chr1,88218077,88218513,2.58953,7.91492,201,436,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
108,1533,chr1,88218077,88218513,2.58953,7.91492,201,436,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
108,1534,chr1,88218077,88218513,2.58953,7.91492,201,436,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
108,1536,chr1,88218077,88218513,2.58953,7.91492,201,436,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
108,1539,chr1,88218077,88218513,2.58953,7.91492,201,436,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
108,1543,chr1,88218077,88218513,2.58953,7.91492,201,436,ENSMUSG00000089943,394433.0,Ugt1a5,chr1,88166012,88218997,1
108,1547,chr1,88218077,88218513,2.58953,7.91492,201,436,ENSMUSG00000090171,22236.0,Ugt1a2,chr1,88200601,88218997,1
108,1549,chr1,88218077,88218513,2.58953,7.91492,201,436,ENSMUSG00000089960,394436.0,Ugt1a1,chr1,88211959,88218997,1
108,1550,chr1,88218077,88218513,2.58953,7.91492,201,436,ENSMUSG00000092220,,Gm20528,chr1,88055393,88218584,-1
109,1530,chr1,88218602,88218883,2.24081,3.83615,119,281,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
109,1532,chr1,88218602,88218883,2.24081,3.83615,119,281,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
109,1533,chr1,88218602,88218883,2.24081,3.83615,119,281,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
109,1534,chr1,88218602,88218883,2.24081,3.83615,119,281,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
109,1536,chr1,88218602,88218883,2.24081,3.83615,119,281,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
109,1539,chr1,88218602,88218883,2.24081,3.83615,119,281,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
109,1543,chr1,88218602,88218883,2.24081,3.83615,119,281,ENSMUSG00000089943,394433.0,Ugt1a5,chr1,88166012,88218997,1
109,1547,chr1,88218602,88218883,2.24081,3.83615,119,281,ENSMUSG00000090171,22236.0,Ugt1a2,chr1,88200601,88218997,1
109,1549,chr1,88218602,88218883,2.24081,3.83615,119,281,ENSMUSG00000089960,394436.0,Ugt1a1,chr1,88211959,88218997,1
109,1550,chr1,88218602,88218883,2.24081,3.83615,119,281,ENSMUSG00000092220,,Gm20528,chr1,88055393,88218584,-1
110,1530,chr1,88219090,88219846,2.26325,5.36971,136,756,ENSMUSG00000090165,394430.0,Ugt1a10,chr1,88055388,88219004,1
110,1532,chr1,88219090,88219846,2.26325,5.36971,136,756,ENSMUSG00000090175,394434.0,Ugt1a9,chr1,88070800,88218997,1
110,1533,chr1,88219090,88219846,2.26325,5.36971,136,756,ENSMUSG00000089675,,Ugt1a8,chr1,88087813,88219004,1
110,1534,chr1,88219090,88219846,2.26325,5.36971,136,756,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
110,1536,chr1,88219090,88219846,2.26325,5.36971,136,756,ENSMUSG00000090145,394435.0,Ugt1a6b,chr1,88103252,88219003,1
110,1539,chr1,88219090,88219846,2.26325,5.36971,136,756,ENSMUSG00000054545,94284.0,Ugt1a6a,chr1,88134809,88218997,1
110,1543,chr1,88219090,88219846,2.26325,5.36971,136,756,ENSMUSG00000089943,394433.0,Ugt1a5,chr1,88166012,88218997,1
110,1547,chr1,88219090,88219846,2.26325,5.36971,136,756,ENSMUSG00000090171,22236.0,Ugt1a2,chr1,88200601,88218997,1
110,1549,chr1,88219090,88219846,2.26325,5.36971,136,756,ENSMUSG00000089960,394436.0,Ugt1a1,chr1,88211959,88218997,1
110,1550,chr1,88219090,88219846,2.26325,5.36971,136,756,ENSMUSG00000092220,,Gm20528,chr1,88055393,88218584,-1
111,1534,chr1,88219891,88221785,2.17817,6.14217,631,1894,ENSMUSG00000090124,394432.0,Ugt1a7c,chr1,88095062,88220002,1
111,1550,chr1,88219891,88221785,2.17817,6.14217,631,1894,ENSMUSG00000092220,,Gm20528,chr1,88055393,88218584,-1
113,1551,chr1,88225523,88226191,1.76700,0.62995,83,668,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
114,1551,chr1,88226345,88227011,1.49625,0.00000,179,666,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
115,1551,chr1,88227103,88227530,2.62850,6.08884,170,427,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
116,1551,chr1,88227605,88231213,2.87326,7.59833,2845,3608,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
117,1551,chr1,88231358,88232465,2.15928,2.28795,761,1107,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
118,1551,chr1,88232758,88233619,2.03660,1.40327,167,861,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
119,1551,chr1,88233789,88234191,2.13269,1.42841,285,402,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
120,1551,chr1,88234449,88234933,1.94941,1.07870,184,484,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
121,1551,chr1,88234979,88235902,2.27998,3.91214,382,923,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
122,1551,chr1,88236042,88236296,1.53187,0.00000,20,254,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
123,1551,chr1,88236847,88238082,2.43049,3.47865,686,1235,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
124,1551,chr1,88238268,88239493,2.34705,3.59595,962,1225,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
125,1551,chr1,88239683,88241162,2.09360,2.23204,409,1479,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
126,1551,chr1,88241458,88241808,3.14304,9.57049,243,350,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
127,1551,chr1,88241979,88242481,2.40477,3.14064,110,502,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
128,1551,chr1,88242642,88243023,2.29931,2.44477,228,381,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
129,1551,chr1,88243070,88243584,1.50576,0.00000,105,514,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
130,1551,chr1,88244040,88244413,2.40954,3.92127,193,373,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
131,1551,chr1,88244720,88247278,2.47431,4.27396,216,2558,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
132,1551,chr1,88247751,88248053,2.38820,3.04729,198,302,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
133,1551,chr1,88248143,88249932,2.74587,6.78446,1629,1789,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
134,1551,chr1,88250033,88251259,1.64105,0.00000,47,1226,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
135,1551,chr1,88252286,88252530,1.58787,0.00000,87,244,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
136,1551,chr1,88254444,88255005,1.98402,1.02257,389,561,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
137,1551,chr1,88255076,88255624,2.39141,3.27571,284,548,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
138,1551,chr1,88256303,88256797,2.52033,4.73562,358,494,ENSMUSG00000079429,100040766.0,Mroh2a,chr1,88226986,88262289,1
139,1554,chr1,88281828,88282292,1.91643,0.57415,179,464,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
140,1554,chr1,88283226,88283700,2.23795,2.35170,338,474,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
141,1554,chr1,88283954,88284372,2.16618,1.74222,33,418,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
142,1554,chr1,88284727,88285313,2.97561,7.33269,289,586,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
143,1554,chr1,88286419,88286780,2.11716,1.51443,94,361,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
144,1554,chr1,88288369,88288798,2.07378,1.44572,323,429,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
145,1554,chr1,88291319,88292081,2.00449,2.24463,327,762,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
146,1554,chr1,88294620,88294939,2.24670,1.43711,277,319,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
147,1554,chr1,88295710,88295990,1.89484,1.16094,201,280,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
148,1554,chr1,88296033,88296403,1.98972,1.54446,167,370,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
149,1554,chr1,88297836,88299477,2.06340,1.81144,464,1641,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
150,1554,chr1,88299568,88300948,2.65997,6.79697,1264,1380,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
151,1554,chr1,88302432,88302874,2.25360,3.57714,189,442,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
152,1554,chr1,88302951,88303456,2.39771,4.05957,333,505,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
153,1554,chr1,88303799,88304502,2.42869,4.05957,134,703,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
154,1554,chr1,88304574,88305225,1.97126,1.20786,605,651,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
155,1554,chr1,88305982,88306289,1.81241,0.93559,229,307,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
156,1554,chr1,88306559,88306892,2.22898,3.26473,166,333,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
157,1554,chr1,88306970,88307417,2.26345,3.12099,280,447,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
158,1554,chr1,88308038,88308239,2.32429,3.47064,75,201,ENSMUSG00000036251,171382.0,Trpm8,chr1,88277661,88389293,1
