peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,152,chr1,12935777,12936056,3.72574,1.10789,108,279,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
6,188,chr1,15619685,15619975,2.94033,0.00000,85,290,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
7,264,chr1,20728283,20728559,3.47214,0.50842,126,276,ENSMUSG00000025929,16171.0,Il17a,chr1,20730905,20734496,1
8,460,chr1,34429423,34429981,3.85254,1.10789,442,558,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
9,460,chr1,34430610,34431333,3.34534,0.50842,196,723,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
10,460,chr1,34431728,34432245,4.61333,3.12988,133,517,ENSMUSG00000102336,,Gm37233,chr1,34427002,34433264,-1
12,555,chr1,37875236,37875536,3.21855,0.02574,164,300,ENSMUSG00000037216,623661.0,Lipt1,chr1,37871738,37876228,1
12,556,chr1,37875236,37875536,3.21855,0.02574,164,300,ENSMUSG00000026088,69028.0,Mitd1,chr1,37874801,37890411,-1
16,603,chr1,39914987,39915308,4.10614,1.74012,150,321,ENSMUSG00000026074,26921.0,Map4k4,chr1,39900913,40026310,1
17,608,chr1,40293977,40294223,3.72574,1.10789,96,246,ENSMUSG00000026072,16177.0,Il1r1,chr1,40225080,40317257,1
18,642,chr1,43022994,43023293,3.21855,0.02574,220,299,ENSMUSG00000041907,93690.0,Gpr45,chr1,42952872,43035456,1
19,811,chr1,53613422,53613735,3.34534,0.50842,115,313,ENSMUSG00000096141,627872.0,Dnah7a,chr1,53397006,53706784,-1
20,844,chr1,55362600,55362930,4.61333,3.12988,182,330,ENSMUSG00000025977,75388.0,Boll,chr1,55248658,55363469,-1
21,844,chr1,55363027,55363338,2.71135,0.00000,164,311,ENSMUSG00000025977,75388.0,Boll,chr1,55248658,55363469,-1
23,889,chr1,58507350,58508000,3.72574,1.10789,160,650,ENSMUSG00000026037,18393.0,Orc2,chr1,58462771,58505109,-1
23,890,chr1,58507350,58508000,3.72574,1.10789,160,650,ENSMUSG00000085054,,Gm15834,chr1,58505148,58523230,1
24,945,chr1,60349631,60349861,3.21855,0.02574,134,230,ENSMUSG00000049439,77951.0,Cyp20a1,chr1,60343323,60388060,1
25,1013,chr1,63199940,63200525,3.34534,0.50842,106,585,ENSMUSG00000086730,,Platr12,chr1,63200313,63207967,1
