peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
3,11,chr1,3621883,3622232,3.80599,7.06011,183,349,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
4,13,chr1,3754221,3754711,2.52175,2.44998,180,490,ENSMUSG00000102592,,Gm38385,chr1,3752010,3754360,1
5,14,chr1,3784304,3784819,2.72349,3.17180,164,515,ENSMUSG00000088333,,Gm27396,chr1,3783876,3783933,-1
6,15,chr1,3977097,3977884,4.63855,11.47193,436,787,ENSMUSG00000102343,,Gm37381,chr1,3905739,3986215,-1
7,20,chr1,4493501,4493835,2.61662,2.30254,169,334,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
57,140,chr1,11487706,11488146,2.92586,3.70398,312,440,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
58,140,chr1,11747290,11747590,2.73556,2.67719,236,300,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
59,140,chr1,11818864,11819273,2.97343,3.49724,178,409,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
69,169,chr1,13645144,13645619,2.85449,3.07367,182,475,ENSMUSG00000102982,,Gm38319,chr1,13641483,13642748,-1
69,170,chr1,13645144,13645619,2.85449,3.07367,182,475,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
72,176,chr1,14112080,14112428,2.70913,2.90196,250,348,ENSMUSG00000104209,,Gm37400,chr1,14109215,14112819,-1
81,188,chr1,15338897,15339357,2.21531,1.73309,175,460,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
82,188,chr1,15365666,15366130,2.60076,2.53534,120,464,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
82,189,chr1,15365666,15366130,2.60076,2.53534,120,464,ENSMUSG00000102937,,Gm38116,chr1,15364302,15365834,1
83,188,chr1,15529651,15530305,3.09237,3.94338,466,654,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
84,198,chr1,15861983,15862384,3.44918,5.40851,186,401,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
90,206,chr1,16348081,16348956,2.35862,2.06346,483,875,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
91,206,chr1,16474870,16475343,3.44918,5.40851,172,473,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
92,208,chr1,16579310,16579660,2.85449,3.07367,169,350,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
96,224,chr1,17400894,17401573,3.33024,4.89724,330,679,ENSMUSG00000101589,,Rbm6-ps1,chr1,17397412,17400281,-1
100,232,chr1,17947832,17948261,2.37875,1.62564,264,429,ENSMUSG00000100554,,Gm7690,chr1,17947041,17948439,1
104,245,chr1,19037433,19037925,2.73556,2.67719,168,492,ENSMUSG00000101644,,Gm28343,chr1,19037266,19037377,1
105,247,chr1,19162327,19162945,2.61662,2.30254,141,618,ENSMUSG00000042596,226896.0,Tfap2d,chr1,19103022,19166346,1
109,260,chr1,20481169,20481393,2.73556,2.67719,76,224,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
110,260,chr1,20573338,20573714,2.49768,1.95155,189,376,ENSMUSG00000043760,241035.0,Pkhd1,chr1,20057779,20618064,-1
113,275,chr1,21058070,21058673,2.44935,2.90299,171,603,ENSMUSG00000041779,170829.0,Tram2,chr1,20996299,21079229,-1
116,300,chr1,22618924,22619261,3.33024,4.89724,188,337,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
117,300,chr1,22619619,22619952,2.97343,3.49724,187,333,ENSMUSG00000041670,116837.0,Rims1,chr1,22286251,22805994,-1
119,302,chr1,23101971,23102367,2.73556,2.67719,247,396,ENSMUSG00000073730,66755.0,Ppp1r14bl,chr1,23100473,23102253,-1
119,303,chr1,23101971,23102367,2.73556,2.67719,247,396,ENSMUSG00000101227,,Gm29506,chr1,23048295,23235673,-1
