peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
1,11,chr1,3671704,3672631,3.56248,7.16985,217,927,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,11,chr1,3673217,3673700,3.56248,7.16985,338,483,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
6,19,chr1,4494028,4495412,3.79998,8.35869,936,1384,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
7,19,chr1,4495621,4500671,3.83909,11.24616,1583,5050,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
7,20,chr1,4495621,4500671,3.83909,11.24616,1583,5050,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
18,47,chr1,5588871,5589362,2.67844,4.41954,314,491,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
19,51,chr1,5915524,5918065,8.66870,41.34574,759,2541,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
20,51,chr1,5919071,5919524,2.84998,3.99537,279,453,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
22,55,chr1,6358706,6360570,4.77087,14.33006,1234,1864,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
25,58,chr1,6440838,6441168,3.91873,8.97296,151,330,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
26,58,chr1,6441682,6441958,3.44373,6.59880,149,276,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
27,58,chr1,6442048,6442813,2.51877,3.23914,258,765,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
28,95,chr1,9298160,9301066,7.48120,32.13327,1365,2906,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
29,95,chr1,9301252,9301851,2.73123,3.53095,302,599,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
30,110,chr1,9796086,9797434,4.51247,12.23337,1022,1348,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
