peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
2,108,chr1,9746473,9747388,2.46811,0.27841,606,915,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
25,513,chr1,36473252,36473839,3.79849,1.30927,159,587,ENSMUSG00000104316,,Gm37909,chr1,36473952,36476110,1
26,513,chr1,36473960,36474165,3.79849,1.30927,106,205,ENSMUSG00000104316,,Gm37909,chr1,36473952,36476110,1
28,519,chr1,36547545,36547875,4.55762,2.22312,164,330,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
29,519,chr1,36548825,36549110,2.37360,0.05525,207,285,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
30,519,chr1,36549541,36549815,3.58503,0.88919,118,274,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
31,519,chr1,36549871,36550178,3.48348,0.88919,137,307,ENSMUSG00000079610,109346.0,Ankrd39,chr1,36537507,36547445,-1
33,520,chr1,36555158,36555806,4.27102,1.73964,159,648,ENSMUSG00000087589,,D430040D24Rik,chr1,36557701,36565613,1
34,521,chr1,36558984,36559363,2.73074,0.27841,260,379,ENSMUSG00000026121,20353.0,Sema4c,chr1,36548639,36558349,-1
40,528,chr1,36744475,36744700,3.64099,0.88919,105,225,ENSMUSG00000104237,,Gm33533,chr1,36739048,36744792,-1
43,544,chr1,37430842,37431216,3.67578,1.48011,285,374,ENSMUSG00000026112,76178.0,Coa5,chr1,37417084,37430103,-1
52,581,chr1,39057119,39057452,3.48348,0.88919,251,333,ENSMUSG00000104188,,Gm37821,chr1,39048648,39057637,-1
53,598,chr1,39650540,39650751,3.42293,0.49568,118,211,ENSMUSG00000097083,,D930019O06Rik,chr1,39650176,39657390,1
74,635,chr1,42697240,42697453,2.93663,0.27841,116,213,ENSMUSG00000060424,,Pantr1,chr1,42590782,42694842,-1
75,638,chr1,42713439,42713853,3.43764,0.88919,320,414,ENSMUSG00000097063,,Pantr2,chr1,42707061,42713454,-1
82,705,chr1,45926032,45926476,2.93663,0.27841,236,444,ENSMUSG00000025993,53945.0,Slc40a1,chr1,45908068,45926523,-1
85,766,chr1,51879397,51879823,3.48348,0.88919,276,426,ENSMUSG00000100313,,Gm28323,chr1,51877110,51879608,-1
93,828,chr1,54916350,54916675,3.09873,0.49568,141,325,ENSMUSG00000102642,,A130048G24Rik,chr1,54913845,54916594,-1
95,829,chr1,54927033,54927237,3.26083,0.49568,67,204,ENSMUSG00000052331,329154.0,Ankrd44,chr1,54645340,54926387,-1
97,832,chr1,55053541,55053862,3.48348,0.88919,124,321,ENSMUSG00000103030,,E330011M16Rik,chr1,55051319,55053112,-1
98,857,chr1,56969462,56969827,4.88182,2.69846,222,365,ENSMUSG00000087022,,9130024F11Rik,chr1,56971412,57050084,1
101,864,chr1,57378202,57378412,3.09185,0.49568,163,210,ENSMUSG00000097519,,4930558J18Rik,chr1,57359222,57377544,-1
106,916,chr1,59256764,59257100,2.65711,0.49568,187,336,ENSMUSG00000026023,271697.0,Cdk15,chr1,59256906,59352993,1
116,918,chr1,59451568,59451752,3.10839,0.46629,25,184,ENSMUSG00000104502,,Gm37737,chr1,59447865,59449502,-1
119,921,chr1,59516676,59517047,4.62973,2.91344,232,371,ENSMUSG00000047361,381260.0,Gm973,chr1,59516264,59636417,1
132,995,chr1,62717458,62717711,3.26396,0.49568,109,253,ENSMUSG00000100811,,Gm29083,chr1,62714723,62718073,-1
146,1142,chr1,71650950,71651141,4.08221,1.73964,55,191,ENSMUSG00000073652,,Apol7d,chr1,71652837,71662843,1
149,1163,chr1,72536594,72536919,3.43952,1.14238,162,325,ENSMUSG00000039372,381270.0,Marchf4,chr1,72427112,72536930,-1
156,1176,chr1,73312787,73313009,3.42293,0.49568,149,222,ENSMUSG00000100697,,Gm29184,chr1,73311717,73312050,-1
190,1187,chr1,74124812,74125273,3.32597,0.49568,414,461,ENSMUSG00000055322,21961.0,Tns1,chr1,73910231,74124449,-1
190,1188,chr1,74124812,74125273,3.32597,0.49568,414,461,ENSMUSG00000061815,435626.0,Rufy4,chr1,74125541,74148223,1
191,1197,chr1,74283804,74283974,3.26083,0.49568,114,170,ENSMUSG00000026179,56695.0,Pnkd,chr1,74284930,74353694,1
192,1196,chr1,74285632,74285892,3.48348,0.88919,109,260,ENSMUSG00000006299,227290.0,Aamp,chr1,74279840,74284738,-1
193,1199,chr1,74295423,74295834,4.21024,2.19798,153,411,ENSMUSG00000099931,,Gm29358,chr1,74295603,74298867,1
194,1199,chr1,74295895,74296392,3.43764,0.88919,196,497,ENSMUSG00000099931,,Gm29358,chr1,74295603,74298867,1
196,1204,chr1,74390155,74390442,4.23342,1.75592,126,287,ENSMUSG00000026176,227292.0,Ctdsp1,chr1,74391509,74397285,1
197,1209,chr1,74542775,74543034,3.58503,0.88919,137,259,ENSMUSG00000026173,18802.0,Plcd4,chr1,74542888,74567794,1
198,1220,chr1,74770817,74771090,3.01096,0.49568,172,273,ENSMUSG00000033227,22420.0,Wnt6,chr1,74771892,74785322,1
199,1220,chr1,74771373,74771658,3.58503,0.88919,159,285,ENSMUSG00000033227,22420.0,Wnt6,chr1,74771892,74785322,1
202,1222,chr1,74789257,74789432,2.49448,0.00000,142,175,ENSMUSG00000026167,22409.0,Wnt10a,chr1,74791516,74804179,1
203,1222,chr1,74791427,74791778,4.22476,1.75592,126,351,ENSMUSG00000026167,22409.0,Wnt10a,chr1,74791516,74804179,1
204,1222,chr1,74791937,74792229,3.95600,1.30927,50,292,ENSMUSG00000026167,22409.0,Wnt10a,chr1,74791516,74804179,1
213,1224,chr1,74855287,74855624,2.89690,0.27841,223,337,ENSMUSG00000090071,12570.0,Cdk5r2,chr1,74854934,74857732,1
