peak_idx,gene_idx,chr,start,end,signal,qvalue,peak,width,ensembl_gene_id,entrezgene_id,external_gene_name,chromosome_name,start_position,end_position,strand
0,11,chr1,3670585,3672519,19.29368,70.60623,947,1934,ENSMUSG00000051951,497097.0,Xkr4,chr1,3205901,3671498,-1
2,19,chr1,4496070,4496397,2.87479,2.18569,322,327,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,19,chr1,4496631,4497727,4.37936,6.68764,927,1096,ENSMUSG00000104238,,Gm37587,chr1,4496551,4499558,1
3,20,chr1,4496631,4497727,4.37936,6.68764,927,1096,ENSMUSG00000025902,20671.0,Sox17,chr1,4490931,4497354,-1
5,32,chr1,4784231,4786666,59.78556,330.98148,1298,2435,ENSMUSG00000033845,27395.0,Mrpl15,chr1,4773206,4785739,-1
6,33,chr1,4807289,4809272,53.32787,301.35629,739,1983,ENSMUSG00000025903,18777.0,Lypla1,chr1,4807788,4848410,1
6,34,chr1,4807289,4809272,53.32787,301.35629,739,1983,ENSMUSG00000104217,,Gm37988,chr1,4807892,4886770,1
7,35,chr1,4856817,4859150,44.18925,342.05139,1329,2333,ENSMUSG00000033813,21399.0,Tcea1,chr1,4857814,4897909,1
10,47,chr1,5588327,5588950,4.02626,4.59520,423,623,ENSMUSG00000025905,18387.0,Oprk1,chr1,5588466,5606131,1
11,51,chr1,5916546,5917499,8.23033,19.16816,578,953,ENSMUSG00000033774,226304.0,Npbwr1,chr1,5913707,5917398,-1
12,54,chr1,6213260,6216047,60.44937,336.67978,1852,2787,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
13,54,chr1,6216115,6216536,4.01142,4.90878,164,421,ENSMUSG00000090031,,4732440D04Rik,chr1,6209866,6215293,-1
14,55,chr1,6358972,6359617,11.99187,35.02927,259,645,ENSMUSG00000087247,620393.0,Alkal1,chr1,6359218,6394731,1
15,57,chr1,6382729,6383367,13.30060,48.97667,274,638,ENSMUSG00000102706,,Gm7417,chr1,6382634,6383106,-1
16,58,chr1,6441192,6441804,12.43441,36.24179,193,612,ENSMUSG00000103845,,Gm19026,chr1,6429655,6441296,-1
17,67,chr1,7087858,7090505,36.40146,181.20309,1331,2647,ENSMUSG00000051285,319263.0,Pcmtd1,chr1,7088920,7173628,1
19,74,chr1,7396907,7397506,7.56653,16.09016,425,599,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
20,74,chr1,7397546,7398798,17.93499,112.01258,926,1252,ENSMUSG00000097797,,Gm26901,chr1,7349406,7397869,-1
22,95,chr1,9298876,9300131,6.68146,13.15012,947,1255,ENSMUSG00000025909,71096.0,Sntg1,chr1,8361475,9299878,-1
23,101,chr1,9544505,9549003,43.85434,220.77184,1351,4498,ENSMUSG00000061024,59014.0,Rrs1,chr1,9545408,9547455,1
23,102,chr1,9544505,9549003,43.85434,220.77184,1351,4498,ENSMUSG00000025911,76187.0,Adhfe1,chr1,9547948,9580673,1
24,107,chr1,9699339,9701425,39.48598,248.06133,779,2086,ENSMUSG00000025912,17864.0,Mybl1,chr1,9667415,9700209,-1
28,108,chr1,9744841,9745169,7.68951,25.50648,175,328,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
29,108,chr1,9745358,9748936,68.85751,398.38724,2753,3578,ENSMUSG00000097893,,1700034P13Rik,chr1,9747648,9791924,1
29,109,chr1,9745358,9748936,68.85751,398.38724,2753,3578,ENSMUSG00000045210,70675.0,Vcpip1,chr1,9718622,9748382,-1
32,110,chr1,9797284,9799734,45.30375,352.35358,1064,2450,ENSMUSG00000025915,170755.0,Sgk3,chr1,9798107,9900845,1
36,113,chr1,9908430,9908903,6.38545,14.80726,285,473,ENSMUSG00000046101,240697.0,Mcmdc2,chr1,9908638,9942085,1
37,114,chr1,9941781,9944707,67.10784,422.81796,2131,2926,ENSMUSG00000093178,,Snord87,chr1,9942463,9942549,-1
37,115,chr1,9941781,9944707,67.10784,422.81796,2131,2926,ENSMUSG00000098234,,Snhg6,chr1,9941959,9944118,-1
38,116,chr1,9966981,9968564,14.23034,89.36862,986,1583,ENSMUSG00000104025,,E330040D14Rik,chr1,9967314,9968687,1
38,117,chr1,9966981,9968564,14.23034,89.36862,986,1583,ENSMUSG00000099032,100039596.0,Tcf24,chr1,9960163,9967932,-1
39,119,chr1,10008826,10009551,5.39691,14.75735,253,725,ENSMUSG00000025916,69312.0,Ppp1r42,chr1,9968624,10009136,-1
39,120,chr1,10008826,10009551,5.39691,14.75735,253,725,ENSMUSG00000095780,,Gm24674,chr1,10009814,10009917,-1
40,121,chr1,10036809,10040739,51.85688,356.29227,931,3930,ENSMUSG00000056763,211660.0,Cspp1,chr1,10037987,10136768,1
40,122,chr1,10036809,10040739,51.85688,356.29227,931,3930,ENSMUSG00000025917,26754.0,Cops5,chr1,10024601,10038168,-1
41,126,chr1,10231361,10233908,27.78776,267.05209,981,2547,ENSMUSG00000067851,211673.0,Arfgef1,chr1,10137571,10232670,-1
42,136,chr1,10993192,10994969,20.84255,79.17896,512,1777,ENSMUSG00000048960,109294.0,Prex2,chr1,10993465,11303681,1
44,140,chr1,11413816,11414752,8.67286,20.22331,672,936,ENSMUSG00000057715,320492.0,A830018L16Rik,chr1,11414105,11975901,1
44,141,chr1,11413816,11414752,8.67286,20.22331,672,936,ENSMUSG00000103825,,Gm38178,chr1,11416918,11419388,1
45,151,chr1,12692291,12692554,4.22039,4.90878,190,263,ENSMUSG00000016918,240725.0,Sulf1,chr1,12692277,12861192,1
49,152,chr1,12990399,12992928,16.32070,56.60531,1817,2529,ENSMUSG00000025938,240726.0,Slco5a1,chr1,12866549,12992650,-1
51,156,chr1,13126298,13126720,4.22039,4.90878,359,422,ENSMUSG00000042414,383491.0,Prdm14,chr1,13113457,13127163,-1
52,165,chr1,13371314,13374999,43.07476,330.09894,2207,3685,ENSMUSG00000005886,17978.0,Ncoa2,chr1,13139105,13374083,-1
52,166,chr1,13371314,13374999,43.07476,330.09894,2207,3685,ENSMUSG00000101476,,Gm29570,chr1,13376070,13388413,1
56,168,chr1,13587904,13590496,60.19889,349.34390,1633,2592,ENSMUSG00000025935,72265.0,Tram1,chr1,13564698,13589910,-1
57,170,chr1,13659056,13660992,55.13895,298.99606,1262,1936,ENSMUSG00000025937,212442.0,Lactb2,chr1,13623330,13660546,-1
58,179,chr1,14309399,14310435,17.30228,60.88047,349,1036,ENSMUSG00000025932,14048.0,Eya1,chr1,14168954,14310235,-1
60,181,chr1,14755053,14756100,13.37323,45.61345,620,1047,ENSMUSG00000025930,17681.0,Msc,chr1,14753346,14755992,-1
61,185,chr1,14918527,14919041,6.93698,14.28908,279,514,ENSMUSG00000032769,277328.0,Trpa1,chr1,14872648,14918862,-1
62,188,chr1,15286226,15287721,19.29368,70.60623,881,1495,ENSMUSG00000092083,98741.0,Kcnb2,chr1,15287254,15723750,1
63,195,chr1,15805133,15806933,66.42358,378.92838,757,1800,ENSMUSG00000025925,21749.0,Terf1,chr1,15805646,15844052,1
65,198,chr1,15892315,15893174,15.75341,52.80202,501,859,ENSMUSG00000032719,226866.0,Sbspon,chr1,15853862,15892722,-1
66,200,chr1,16092727,16093570,15.31088,50.16487,369,843,ENSMUSG00000067795,75799.0,4930444P10Rik,chr1,16065979,16093325,-1
68,201,chr1,16102821,16107163,33.81655,274.87067,1338,4342,ENSMUSG00000043716,19989.0,Rpl7,chr1,16101295,16104662,-1
68,202,chr1,16102821,16107163,33.81655,274.87067,1338,4342,ENSMUSG00000025921,98711.0,Rdh10,chr1,16105774,16133734,1
69,206,chr1,16518392,16520288,46.84986,254.14453,668,1896,ENSMUSG00000025920,29819.0,Stau2,chr1,16228674,16520112,-1
70,207,chr1,16617401,16619856,71.51273,417.99118,1435,2455,ENSMUSG00000102457,,Gm38342,chr1,16618560,16621539,1
70,208,chr1,16617401,16619856,71.51273,417.99118,1435,2455,ENSMUSG00000025939,66799.0,Ube2w,chr1,16540790,16619489,-1
72,209,chr1,16654554,16657974,39.15163,244.69267,2101,3420,ENSMUSG00000079658,67923.0,Eloc,chr1,16641725,16657042,-1
72,210,chr1,16654554,16657974,39.15163,244.69267,2101,3420,ENSMUSG00000097744,,D030040B21Rik,chr1,16657552,16662278,1
